# 青简基础词库，由 qingjian-dict-convert lexicon 生成。词	音节	词频
# 来源：通用规范汉字表（8105 字）；现代汉语常用词表（liuxilu 校对版）；THUOCL 领域词（MIT，清华大学自然语言处理实验室）；
# 读音：Unihan（Unicode License）+ LLM 标注多音字词；词频：青简自己的语料统计（中文维基 CC BY-SA 4.0、LCCC MIT）。
两下子	liang xia zi	37
两个	liang ge	79604
两个人	liang ge ren	10528
两个字	liang ge zi	3153
两个小时	liang ge xiao shi	3083
两个月	liang ge yue	7345
两人	liang ren	17044
两件	liang jian	1966
两件事	liang jian shi	294
两位	liang wei	5317
两位数	liang wei shu	448
两侧	liang ce	4147
两便	liang bian	3
两倍	liang bei	1195
两党制	liang dang zhi	21
两全	liang quan	29
两全其美	liang quan qi mei	108
两分法	liang fen fa	3
两利	liang li	13
两厢	liang xiang	109
两厢情愿	liang xiang qing yuan	31
两口子	liang kou zi	657
两句	liang ju	2445
两句话	liang ju hua	433
两只	liang zhi	4553
两可	liang ke	29
两周	liang zhou	3544
两回事	liang hui shi	348
两国	liang guo	4362
两地	liang di	1572
两块	liang kuai	1964
两块钱	liang kuai qian	647
两天	liang tian	36064
两天假	liang tian jia	262
两天就	liang tian jiu	2309
两头	liang tou	494
两套	liang tao	929
两小无猜	liang xiao wu cai	92
两层	liang ceng	1649
两岸	liang an	3238
两幅	liang fu	317
两年	liang nian	15446
两张	liang zhang	5527
两张皮	liang zhang pi	2
两张票	liang zhang piao	277
两弹一星	liang dan yi xing	34
两性	liang xing	303
两性关系	liang xing guan xi	22
两手	liang shou	443
两支	liang zhi	1272
两斤	liang jin	1652
两旁	liang pang	440
两条	liang tiao	4942
两条狗	liang tiao gou	240
两条腿	liang tiao tui	246
两杯	liang bei	1055
两极	liang ji	280
两枚	liang mei	684
两架	liang jia	722
两栖	liang qi	996
两样	liang yang	789
两棵	liang ke	167
两次	liang ci	14507
两河	liang he	107
两淮	liang huai	214
两清	liang qing	33
两点	liang dian	5063
两点论	liang dian lun	1
两瓶	liang ping	1025
两用	liang yong	424
两用人才	liang yong ren cai	1
两百	liang bai	1921
两百块	liang bai kuai	173
两百斤	liang bai jin	251
两盒	liang he	437
两码事	liang ma shi	494
两碗	liang wan	638
两种	liang zhong	7878
两立	liang li	37
两端	liang duan	1181
两翼	liang yi	193
两肋插刀	liang lei cha dao	7
两艘	liang sou	1329
两袖清风	liang xiu qing feng	47
两败俱伤	liang bai ju shang	131
两辆	liang liang	628
两边	liang bian	2781
两遍	liang bian	1687
两重天	liang chong tian	230
两重天	liang zhong tian	28
两重性	liang chong xing	6
两院制	liang yuan zhi	112
两难	liang nan	174
两面	liang mian	947
两面三刀	liang mian san dao	53
两面光	liang mian guang	1
两面性	liang mian xing	10
两面派	liang mian pai	46
两项	liang xiang	1793
两颗	liang ke	1813
两鬓	liang bin	36
严	yan	6673
严丝合缝	yan si he feng	12
严于律己	yan yu lv ji	46
严令	yan ling	59
严以律己	yan yi lv ji	16
严侍	yan shi	218
严侍下	yan shi xia	218
严冬	yan dong	57
严刑	yan xing	118
严办	yan ban	35
严加	yan jia	118
严厉	yan li	1547
严命	yan ming	3
严处	yan chu	3
严守	yan shou	72
严实	yan shi	592
严密	yan mi	441
严寒	yan han	142
严峻	yan jun	525
严嵩	yan song	146
严师	yan shi	18
严惩	yan cheng	360
严惩不贷	yan cheng bu dai	16
严打	yan da	105
严控	yan kong	26
严整	yan zheng	35
严明	yan ming	136
严查	yan cha	88
严格	yan ge	5213
严正	yan zheng	363
严父	yan fu	7
严禁	yan jin	390
严紧	yan jin	4
严肃	yan su	4087
严肃音乐	yan su yin yue	7
严苛	yan ke	323
严词	yan ci	69
严谨	yan jin	1207
严道	yan dao	68
严酷	yan ku	168
严重	yan zhong	28417
严重程度	yan zhong cheng du	175
严重错误	yan zhong cuo wu	54
严防	yan fang	69
严阵以待	yan zhen yi dai	61
严霜	yan shuang	7
丧	sang	5068
丧乱	sang luan	18
丧事	sang shi	190
丧亡	sang wang	11
丧假	sang jia	4
丧偶	sang ou	154
丧命	sang ming	360
丧失	sang shi	1923
丧家	sang jia	20
丧家之犬	sang jia zhi quan	5
丧家犬	sang jia quan	10
丧尸	sang shi	1046
丧尽天良	sang jin tian liang	91
丧心病狂	sang xin bing kuang	1000
丧志	sang zhi	41
丧服	sang fu	127
丧权辱国	sang quan ru guo	13
丧气	sang qi	219
丧父	sang fu	210
丧生	sang sheng	1499
丧礼	sang li	236
丧胆	sang dan	11
丧葬	sang zang	168
丧身	sang shen	14
丧钟	sang zhong	123
丧门星	sang men xing	4
丧魂落魄	sang hun luo po	21
个	ge	638327
个个	ge ge	90
个中	ge zhong	91
个人	ge ren	67930
个人主义	ge ren zhu yi	138
个人崇拜	ge ren chong bai	199
个人电脑	ge ren dian nao	281
个人的	ge ren de	4645
个人网站	ge ren wang zhan	225
个人都有	ge ren dou you	289
个人项目	ge ren xiang mu	244
个什么	ge shen me	3603
个伴	ge ban	767
个位	ge wei	228
个体	ge ti	2578
个体户	ge ti hu	26
个体经济	ge ti jing ji	14
个例	ge li	207
个假	ge jia	2481
个儿	ge er	1440
个别	ge bie	2646
个啥	ge sha	3019
个地方	ge di fang	2965
个多	ge duo	2677
个大	ge da	6473
个头	ge tou	3333
个头儿	ge tou er	20
个女	ge nv	2183
个女朋友	ge nv peng you	2083
个好	ge hao	12006
个子	ge zi	3008
个字	ge zi	5307
个小	ge xiao	9399
个小时	ge xiao shi	9953
个屁	ge pi	4953
个性	ge xing	7264
个性化	ge xing hua	153
个把	ge ba	62
个数	ge shu	517
个时间	ge shi jian	2529
个星期	ge xing qi	4326
个月	ge yue	35942
个月了	ge yue le	2210
个朋友	ge peng you	3367
个案	ge an	2343
个毛	ge mao	2049
个澡	ge zao	1347
个电话	ge dian hua	2356
个男朋友	ge nan peng you	2468
个赞	ge zan	7397
个问题	ge wen ti	2723
个非	ge fei	286
个饭	ge fan	3663
丫	ya	9042
丫头	ya tou	1839
丫环	ya huan	20
丫鬟	ya huan	318
中	zhong	433376
中上层	zhong shang ceng	53
中下旬	zhong xia xun	287
中下游	zhong xia you	234
中专	zhong zhuan	446
中专生	zhong zhuan sheng	28
中世纪	zhong shi ji	2791
中东	zhong dong	2157
中丞	zhong cheng	515
中了	zhong le	5163
中产阶级	zhong chan jie ji	384
中人	zhong ren	2572
中介	zhong jie	367
中介人	zhong jie ren	20
中伏	zhong fu	44
中伤	zhong shang	196
中位数	zhong wei shu	1887
中低档	zhong di dang	7
中佐	zhong zuo	690
中俄	zhong e	471
中信	zhong xin	951
中允	zhong yun	113
中共	zhong gong	31875
中共中央统战部	zhong gong zhong yang tong zhan bu	123
中关村	zhong guan cun	203
中兴	zhong xing	1403
中兴路	zhong xing lu	132
中农	zhong nong	43
中冠	zhong guan	54
中医	zhong yi	2572
中医医院	zhong yi yi yuan	71
中医学	zhong yi xue	244
中医学院	zhong yi xue yuan	172
中医师	zhong yi shi	137
中医药	zhong yi yao	914
中医院	zhong yi yuan	379
中午	zhong wu	30609
中午吃	zhong wu chi	2290
中午好	zhong wu hao	4628
中华	zhong hua	84694
中华全国总工会	zhong hua quan guo zong gong hui	409
中华民国民法	zhong hua min guo min fa	58
中华民族	zhong hua min zu	387
中华田园猫	zhong hua tian yuan mao	64
中华街	zhong hua jie	53
中华路	zhong hua lu	177
中华鲟	zhong hua xun	12
中南	zhong nan	1182
中南大学	zhong nan da xue	191
中南财经政法大学	zhong nan cai jing zheng fa da xue	88
中南路	zhong nan lu	50
中卫	zhong wei	311
中卫市	zhong wei shi	77
中原	zhong yuan	2341
中古	zhong gu	463
中叶	zhong ye	808
中听	zhong ting	245
中和	zhong he	1604
中国	zhong guo	193762
中国中铁	zhong guo zhong tie	70
中国人民解放军	zhong guo ren min jie fang jun	11941
中国人民银行	zhong guo ren min yin hang	732
中国企业家	zhong guo qi ye jia	211
中国公司	zhong guo gong si	194
中国农业科学院	zhong guo nong ye ke xue yuan	184
中国农业银行	zhong guo nong ye yin hang	138
中国医药	zhong guo yi yao	116
中国古代史	zhong guo gu dai shi	69
中国商人	zhong guo shang ren	95
中国国际	zhong guo guo ji	725
中国地名委员会	zhong guo di ming wei yuan hui	89
中国工商银行	zhong guo gong shang yin hang	125
中国工程院	zhong guo gong cheng yuan	2507
中国建筑	zhong guo jian zhu	247
中国建设银行	zhong guo jian she yin hang	116
中国投资	zhong guo tou zi	66
中国政法大学	zhong guo zheng fa da xue	188
中国电信	zhong guo dian xin	213
中国画	zhong guo hua	237
中国石化	zhong guo shi hua	63
中国石油	zhong guo shi you	183
中国石油大学	zhong guo shi you da xue	50
中国社会科学院	zhong guo she hui ke xue yuan	1558
中国科学技术协会	zhong guo ke xue ji shu xie hui	483
中国科技	zhong guo ke ji	151
中国移动	zhong guo yi dong	169
中国经济	zhong guo jing ji	444
中国经济网	zhong guo jing ji wang	620
中国联通	zhong guo lian tong	115
中国话	zhong guo hua	56
中国通	zhong guo tong	26
中国金融	zhong guo jin rong	85
中国银监会	zhong guo yin jian hui	56
中国银行	zhong guo yin hang	619
中坚	zhong jian	272
中坜	zhong li	690
中型	zhong xing	902
中埔	zhong pu	96
中士	zhong shi	365
中外	zhong wai	697
中外合资	zhong wai he zi	61
中大夫	zhong da fu	334
中央	zhong yang	55519
中央党校	zhong yang dang xiao	1052
中央军事委员会	zhong yang jun shi wei yuan hui	271
中央军委	zhong yang jun wei	2009
中央处理器	zhong yang chu li qi	161
中央民族大学	zhong yang min zu da xue	117
中央银行	zhong yang yin hang	599
中央集权	zhong yang ji quan	158
中奖	zhong jiang	63
中子	zhong zi	936
中子弹	zhong zi dan	14
中学	zhong xue	20961
中学生	zhong xue sheng	1000
中将	zhong jiang	4970
中尉	zhong wei	1525
中小企业	zhong xiao qi ye	288
中小型	zhong xiao xing	902
中层	zhong ceng	631
中屯	zhong tun	60
中山东路	zhong shan dong lu	77
中山公园	zhong shan gong yuan	347
中山北路	zhong shan bei lu	212
中山医院	zhong shan yi yuan	57
中山南路	zhong shan nan lu	97
中山国	zhong shan guo	74
中山堂	zhong shan tang	74
中山大学	zhong shan da xue	1246
中山市	zhong shan shi	243
中山服	zhong shan fu	2
中山狼	zhong shan lang	2
中山装	zhong shan zhuang	64
中山西路	zhong shan xi lu	86
中山路	zhong shan lu	1386
中山里	zhong shan li	75
中山陵	zhong shan ling	178
中岛美嘉	zhong dao mei jia	134
中巴	zhong ba	227
中常	zhong chang	368
中幡	zhong fan	1
中年	zhong nian	3254
中年人	zhong nian ren	467
中庄	zhong zhuang	93
中府	zhong fu	133
中庭	zhong ting	504
中庸	zhong yong	197
中庸之道	zhong yong zhi dao	28
中式	zhong shi	6333
中弹	zhong dan	431
中彩	zhong cai	27
中心	zhong xin	55936
中心区	zhong xin qu	186
中心医院	zhong xin yi yuan	878
中心城	zhong xin cheng	61
中心小学	zhong xin xiao xue	126
中心广场	zhong xin guang chang	114
中心菜市场	zhong xin cai shi chang	50
中忍	zhong ren	70
中性	zhong xing	639
中意	zhong yi	1585
中成药	zhong cheng yao	210
中技	zhong ji	12
中指	zhong zhi	345
中提琴	zhong ti qin	239
中文	zhong wen	14760
中文信息处理	zhong wen xin xi chu li	5
中文网	zhong wen wang	221
中断	zhong duan	2337
中旬	zhong xun	3632
中晚期	zhong wan qi	69
中暑	zhong shu	1885
中期	zhong qi	3852
中村	zhong cun	1737
中村悠一	zhong cun you yi	52
中枢	zhong shu	281
中枢神经	zhong shu shen jing	101
中枢神经系统	zhong shu shen jing xi tong	230
中枪	zhong qiang	1110
中标	zhong biao	322
中校	zhong xiao	954
中档	zhong dang	51
中桥	zhong qiao	61
中楷	zhong kai	5
中欧	zhong ou	746
中止	zhong zhi	1338
中武	zhong wu	56
中毒	zhong du	4067
中气	zhong qi	56
中水	zhong shui	70
中江	zhong jiang	114
中河	zhong he	127
中波	zhong bo	138
中流	zhong liu	143
中流砥柱	zhong liu di zhu	74
中海	zhong hai	3855
中港	zhong gang	431
中游	zhong you	412
中澳	zhong ao	51
中点	zhong dian	50
中牟	zhong mu	159
中环	zhong huan	1569
中班	zhong ban	208
中用	zhong yong	579
中田	zhong tian	388
中甸	zhong dian	61
中的	zhong de	7770
中的	zhong di	62165
中盘	zhong pan	77
中看	zhong kan	47
中石化	zhong shi hua	92
中石油	zhong shi you	69
中秋	zhong qiu	7903
中秋快乐	zhong qiu kuai le	4202
中秋节	zhong qiu jie	2489
中科院	zhong ke yuan	410
中程	zhong cheng	189
中稻	zhong dao	3
中空	zhong kong	232
中立	zhong li	1945
中立国	zhong li guo	79
中端	zhong duan	92
中等	zhong deng	2736
中策	zhong ce	29
中篇	zhong pian	109
中篇小说	zhong pian xiao shuo	252
中级	zhong ji	581
中级人民法院	zhong ji ren min fa yuan	465
中级法院	zhong ji fa yuan	84
中线	zhong xian	592
中继	zhong ji	438
中继站	zhong ji zhan	139
中继线	zhong ji xian	2
中缅	zhong mian	263
中缝	zhong feng	50
中老年	zhong lao nian	309
中考	zhong kao	2441
中耕	zhong geng	2
中耳	zhong er	31
中耳炎	zhong er yan	24
中肯	zhong ken	494
中英	zhong ying	952
中英文	zhong ying wen	241
中英联合声明	zhong ying lian he sheng ming	131
中草药	zhong cao yao	147
中药	zhong yao	2726
中药店	zhong yao dian	17
中药房	zhong yao fang	13
中药材	zhong yao cai	157
中营	zhong ying	63
中落	zhong luo	31
中葡	zhong pu	50
中街	zhong jie	344
中表	zhong biao	9
中装	zhong zhuang	13
中西	zhong xi	726
中西区	zhong xi qu	440
中西医结合	zhong xi yi jie he	85
中西医结合医院	zhong xi yi jie he yi yuan	57
中西合璧	zhong xi he bi	69
中规中矩	zhong gui zhong ju	137
中计	zhong ji	119
中证	zhong zheng	57
中资	zhong zi	122
中路	zhong lu	1184
中转	zhong zhuan	597
中转站	zhong zhuan zhan	179
中远	zhong yuan	116
中选	zhong xuan	360
中途	zhong tu	2918
中邪	zhong xie	124
中部	zhong bu	13063
中银	zhong yin	73
中锋	zhong feng	385
中长期	zhong chang qi	150
中长跑	zhong chang pao	91
中间	zhong jian	12795
中间人	zhong jian ren	195
中间体	zhong jian ti	221
中间商	zhong jian shang	18
中间宿主	zhong jian su zhu	52
中间派	zhong jian pai	223
中间站	zhong jian zhan	297
中闵	zhong min	211
中队	zhong dui	2618
中阳	zhong yang	74
中雨	zhong yu	203
中雪	zhong xue	66
中青年	zhong qing nian	272
中韩	zhong han	262
中音	zhong yin	414
中频	zhong pin	33
中风	zhong feng	753
中餐	zhong can	616
中饭	zhong fan	863
中饱	zhong bao	48
中饱私囊	zhong bao si nang	37
中高档	zhong gao dang	15
中魔	zhong mo	1
丰	feng	9288
丰乐	feng le	102
丰产	feng chan	28
丰功伟绩	feng gong wei ji	16
丰厚	feng hou	314
丰原	feng yuan	1094
丰台	feng tai	489
丰和	feng he	131
丰城县	feng cheng xian	141
丰姿	feng zi	9
丰宁	feng ning	84
丰富	feng fu	9438
丰富多彩	feng fu duo cai	633
丰山	feng shan	99
丰岛	feng dao	241
丰州	feng zhou	126
丰年	feng nian	160
丰收	feng shou	911
丰本	feng ben	297
丰本线	feng ben xian	297
丰桥	feng qiao	245
丰歉	feng qian	1
丰沛	feng pei	96
丰润	feng run	122
丰满	feng man	1081
丰特	feng te	246
丰特奈	feng te nai	400
丰田	feng tian	1413
丰盈	feng ying	42
丰盛	feng sheng	1629
丰硕	feng shuo	83
丰碑	feng bei	40
丰美	feng mei	43
丰胸	feng xiong	667
丰腴	feng yu	84
丰臣秀吉	feng chen xiu ji	182
丰茂	feng mao	7
丰衣足食	feng yi zu shi	580
丰裕	feng yu	23
丰足	feng zu	12
丰采	feng cai	11
丰里	feng li	73
丰隆	feng long	53
丰顺	feng shun	268
丰饶	feng rao	80
串	chuan	10750
串串香	chuan chuan xiang	237
串亲戚	chuan qin qi	43
串供	chuan gong	28
串儿	chuan er	318
串味儿	chuan wei er	6
串戏	chuan xi	38
串换	chuan huan	4
串案	chuan an	22
串流	chuan liu	882
串游	chuan you	1
串演	chuan yan	9
串珠	chuan zhu	53
串联	chuan lian	646
串讲	chuan jiang	21
串谋	chuan mou	282
串连	chuan lian	204
串通	chuan tong	157
串通一气	chuan tong yi qi	7
串铃	chuan ling	5
串门	chuan men	796
串门儿	chuan men er	25
临	lin	5331
临上	lin shang	11
临了	lin liao	47
临产	lin chan	32
临伊	lin yi	592
临伊勒	lin yi le	592
临刑	lin xing	38
临别	lin bie	57
临到	lin dao	31
临卢	lin lu	675
临卢瓦	lin lu wa	673
临卢瓦尔	lin lu wa er	275
临危	lin wei	50
临危不惧	lin wei bu ju	21
临危受命	lin wei shou ming	61
临厄	lin e	641
临厄尔	lin e er	640
临厄尔省	lin e er sheng	640
临场	lin chang	203
临埃	lin ai	1171
临埃纳	lin ai na	1169
临埃纳省	lin ai na sheng	1169
临塔	lin ta	263
临塔恩	lin ta en	260
临塞	lin sai	3
临塞纳	lin sai na	337
临夏	lin xia	204
临夏州	lin xia zhou	99
临头	lin tou	21
临孚	lin fu	386
临孚日	lin fu ri	386
临安	lin an	620
临川	lin chuan	324
临川县	lin chuan xian	105
临帖	lin tie	55
临平	lin ping	237
临幸	lin xing	315
临床	lin chuang	2106
临床医学	lin chuang yi xue	252
临床表现	lin chuang biao xian	60
临床诊断	lin chuang zhen duan	74
临床试验	lin chuang shi yan	429
临战	lin zhan	15
临摹	lin mo	483
临时	lin shi	12962
临时工	lin shi gong	309
临时性	lin shi xing	146
临时抱佛脚	lin shi bao fo jiao	140
临曼	lin man	412
临曼恩	lin man en	176
临朐	lin qu	154
临桂	lin gui	80
临桂县	lin gui xian	75
临武	lin wu	104
临死	lin si	242
临汝	lin ru	58
临江	lin jiang	463
临汾	lin fen	553
临汾市	lin fen shi	176
临沂	lin yi	1159
临沂县	lin yi xian	54
临沂市	lin yi shi	177
临沧市	lin cang shi	71
临河	lin he	210
临泉	lin quan	105
临洮	lin tao	270
临海	lin hai	984
临海县	lin hai xian	114
临海市	lin hai shi	163
临涅	lin nie	240
临涅夫	lin nie fu	240
临涅夫勒	lin nie fu le	240
临淄	lin zi	188
临清	lin qing	281
临渊羡鱼	lin yuan xian yu	16
临港	lin gang	336
临渴掘井	lin ke jue jing	2
临滨	lin bin	1
临滨海	lin bin hai	1
临漳	lin zhang	85
临潼	lin tong	231
临热	lin re	278
临热尔	lin re er	278
临热尔省	lin re er sheng	278
临猗	lin yi	85
临瓦	lin wa	673
临瓦兹	lin wa zi	590
临瓦兹省	lin wa zi sheng	590
临界	lin jie	521
临界值	lin jie zhi	60
临界点	lin jie dian	147
临盆	lin pen	54
临科	lin ke	648
临空	lin kong	64
临索	lin suo	1
临索恩	lin suo en	766
临终	lin zhong	456
临终关怀	lin zhong guan huai	45
临萨	lin sa	222
临萨尔	lin sa er	1
临萨尔特	lin sa er te	220
临行	lin xing	120
临街	lin jie	139
临谢	lin xie	1
临谢尔	lin xie er	209
临谢尔省	lin xie er sheng	209
临近	lin jin	1821
临邑	lin yi	69
临门	lin men	105
临阵	lin zhen	62
临阵脱逃	lin zhen tuo tao	47
临阿	lin a	5
临阿尔	lin a er	2
临阿尔代	lin a er dai	375
临阿登	lin a deng	660
临阿登省	lin a deng sheng	660
临颍	lin ying	62
临风	lin feng	76
临高	lin gao	134
临默	lin mo	1278
临默兹	lin mo zi	854
临默兹省	lin mo zi sheng	854
临默尔	lin mo er	424
临默尔特	lin mo er te	423
丸	wan	4883
丸剂	wan ji	5
丸子	wan zi	3569
丸子汤	wan zi tang	57
丸山	wan shan	287
丸散膏丹	wan san gao dan	1
丸药	wan yao	2
丹	dan	15066
丹东	dan dong	706
丹东市	dan dong shi	214
丹佛	dan fo	924
丹凤眼	dan feng yan	73
丹参	dan shen	10
丹国	dan guo	8
丹增	dan zeng	227
丹妮	dan ni	528
丹娜	dan na	200
丹宁	dan ning	59
丹尼	dan ni	1273
丹尼尔	dan ni er	2075
丹尼斯	dan ni si	847
丹巴	dan ba	362
丹徒	dan tu	217
丹心	dan xin	73
丹方	dan fang	2
丹桂	dan gui	52
丹棱	dan leng	54
丹毒	dan du	9
丹波	dan bo	262
丹田	dan tian	58
丹砂	dan sha	30
丹迪	dan di	81
丹阳	dan yang	627
丹青	dan qing	131
丹顶鹤	dan ding he	45
丹麦	dan mai	6167
丹麦语	dan mai yu	466
为	wei	953401
为主	wei zhu	13818
为了	wei le	76956
为了你	wei le ni	2104
为人	wei ren	34585
为人作嫁	wei ren zuo jia	5
为人师表	wei ren shi biao	147
为什么	wei shen me	147988
为什么会	wei shen me hui	4136
为什么你	wei shen me ni	6351
为什么我	wei shen me wo	12675
为什么是	wei shen me shi	2852
为什么要	wei shen me yao	15672
为伊消得人憔悴	wei yi xiao de ren qiao cui	62
为伍	wei wu	216
为何	wei he	11892
为你	wei ni	12379
为唇	wei chun	861
为唇形	wei chun xing	1
为唇形科	wei chun xing ke	853
为啥	wei sha	46633
为啥子	wei sha zi	1591
为啥我	wei sha wo	4227
为啥要	wei sha yao	3175
为嘛	wei ma	2897
为国捐躯	wei guo juan qu	37
为害	wei hai	54
为富不仁	wei fu bu ren	34
为患	wei huan	50
为我	wei wo	3887
为所欲为	wei suo yu wei	885
为数	wei shu	1010
为时	wei shi	78
为期	wei qi	2735
为期不远	wei qi bu yuan	6
为樟	wei zhang	2
为樟科	wei zhang ke	435
为止	wei zhi	6385
为此	wei ci	4166
为毛	wei mao	5643
为民请命	wei min qing ming	10
为民除害	wei min chu hai	105
为生	wei sheng	728
为着	wei zhe	70
为禾	wei he	2080
为自己	wei zi ji	4193
为菊	wei ju	49
为菊科	wei ju ke	464
为蓼	wei liao	247
为蓼科	wei liao ke	246
为虎作伥	wei hu zuo chang	16
为赋新词强说愁	wei fu xin ci qiang shuo chou	52
为赤	wei chi	49
为赤经	wei chi jing	7756
为蹄	wei ti	395
为蹄盖	wei ti gai	393
为蹄盖蕨	wei ti gai jue	393
为辐	wei fu	1
为辐鳍	wei fu qi	489
为辐鳍鱼	wei fu qi yu	2986
为邻	wei lin	1491
为重	wei zhong	504
为限	wei xian	88
为难	wei nan	2186
为非作歹	wei fei zuo dai	42
为食	wei shi	2519
为首	wei shou	1786
为鳞	wei lin	27
为鳞毛	wei lin mao	471
为鳞毛蕨	wei lin mao jue	471
主	zhu	28781
主业	zhu ye	60
主义	zhu yi	16155
主事	zhu shi	5387
主产	zhu chan	37
主人	zhu ren	7187
主人公	zhu ren gong	1701
主人家	zhu ren jia	73
主人翁	zhu ren weng	153
主从	zhu cong	54
主任	zhu ren	36528
主任医师	zhu ren yi shi	194
主任科员	zhu ren ke yuan	182
主任裁判官	zhu ren cai pan guan	82
主体	zhu ti	4247
主使	zhu shi	60
主修	zhu xiu	750
主儿	zhu er	36
主刀	zhu dao	29
主创	zhu chuang	345
主创人员	zhu chuang ren yuan	61
主力	zhu li	3888
主力军	zhu li jun	96
主力舰	zhu li jian	267
主办	zhu ban	6576
主动	zhu dong	12063
主动性	zhu dong xing	42
主动攻击	zhu dong gong ji	82
主动权	zhu dong quan	154
主动脉	zhu dong mai	61
主厨	zhu chu	307
主君	zhu jun	297
主唱	zhu chang	6337
主因	zhu yin	341
主场	zhu chang	4817
主妇	zhu fu	613
主委	zhu wei	966
主婚	zhu hun	7
主婚人	zhu hun ren	11
主子	zhu zi	1133
主客	zhu ke	311
主客观	zhu ke guan	8
主宰	zhu zai	760
主导	zhu dao	2724
主将	zhu jiang	254
主峰	zhu feng	236
主帅	zhu shuai	399
主席	zhu xi	20756
主席台	zhu xi tai	83
主席团	zhu xi tuan	1307
主干	zhu gan	262
主干线	zhu gan xian	98
主序	zhu xu	248
主张	zhu zhang	5593
主心骨	zhu xin gu	31
主意	zhu yi	4424
主战	zhu zhan	331
主战场	zhu zhan chang	40
主打	zhu da	4995
主投	zhu tou	271
主持	zhu chi	13653
主持人	zhu chi ren	8073
主播	zhu bo	4306
主攻	zhu gong	1081
主攻手	zhu gong shou	69
主政	zhu zheng	286
主教	zhu jiao	7951
主教练	zhu jiao lian	2035
主文	zhu wen	33
主旋律	zhu xuan lv	269
主旨	zhu zhi	329
主机	zhu ji	1649
主权	zhu quan	2538
主权国	zhu quan guo	15
主板	zhu ban	393
主枝	zhu zhi	4
主校区	zhu xiao qu	266
主根	zhu gen	13
主桥	zhu qiao	164
主楼	zhu lou	497
主次	zhu ci	91
主河道	zhu he dao	31
主治	zhu zhi	101
主治医师	zhu zhi yi shi	106
主治医生	zhu zhi yi sheng	82
主流	zhu liu	6552
主渠道	zhu qu dao	2
主演	zhu yan	12315
主炮	zhu pao	833
主犯	zhu fan	143
主理	zhu li	203
主祀	zhu si	685
主祭	zhu ji	180
主笔	zhu bi	282
主管	zhu guan	4115
主管部门	zhu guan bu men	260
主簿	zhu bu	655
主粮	zhu liang	20
主线	zhu xian	1683
主编	zhu bian	3273
主罚	zhu fa	43
主考	zhu kao	132
主脑	zhu nao	48
主航道	zhu hang dao	28
主营	zhu ying	179
主营业务	zhu ying ye wu	333
主裁	zhu cai	28
主要	zhu yao	88251
主要是	zhu yao shi	20718
主要景点	zhu yao jing dian	63
主要矛盾	zhu yao mao dun	79
主见	zhu jian	368
主观	zhu guan	1257
主观世界	zhu guan shi jie	5
主观主义	zhu guan zhu yi	15
主观性	zhu guan xing	44
主观能动性	zhu guan neng dong xing	6
主角	zhu jue	19914
主计	zhu ji	396
主讲	zhu jiang	313
主诉	zhu su	25
主语	zhu yu	352
主课	zhu ke	24
主调	zhu diao	36
主谋	zhu mou	233
主责	zhu ze	53
主轴	zhu zhou	801
主销	zhu xiao	4
主键	zhu jian	70
主队	zhu dui	604
主音	zhu yin	328
主页	zhu ye	2591
主项	zhu xiang	50
主顾	zhu gu	36
主频	zhu pin	81
主题	zhu ti	18429
主题歌	zhu ti ge	539
主题词	zhu ti ci	13
主食	zhu shi	1501
丽	li	15752
丽丝	li si	515
丽亚	li ya	287
丽人	li ren	154
丽兹	li zi	286
丽华	li hua	331
丽叶	li ye	170
丽坤	li kun	206
丽塔	li ta	489
丽奈	li nai	169
丽娅	li ya	83
丽娜	li na	456
丽日	li ri	34
丽水	li shui	668
丽水市	li shui shi	128
丽江	li jiang	4637
丽江古城	li jiang gu cheng	109
丽江市	li jiang shi	61
丽热	li re	916
丽热巴	li re ba	907
丽芳	li fang	223
丽莎	li sha	844
丽莎白	li sha bai	1
丽藏	li zang	824
丽藏本	li cang ben	816
丽蝇	li ying	65
丽贝卡	li bei ka	197
丽质	li zhi	34
丽颖	li ying	656
丽鱼	li yu	846
举	ju	8760
举一反三	ju yi fan san	150
举不胜举	ju bu sheng ju	3
举世	ju shi	1050
举世无双	ju shi wu shuang	44
举世瞩目	ju shi zhu mu	18
举世闻名	ju shi wen ming	65
举事	ju shi	82
举人	ju ren	5625
举例	ju li	887
举债	ju zhai	37
举兵	ju bing	262
举凡	ju fan	72
举办	ju ban	19846
举动	ju dong	1399
举哀	ju ai	22
举国	ju guo	121
举国上下	ju guo shang xia	13
举头望明月	ju tou wang ming yue	116
举家	ju jia	369
举手	ju shou	2927
举手之劳	ju shou zhi lao	244
举手投足	ju shou tou zu	82
举手礼	ju shou li	5
举报	ju bao	9064
举措	ju cuo	499
举杯	ju bei	167
举杯邀明月	ju bei yao ming yue	81
举案齐眉	ju an qi mei	39
举棋不定	ju qi bu ding	37
举止	ju zhi	613
举步	ju bu	12
举步维艰	ju bu wei jian	73
举火	ju huo	28
举爪	ju zhao	262
举目	ju mu	22
举目无亲	ju mu wu qin	19
举荐	ju jian	342
举行	ju xing	33376
举证	ju zheng	203
举起	ju qi	1135
举足轻重	ju zu qing zhong	147
举重	ju zhong	1376
举高	ju gao	1827
乂	yi	226
乂安	yi an	389
乃	nai	11541
乃亮	nai liang	11
乃们	nai men	304
