# 青简领域词库：法律，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
反对劫持人质国际公约	fan dui jie chi ren zhi guo ji gong yue	5
反对官僚主义	fan dui guan liao zhu yi	5
反对解释	fan dui jie shi	8
反对邪教保障人权	fan dui xie jiao bao zhang ren quan	2
反应性精神病	fan ying xing jing shen bing	2
反洗钱的理论与实践	fan xi qian de li lun yu shi jian	3
反渎局	fan du ju	1
反渎职侵权	fan du zhi qin quan	13
反渎职侵权局	fan du zhi qin quan ju	1
反社会党人非常法	fan she hui dang ren fei chang fa	3
反补贴与中国产业安全	fan bu tie yu zhong guo chan ye an quan	3
反要约	fan yao yue	9
反贪污贿赂局	fan tan wu hui lu ju	6
发包与承包	fa bao yu cheng bao	10
发展与稳定	fa zhan yu wen ding	1
发展中八国集团	fa zhan zhong ba guo ji tuan	9
发展及其影响	fa zhan ji qi ying xiang	8
发展权	fa zhan quan	20
发展权利宣言	fa zhan quan li xuan yan	7
发展权论	fa zhan quan lun	3
发明专利权	fa ming zhuan li quan	10
发明专利权人	fa ming zhuan li quan ren	8
发生劳动争议怎么办	fa sheng lao dong zheng yi zen me ban	8
发生法律效力	fa sheng fa lv xiao li	6
发行中介机构	fa xing zhong jie ji gou	6
发行放映权	fa xing fang ying quan	5
发行货币	fa xing huo bi	38
发言表决免究权	fa yan biao jue mian jiu quan	2
发还相关被害人	fa huan xiang guan bei hai ren	3
发遣	fa qian	31
取得后	qu de hou	11
取消性惩罚	qu xiao xing cheng fa	5
取缔教育歧视公约	qu di jiao yu qi shi gong yue	5
受人民监督	shou ren min jian du	2
受供养子女	shou gong yang zi nv	5
受委托人	shou wei tuo ren	13
受托保管人	shou tuo bao guan ren	6
受益方	shou yi fang	2
受让股权	shou rang gu quan	2
受贿罪研究新动向	shou hui zui yan jiu xin dong xiang	4
受贿罪辩护	shou hui zui bian hu	4
变劣发明	bian lie fa ming	4
变卖试行办法	bian mai shi xing ban fa	6
变更产权	bian geng chan quan	10
变更企业性质	bian geng qi ye xing zhi	6
变更注册商标公告	bian geng zhu ce shang biao gong gao	2
变更登记	bian geng deng ji	29
变造国家货币	bian zao guo jia huo bi	5
口供补强规则	kou gong bu qiang gui ze	5
口头委托协议	kou tou wei tuo xie yi	4
古典自然法学派	gu dian zi ran fa xue pai	8
古埃及法	gu ai ji fa	25
古城派出所	gu cheng pai chu suo	1
古希腊军事法	gu xi la jun shi fa	2
古希腊法	gu xi la fa	2
古建筑消防管理规则	gu jian zhu xiao fang guan li gui ze	5
古生物化石管理办法	gu sheng wu hua shi guan li ban fa	6
古籍数字化	gu ji shu zi hua	8
古籍普查	gu ji pu cha	1
古董法规	gu dong fa gui	7
另一种和谐	ling yi zhong he xie	7
另行委托辩护	ling xing wei tuo bian hu	1
可作多种解释	ke zuo duo zhong jie shi	6
可再生能源法	ke zai sheng neng yuan fa	13
可再生能源配额制政策	ke zai sheng neng yuan pei e zhi zheng ce	5
可分之债	ke fen zhi zhai	6
可待因中毒	ke dai yin zhong du	6
可得利益损失	ke de li yi sun shi	10
可执行财产	ke zhi xing cai chan	2
可持续发展与法律变革	ke chi xu fa zhan yu fa lv bian ge	3
可持续发展环境法律	ke chi xu fa zhan huan jing fa lv	2
可比非受控价格法	ke bi fei shou kong jia ge fa	7
可流转票据	ke liu zhuan piao ju	2
可自由兑换货币	ke zi you dui huan huo bi	10
可行性报告	ke xing xing bao gao	24
可调价格合同	ke tiao jia ge he tong	7
可转债回售	ke zhuan zhai hui shou	8
可转换债券	ke zhuan huan zhai quan	10
可转让单证	ke zhuan rang dan zheng	5
可转让票据	ke zhuan rang piao ju	6
可转让许可证	ke zhuan rang xu ke zheng	4
可选择性指定交易制度	ke xuan ze xing zhi ding jiao yi zhi du	2
台商故事	tai shang gu shi	7
台港澳民事诉讼制度	tai gang ao min shi su song zhi du	3
台湾南投地方法院	tai wan nan tou di fang fa yuan	2
台湾同胞投资保护法	tai wan tong bao tou zi bao hu fa	9
台湾基隆地方法院	tai wan ji long di fang fa yuan	7
台湾鸦片令	tai wan ya pian ling	2
台规	tai gui	1
台谏合一	tai jian he yi	4
台谏官	tai jian guan	4
台院	tai yuan	10
史密斯和基南英国法	shi mi si he ji nan ying guo fa	4
叶亚飞	ye ya fei	9
叶波	ye bo	12
司户参军	si hu can jun	43
司法体制改革	si fa ti zhi gai ge	13
司法信息技术	si fa xin xi ji shu	7
司法公正与诉讼程序	si fa gong zheng yu su song cheng xu	2
司法制度新论	si fa zhi du xin lun	3
司法制度比较	si fa zhi du bi jiao	5
司法协助制度	si fa xie zhu zhi du	7
司法协助条约	si fa xie zhu tiao yue	2
司法参军事	si fa can jun shi	2
司法实用文写作	si fa shi yong wen xie zuo	5
司法局副局长	si fa ju fu ju zhang	8
司法局局长	si fa ju ju zhang	7
司法工作人员	si fa gong zuo ren yuan	9
司法改革研究	si fa gai ge yan jiu	9
司法理念与裁判方法	si fa li nian yu cai pan fang fa	3
司法理论与司法模式	si fa li lun yu si fa mo shi	2
司法笔录训练	si fa bi lu xun lian	4
司法考试大纲	si fa kao shi da gang	12
司法考试教材	si fa kao shi jiao cai	10
司法考试记忆通	si fa kao shi ji yi tong	3
司法院校	si fa yuan xiao	11
司法黄牛	si fa huang niu	4
司法黄牛案	si fa huang niu an	4
吃好好	chi hao hao	9
各委员会主任	ge wei yuan hui zhu ren	1
各级地方政府	ge ji di fang zheng fu	16
合众为一	he zhong wei yi	22
合伙企业法	he huo qi ye fa	14
合伙企业法辞解	he huo qi ye fa ci jie	3
合伙企业登记管理办法	he huo qi ye deng ji guan li ban fa	9
合伙共有财产	he huo gong you cai chan	5
合作社法	he zuo she fa	3
合作社法律制度研究	he zuo she fa lv zhi du yan jiu	3
合作社章程	he zuo she zhang cheng	2
合同保险金额	he tong bao xian jin e	9
合同债权质押	he tong zhai quan zhi ya	4
合同台帐	he tong tai zhang	8
合同小签	he tong xiao qian	3
合同履行不能	he tong lv xing bu neng	7
合同履行地	he tong lv xing di	12
合同履行瑕疵	he tong lv xing xia ci	3
合同战术	he tong zhan shu	8
合同承担	he tong cheng dan	10
合同效力制度	he tong xiao li zhi du	5
合同权利义务概括转移	he tong quan li yi wu gai kuo zhuan yi	3
合同欺诈及其法律对策	he tong qi zha ji qi fa lv dui ce	2
合同煤	he tong mei	13
合同生效要件	he tong sheng xiao yao jian	8
合同示范文本	he tong shi fan wen ben	14
合同约定	he tong yue ding	16
合同缔约过失责任	he tong di yue guo shi ze ren	3
合同能源管理模式	he tong neng yuan guan li mo shi	9
合同自体法	he tong zi ti fa	5
合同诈骗	he tong zha pian	3
合同诈骗罪研究	he tong zha pian zui yan jiu	3
合并审理	he bing shen li	4
合法稳定住所	he fa wen ding zhu suo	3
合理性要求	he li xing yao qiu	9
合理注意义务	he li zhu yi yi wu	10
合约一方	he yue yi fang	6
合约期权	he yue qi quan	7
合肥市城市供水条例	he fei shi cheng shi gong shui tiao li	5
合营企业协议	he ying qi ye xie yi	10
合营企业章程	he ying qi ye zhang cheng	9
合谋诈骗	he mou zha pian	9
吉林华港律师事务所	ji lin hua gang lv shi shi wu suo	3
吉林市昌邑区人民法院	ji lin shi chang yi qu ren min fa yuan	6
吉林省地方铁路条例	ji lin sheng di fang tie lu tiao li	4
吉林省城市供热条例	ji lin sheng cheng shi gong re tiao li	5
吉林省失业保险办法	ji lin sheng shi ye bao xian ban fa	8
同业拆借市场利率	tong ye chai jie shi chang li lv	8
同业竞争关系	tong ye jing zheng guan xi	1
同住人	tong zhu ren	1
同害报应	tong hai bao ying	2
同居财产	tong ju cai chan	6
同志研究	tong zhi yan jiu	4
同时履行抗辩	tong shi lv xing kang bian	1
同时履行抗辩权	tong shi lv xing kang bian quan	11
同步辅导与强化训练	tong bu fu dao yu qiang hua xun lian	7
名为联营实为借贷	ming wei lian ying shi wei jie dai	5
名义税收负担	ming yi shui shou fu dan	3
名优标志	ming you biao zhi	11
名家杂志社	ming jia za zhi she	5
名律师谈名案	ming lv shi tan ming an	2
后契约责任	hou qi yue ze ren	5
后悔权制度	hou hui quan zhi du	2
后法优于前法	hou fa you yu qian fa	8
后现代法学	hou xian dai fa xue	9
后现代法学思潮	hou xian dai fa xue si chao	6
后魏律	hou wei lv	4
吐鲁番地区行政公署	tu lu fan di qu xing zheng gong shu	4
向公众招标	xiang gong zhong zhao biao	2
向单位行贿罪	xiang dan wei xing hui zui	7
吕忠梅	lv zhong mei	12
吞吐基础货币	tun tu ji chu huo bi	7
吴丹红	wu dan hong	11
吸收客户资金不入账罪	xi shou ke hu zi jin bu ru zhang zui	5
告知义务范围	gao zhi yi wu fan wei	4
告诉才处理	gao su cai chu li	11
员工培训制度	yuan gong pei xun zhi du	9
员工福利与退休计划	yuan gong fu li yu tui xiu ji hua	7
员工维权实战兵法	yuan gong wei quan shi zhan bing fa	10
周忠海国际法论文集	zhou zhong hai guo ji fa lun wen ji	4
周林彬	zhou lin bin	8
呵护权利	he hu quan li	2
呼和浩特第二监狱	hu he hao te di er jian yu	4
和谐与法治	he xie yu fa zhi	5
和谐发展	he xie fa zhan	23
和谐奥运	he xie ao yun	12
和谐权	he xie quan	8
和谐社会的宪政之维	he xie she hui de xian zheng zhi wei	3
咨询业经营诀窍	zi xun ye jing ying jue qiao	2
品官占田荫客制	pin guan zhan tian yin ke zhi	4
品牌安全	pin pai an quan	11
品牌独特性	pin pai du te xing	7
品牌诉求	pin pai su qiu	1
品种保护权	pin zhong bao hu quan	8
品种权代理	pin zhong quan dai li	7
品质增减价条款	pin zhi zeng jian jia tiao kuan	4
品质机动幅度	pin zhi ji dong fu du	7
哈尔滨市养犬管理条例	ha er bin shi yang quan guan li tiao li	6
哈尔滨市河道管理条例	ha er bin shi he dao guan li tiao li	4
哈尔滨市物业管理规定	ha er bin shi wu ye guan li gui ding	6
哈尔滨新建监狱	ha er bin xin jian jian yu	3
哑吧英语	ya ba ying yu	10
唐代民事法律制度论稿	tang dai min shi fa lv zhi du lun gao	2
唐山市土地管理办法	tang shan shi tu di guan li ban fa	5
唐明律合编	tang ming lv he bian	1
唐朝官制	tang chao guan zhi	1
售定	shou ding	13
唯一代表	wei yi dai biao	35
商业企业	shang ye qi ye	29
商业会计法	shang ye kuai ji fa	19
商业保险	shang ye bao xian	8
商业保险纠纷诉讼	shang ye bao xian jiu fen su song	4
商业信贷风险	shang ye xin dai feng xian	5
商业判断原则	shang ye pan duan yuan ze	5
商业医疗保险合同	shang ye yi liao bao xian he tong	3
商业承兑汇票	shang ye cheng dui hui piao	14
商业标志法	shang ye biao zhi fa	4
商业欺诈	shang ye qi zha	4
商业欺诈行为	shang ye qi zha xing wei	1
商业特许经营管理办法	shang ye te xu jing ying guan li ban fa	10
商业犯罪研究	shang ye fan zui yan jiu	3
商业登记法	shang ye deng ji fa	1
商业综合责任保险	shang ye zong he ze ren bao xian	2
商业诽谤行为	shang ye fei bang xing wei	4
商业贿赂	shang ye hui lu	2
商业贿赂犯罪研究	shang ye hui lu fan zui yan jiu	3
商业贿赂罪	shang ye hui lu zui	9
商业贿赂行为	shang ye hui lu xing wei	1
商业银行信息披露办法	shang ye yin hang xin xi pi lu ban fa	6
商业银行信贷文化	shang ye yin hang xin dai wen hua	3
商业银行贷款政策	shang ye yin hang dai kuan zheng ce	4
商业银行金融创新指引	shang ye yin hang jin rong chuang xin zhi yin	9
商业银行风险管理	shang ye yin hang feng xian guan li	10
商业风险担保	shang ye feng xian dan bao	2
商事代理	shang shi dai li	1
商事代理法	shang shi dai li fa	6
商事关系	shang shi guan xi	2
商事合伙	shang shi he huo	7
商事登记效力	shang shi deng ji xiao li	3
商务部特许经营备案	shang wu bu te xu jing ying bei an	3
商品化权	shang pin hua quan	9
商品房买卖法律关系	shang pin fang mai mai fa lv guan xi	5
商品房协议书	shang pin fang xie yi shu	5
商品房销售管理办法	shang pin fang xiao shou guan li ban fa	12
商品条码管理办法	shang pin tiao ma guan li ban fa	8
商品认证标志	shang pin ren zheng biao zhi	5
商学院生存指南	shang xue yuan sheng cun zhi nan	3
商改住	shang gai zhu	6
商标专利版权	shang biao zhuan li ban quan	7
商标专用权质押合同	shang biao zhuan yong quan zhi ya he tong	6
商标专用权转让	shang biao zhuan yong quan zhuan rang	7
商标仿冒	shang biao fang mao	5
商标优先注册权	shang biao you xian zhu ce quan	3
商标使用不当	shang biao shi yong bu dang	5
商标使用许可协议	shang biao shi yong xu ke xie yi	9
商标印制管理制度	shang biao yin zhi guan li zhi du	5
商标印制管理办法	shang biao yin zhi guan li ban fa	7
商标反向假冒	shang biao fan xiang jia mao	6
商标平台	shang biao ping tai	4
商标抢注	shang biao qiang zhu	12
商标权使用权	shang biao quan shi yong quan	3
商标权利范围	shang biao quan li fan wei	4
商标权续展	shang biao quan xu zhan	3
商标权转让	shang biao quan zhuan rang	1
商标禁止权	shang biao jin zhi quan	5
商用密码科研定点单位	shang yong mi ma ke yan ding dian dan wei	6
商用密码科研管理规定	shang yong mi ma ke yan guan li gui ding	3
商用房开发贷款	shang yong fang kai fa dai kuan	4
商贸企业文化	shang mao qi ye wen hua	4
商贸法律与案例	shang mao fa lv yu an li	5
啬夫	se fu	7
喜临门牌	xi lin men pai	5
喜欢不是罪	xi huan bu shi zui	6
喜马拉雅条款	xi ma la ya tiao kuan	4
嗣后不能	si hou bu neng	7
器官移植与脑死亡	qi guan yi zhi yu nao si wang	4
器官移植法研究	qi guan yi zhi fa yan jiu	2
器材管理制度	qi cai guan li zhi du	6
四不原则	si bu yuan ze	8
四个一批	si ge yi pi	19
四个坚定不移	si ge jian ding bu yi	12
四个服从	si ge fu cong	9
四固定	si gu ding	2
四定法	si ding fa	5
四川省专利保护条例	si chuan sheng zhuan li bao hu tiao li	4
四川省价格监测规定	si chuan sheng jia ge jian ce gui ding	3
四川省价格管理条例	si chuan sheng jia ge guan li tiao li	4
四川省全民健身条例	si chuan sheng quan min jian shen tiao li	6
四川省公墓管理条例	si chuan sheng gong mu guan li tiao li	4
四川省地方志工作条例	si chuan sheng di fang zhi gong zuo tiao li	4
四川省天然林保护条例	si chuan sheng tian ran lin bao hu tiao li	5
四川省旅游执法总队	si chuan sheng lv you zhi fa zong dui	5
四平市公安局铁西分局	si ping shi gong an ju tie xi fen ju	5
四库全书术数初集	si ku quan shu shu shu chu ji	4
四强公约	si qiang gong yue	3
四级三审制	si ji san shen zhi	8
四级两审终审制	si ji liang shen zhong shen zhi	6
四警合一	si jing he yi	4
回归价值	hui gui jia zhi	12
回购协议	hui gou xie yi	3
回避决定	hui bi jue ding	10
回避制度	hui bi zhi du	2
因特网服务提供者	yin te wang fu wu ti gong zhe	6
团体保险合同	tuan ti bao xian he tong	6
团体协约法	tuan ti xie yue fa	1
团队为赢	tuan dui wei ying	6
园冶	yuan ye	19
围堵政策	wei du zheng ce	7
固定价格法	gu ding jia ge fa	5
固定再保险合同	gu ding zai bao xian he tong	4
国事犯	guo shi fan	1
国事犯罪	guo shi fan zui	5
国债一级自营商	guo zhai yi ji zi ying shang	8
国债专项资金	guo zhai zhuan xiang zi jin	10
国债代地方政府发行	guo zhai dai di fang zheng fu fa xing	3
国债发行价格	guo zhai fa xing jia ge	6
国债回购	guo zhai hui gou	13
国债法	guo zhai fa	9
国共两党庐山谈判	guo gong liang dang lu shan tan pan	3
国共停战协定	guo gong ting zhan xie ding	1
国内优先分保	guo nei you xian fen bao	7
国内外蜂产品标准选编	guo nei wai feng chan pin biao zhun xuan bian	4
国内经济公证	guo nei jing ji gong zheng	6
国内船舶管理业规定	guo nei chuan bo guan li ye gui ding	3
国内运营权	guo nei yun ying quan	5
国军抗战连坐法	guo jun kang zhan lian zuo fa	2
国务院企业管理委员会	guo wu yuan qi ye guan li wei yuan hui	4
国务院体制改革办公室	guo wu yuan ti zhi gai ge ban gong shi	6
国务院信访条例	guo wu yuan xin fang tiao li	8
国务院关税税则委员会	guo wu yuan guan shui shui ze wei yuan hui	12
国务院发展研究中心	guo wu yuan fa zhan yan jiu zhong xin	16
国务院口岸领导小组	guo wu yuan kou an ling dao xiao zu	6
国务院台湾事务办公室	guo wu yuan tai wan shi wu ban gong shi	14
国务院国资委工作规则	guo wu yuan guo zi wei gong zuo gui ze	4
国务院外事办	guo wu yuan wai shi ban	1
国务院审计长	guo wu yuan shen ji zhang	3
国务院扶贫开发办	guo wu yuan fu pin kai fa ban	1
国务院法制办	guo wu yuan fa zhi ban	10
国务院科技干部局	guo wu yuan ke ji gan bu ju	2
国务院组织法	guo wu yuan zu zhi fa	7
国务院经济贸易办公室	guo wu yuan jing ji mao yi ban gong shi	9
国务院证券委员会	guo wu yuan zheng quan wei yuan hui	1
国土资源听证规定	guo tu zi yuan ting zheng gui ding	9
国土资源监察员	guo tu zi yuan jian cha yuan	4
国外救灾救助法规汇编	guo wai jiu zai jiu zhu fa gui hui bian	3
国家专营企业	guo jia zhuan ying qi ye	4
国家主席制度	guo jia zhu xi zhi du	7
国家产业技术政策	guo jia chan ye ji shu zheng ce	9
国家产业政策	guo jia chan ye zheng ce	1
国家人事局	guo jia ren shi ju	9
国家以工代赈管理办法	guo jia yi gong dai zhen guan li ban fa	5
国家保密法	guo jia bao mi fa	3
国家公务员回避制度	guo jia gong wu yuan hui bi zhi du	6
国家公务员暂行条例	guo jia gong wu yuan zan xing tiao li	12
国家公务员法	guo jia gong wu yuan fa	8
国家公职人员受贿罪	guo jia gong zhi ren yuan shou hui zui	4
国家公职人员犯罪	guo jia gong zhi ren yuan fan zui	5
国家公证	guo jia gong zheng	11
国家公诉人	guo jia gong su ren	5
国家农业委员会	guo jia nong ye wei yuan hui	7
国家冶金工业局	guo jia ye jin gong ye ju	4
国家出入境检验检疫局	guo jia chu ru jing jian yan jian yi ju	11
国家出版局	guo jia chu ban ju	17
国家卫生城市标准	guo jia wei sheng cheng shi biao zhun	10
国家危险废物名录	guo jia wei xian fei wu ming lu	10
国家厉行节约	guo jia li xing jie yue	8
国家及其财产豁免权	guo jia ji qi cai chan huo mian quan	4
国家发展计划委员会	guo jia fa zhan ji hua wei yuan hui	13
国家司法考试大纲	guo jia si fa kao shi da gang	12
国家司法考试应试规则	guo jia si fa kao shi ying shi gui ze	8
国家国内贸易局	guo jia guo nei mao yi ju	5
国家国防动员委员会	guo jia guo fang dong yuan wei yuan hui	9
国家土地督察制度	guo jia tu di du cha zhi du	3
国家土地督察济南局	guo jia tu di du cha ji nan ju	7
国家土地管理局	guo jia tu di guan li ju	13
国家地震应急预案	guo jia di zhen ying ji yu an	8
国家城市建设总局	guo jia cheng shi jian she zong ju	9
国家基本养老保险	guo jia ji ben yang lao bao xian	1
国家基本建设委员会	guo jia ji ben jian she wei yuan hui	8
国家基本药物制度	guo jia ji ben yao wu zhi du	3
国家基本药物目录	guo jia ji ben yao wu mu lu	5
国家外国专家局	guo jia wai guo zhuan jia ju	28
国家安全工作	guo jia an quan gong zuo	13
国家安全法实施细则	guo jia an quan fa shi shi xi ze	7
国家审判机关	guo jia shen pan ji guan	10
国家工作人员	guo jia gong zuo ren yuan	46
国家工商行政管理局	guo jia gong shang xing zheng guan li ju	15
国家干预	guo jia gan yu	14
国家广播电影电视总局	guo jia guang bo dian ying dian shi zong ju	14
国家建筑材料工业局	guo jia jian zhu cai liao gong ye ju	10
国家建设用地	guo jia jian she yong di	9
国家开发银行办公厅	guo jia kai fa yin hang ban gong ting	2
国家总动员法	guo jia zong dong yuan fa	4
国家恐怖主义	guo jia kong bu zhu yi	7
国家房管局	guo jia fang guan ju	4
国家执业医师资格考试	guo jia zhi ye yi shi zi ge kao shi	11
国家教育委员会	guo jia jiao yu wei yuan hui	31
国家新闻出版署	guo jia xin wen chu ban shu	44
国家无线电管理委员会	guo jia wu xian dian guan li wei yuan hui	9
国家有色金属工业局	guo jia you se jin shu gong ye ju	8
国家机关工作人员	guo jia ji guan gong zuo ren yuan	17
国家机械工业局	guo jia ji xie gong ye ju	4
国家核安全局	guo jia he an quan ju	25
国家核应急预案	guo jia he ying ji yu an	6
国家民族事务委员会	guo jia min zu shi wu wei yuan hui	11
国家法官学院	guo jia fa guan xue yuan	2
国家测绘局	guo jia ce hui ju	15
国家海上搜救应急预案	guo jia hai shang sou jiu ying ji yu an	8
国家烟草专卖局	guo jia yan cao zhuan mai ju	14
国家煤炭工业局	guo jia mei tan gong ye ju	3
国家版权局	guo jia ban quan ju	35
国家环境保护总局	guo jia huan jing bao hu zong ju	39
国家现金管理制度	guo jia xian jin guan li zhi du	5
国家电力公司	guo jia dian li gong si	20
国家监督	guo jia jian du	7
国家直接投资	guo jia zhi jie tou zi	1
国家督学聘任管理办法	guo jia du xue pin ren guan li ban fa	4
国家石油和化学工业局	guo jia shi you he hua xue gong ye ju	9
国家科学技术奖励条例	guo jia ke xue ji shu jiang li tiao li	9
国家科学技术委员会	guo jia ke xue ji shu wei yuan hui	11
国家税收执法权	guo jia shui shou zhi fa quan	2
国家管辖权	guo jia guan xia quan	1
国家级专项规划	guo jia ji zhuan xiang gui hua	7
国家纺织工业局	guo jia fang zhi gong ye ju	9
国家经济主权原则	guo jia jing ji zhu quan yuan ze	5
国家经济委员会	guo jia jing ji wei yuan hui	43
国家经济安全	guo jia jing ji an quan	2
国家经济政策	guo jia jing ji zheng ce	1
国家经济贸易委员会	guo jia jing ji mao yi wei yuan hui	15
国家结构	guo jia jie gou	7
国家结构形式	guo jia jie gou xing shi	1
国家统一司法考试	guo jia tong yi si fa kao shi	1
国家编制委员会	guo jia bian zhi wei yuan hui	2
国家职权主义	guo jia zhi quan zhu yi	5
国家股	guo jia gu	16
国家能源委员会	guo jia neng yuan wei yuan hui	8
国家能源投资公司	guo jia neng yuan tou zi gong si	8
国家药品监督管理局	guo jia yao pin jian du guan li ju	14
国家补偿	guo jia bu chang	12
国家计划生育委员会	guo jia ji hua sheng yu wei yuan hui	11
国家计量局	guo jia ji liang ju	1
国家豁免权	guo jia huo mian quan	7
国家财产豁免权	guo jia cai chan huo mian quan	4
国家财政政策	guo jia cai zheng zheng ce	10
国家货币政策	guo jia huo bi zheng ce	11
国家质量技术监督局	guo jia zhi liang ji shu jian du ju	13
国家赔偿费用管理办法	guo jia pei chang fei yong guan li ban fa	7
国家轻工业局	guo jia qing gong ye ju	10
国家边界	guo jia bian jie	15
国家进出口管理委员会	guo jia jin chu kou guan li wei yuan hui	9
国家进出口银行	guo jia jin chu kou yin hang	9
国家通信保障应急预案	guo jia tong xin bao zhang ying ji yu an	5
国家通用语言文字法	guo jia tong yong yu yan wen zi fa	11
国家重点公园管理办法	guo jia zhong dian gong yuan guan li ban fa	6
国家金库制度	guo jia jin ku zhi du	1
国家防汛抗旱应急预案	guo jia fang xun kang han ying ji yu an	7
国家黄金管理局	guo jia huang jin guan li ju	7
国有产权转让	guo you chan quan zhuan rang	14
国有企业改革法律报告	guo you qi ye gai ge fa lv bao gao	3
国有企业清产核资办法	guo you qi ye qing chan he zi ban fa	9
国有企业经营权	guo you qi ye jing ying quan	7
国有保险公司监事会	guo you bao xian gong si jian shi hui	7
国有农场税费改革	guo you nong chang shui fei gai ge	10
国有化政策	guo you hua zheng ce	10
国有土地使用权流转	guo you tu di shi yong quan liu zhuan	4
国有煤矿瓦斯治理规定	guo you mei kuang wa si zhi li gui ding	5
国有独资企业	guo you du zi qi ye	23
国有独资公司	guo you du zi gong si	22
国有独资商业银行	guo you du zi shang ye yin hang	1
国有股减持	guo you gu jian chi	15
国有股权法律制度研究	guo you gu quan fa lv zhi du yan jiu	2
国有财产法	guo you cai chan fa	4
国有资产产权界定	guo you zi chan chan quan jie ding	9
国有资本经营预算制度	guo you zi ben jing ying yu suan zhi du	12
国民住宅条例	guo min zhu zhai tiao li	3
国籍抵触	guo ji di chu	4
国籍税收管辖权	guo ji shui shou guan xia quan	3
国营企业调节税	guo ying qi ye tiao jie shui	2
国营公司	guo ying gong si	15
国营贸易制度	guo ying mao yi zhi du	4
国防专利代理机构	guo fang zhuan li dai li ji gou	5
国防专利条例	guo fang zhuan li tiao li	6
国防动员委员会	guo fang dong yuan wei yuan hui	30
国际习惯	guo ji xi guan	10
国际习惯做法	guo ji xi guan zuo fa	5
国际产品责任法	guo ji chan pin ze ren fa	6
国际人权公约与中国	guo ji ren quan gong yue yu zhong guo	3
国际人权条约	guo ji ren quan tiao yue	1
国际人权法	guo ji ren quan fa	46
国际信用担保	guo ji xin yong dan bao	8
国际刑事司法协助研究	guo ji xing shi si fa xie zhu yan jiu	3
国际刑事法院规约	guo ji xing shi fa yuan gui yue	1
国际化新形势新对策	guo ji hua xin xing shi xin dui ce	3
国际发展援助	guo ji fa zhan yuan zhu	1
国际发展法	guo ji fa zhan fa	1
国际商事仲裁法	guo ji shang shi zhong cai fa	8
国际商事合同法	guo ji shang shi he tong fa	5
国际商事合同法统一化	guo ji shang shi he tong fa tong yi hua	2
国际商法学习指导	guo ji shang fa xue xi zhi dao	6
国际奶制品协议	guo ji nai zhi pin xie yi	4
国际工程承包	guo ji gong cheng cheng bao	13
国际强行法	guo ji qiang xing fa	2
国际恐怖主义犯罪	guo ji kong bu zhu yi fan zui	7
国际托管制度	guo ji tuo guan zhi du	5
国际技术转让合同	guo ji ji shu zhuan rang he tong	7
国际支付手段	guo ji zhi fu shou duan	8
国际服务贸易	guo ji fu wu mao yi	6
国际植物保护公约	guo ji zhi wu bao hu gong yue	8
国际植物命名法规	guo ji zhi wu ming ming fa gui	4
国际武器贸易条例	guo ji wu qi mao yi tiao li	3
国际民事管辖权	guo ji min shi guan xia quan	6
国际民商事程序法通论	guo ji min shang shi cheng xu fa tong lun	2
国际民商事诉讼程序法	guo ji min shang shi su song cheng xu fa	2
国际法专题研究	guo ji fa zhuan ti yan jiu	4
国际法律服务贸易	guo ji fa lv fu wu mao yi	3
国际法渊源	guo ji fa yuan yuan	7
国际法研究院	guo ji fa yan jiu yuan	4
国际法输入与晚清中国	guo ji fa shu ru yu wan qing zhong guo	3
国际法院新近案例研究	guo ji fa yuan xin jin an li yan jiu	3
国际法院规约	guo ji fa yuan gui yue	5
国际海上避碰规则公约	guo ji hai shang bi peng gui ze gong yue	5
国际海事欺诈	guo ji hai shi qi zha	4
国际海运危险货物规则	guo ji hai yun wei xian huo wu gui ze	7
国际湿地公约	guo ji shi di gong yue	1
国际热带木材协定	guo ji re dai mu cai xie ding	5
国际牛肉协议	guo ji niu rou xie yi	4
国际特许经营指南	guo ji te xu jing ying zhi nan	3
国际电信公约	guo ji dian xin gong yue	6
国际知识产权制度	guo ji zhi shi chan quan zhi du	8
国际知识产权法	guo ji zhi shi chan quan fa	1
国际纺织品贸易协定	guo ji fang zhi pin mao yi xie ding	5
国际经济合作实务	guo ji jing ji he zuo shi wu	7
国际经济法	guo ji jing ji fa	28
国际经济法习题集	guo ji jing ji fa xi ti ji	4
国际经济法教程	guo ji jing ji fa jiao cheng	4
国际经济贸易法律制度	guo ji jing ji mao yi fa lv zhi du	5
国际航空法	guo ji hang kong fa	6
国际船舶载重线公约	guo ji chuan bo zai zhong xian gong yue	5
国际许可证协议	guo ji xu ke zheng xie yi	5
国际货币法	guo ji huo bi fa	5
国际货币金融法	guo ji huo bi jin rong fa	7
国际货物运输保险	guo ji huo wu yun shu bao xian	9
国际贸易促进委员会	guo ji mao yi cu jin wei yuan hui	14
国际贸易术语解释通则	guo ji mao yi shu yu jie shi tong ze	10
国际贸易条约	guo ji mao yi tiao yue	1
国际贸易欺诈案例集	guo ji mao yi qi zha an li ji	3
国际贸易法专论	guo ji mao yi fa zhuan lun	2
国际贸易法规与惯例	guo ji mao yi fa gui yu guan li	4
国际道路运输管理规定	guo ji dao lu yun shu guan li gui ding	6
国际重复征税	guo ji chong fu zheng shui	9
