# 青简领域词库：财经，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
天香	tian xiang	9
天马精化	tian ma jing hua	4
天马股份	tian ma gu fen	2
天鸿	tian hong	4
天鸿宝业	tian hong bao ye	5
天龙光电	tian long guang dian	5
天龙集团	tian long ji tuan	6
太光	tai guang	3
太光电信	tai guang dian xin	1
奕达	yi da	1
奖励费	jiang li fei	2
奖励金	jiang li jin	29
套利	tao li	30
套现	tao xian	34
奥克股份	ao ke gu fen	5
奥普光电	ao pu guang dian	5
奥维通信	ao wei tong xin	5
奥运卡	ao yun ka	3
奥飞动漫	ao fei dong man	8
好时光	hao shi guang	4
如家	ru jia	6
委托单	wei tuo dan	4
威尔泰	wei er tai	5
威胜集团	wei sheng ji tuan	3
威达	wei da	24
存定期	cun ding qi	9
存放处	cun fang chu	7
存款人	cun kuan ren	8
存款保险制度	cun kuan bao xian zhi du	13
存贷款	cun dai kuan	2
宁夏恒力	ning xia heng li	2
宁天龙	ning tian long	2
宁波富邦	ning bo fu bang	1
宁波港	ning bo gang	24
宁波银行	ning bo yin hang	11
宁波韵升	ning bo yun sheng	3
宇信易诚	yu xin yi cheng	3
安信信托	an xin xin tuo	7
安全度	an quan du	6
安全边际	an quan bian ji	8
安凯客车	an kai ke che	5
安居宝	an ju bao	1
安彩	an cai	8
安泰科技	an tai ke ji	3
安泰科技股份有限公司	an tai ke ji gu fen you xian gong si	2
安泰集团	an tai ji tuan	3
安纳达	an na da	6
安联集团	an lian ji tuan	3
安达信	an da xin	6
完税证	wan shui zheng	8
宏业集团	hong ye ji tuan	3
宏华集团	hong hua ji tuan	2
宏安集团	hong an ji tuan	5
宏峰	hong feng	17
宏智	hong zhi	2
宏盛	hong sheng	2
宏观经济学	hong guan jing ji xue	41
定向增发	ding xiang zeng fa	7
定投	ding tou	10
定税	ding shui	9
宜华	yi hua	2
宜华地产	yi hua di chan	4
宜华木业	yi hua mu ye	4
宝丽华	bao li hua	2
宝信	bao xin	6
宝利来	bao li lai	11
宝姿	bao zi	5
宝瑞通典当行	bao rui tong dian dang hang	7
宝盈	bao ying	22
宝莫股份	bao mo gu fen	4
宝莱特	bao lai te	6
宝诚	bao cheng	1
宝龙地产	bao long di chan	3
实体经济	shi ti jing ji	17
实卡	shi ka	5
实得	shi de	10
实德环球	shi de huan qiu	2
实施标准	shi shi biao zhun	4
实施细则	shi shi xi ze	47
实益达	shi yi da	5
实盘	shi pan	10
实股	shi gu	4
实际公司	shi ji gong si	2
审计意见	shen ji yi jian	1
审计报告	shen ji bao gao	31
审计结果	shen ji jie guo	5
家得宝	jia de bao	10
家润多	jia run duo	4
宽限期	kuan xian qi	12
富力地产	fu li di chan	12
富华集团	fu hua ji tuan	1
富国天成	fu guo tian cheng	2
富士银行	fu shi yin hang	13
富豪酒店	fu hao jiu dian	9
寰岛	huan dao	5
对价	dui jia	28
对外资	dui wai zi	9
对账单	dui zhang dan	2
对赌	dui du	32
封盘	feng pan	6
封转开	feng zhuan kai	3
封闭期	feng bi qi	7
小牌	xiao pai	4
小盘	xiao pan	7
小盘股	xiao pan gu	2
小股民	xiao gu min	2
小肥羊	xiao fei yang	7
小阳	xiao yang	10
尤洛卡	you luo ka	5
尾盘	wei pan	3
展讯	zhan xun	6
履约保函	lv yue bao han	1
履约率	lv yue lv	2
山东墨龙	shan dong mo long	2
山东如意	shan dong ru yi	2
山东威达	shan dong wei da	4
山东德棉股份有限公司	shan dong de mian gu fen you xian gong si	2
山东矿机	shan dong kuang ji	3
山东铝业	shan dong lv ye	5
山东鲁阳	shan dong lu yang	3
山东鲁阳股份有限公司	shan dong lu yang gu fen you xian gong si	4
山推股份	shan tui gu fen	2
山煤国际	shan mei guo ji	3
山航	shan hang	6
岷电	min dian	2
川化股份有限公司	chuan hua gu fen you xian gong si	3
川大智胜	chuan da zhi sheng	1
川金路	chuan jin lu	2
巢东股份	chao dong gu fen	3
工作方案	gong zuo fang an	43
工商银行	gong shang yin hang	30
工新	gong xin	2
工行	gong hang	5
工银亚洲	gong yin ya zhou	4
工银保本	gong yin bao ben	2
工银添利	gong yin tian li	5
工银添颐	gong yin tian yi	5
巨星科技	ju xing ke ji	2
巨潮	ju chao	7
巨额交易	ju e jiao yi	6
巨龙管业	ju long guan ye	3
巴克莱银行	ba ke lai yin hang	27
币种	bi zhong	33
市净率	shi jing lv	1
市场供求	shi chang gong qiu	1
市场报	shi chang bao	8
市场部	shi chang bu	30
市盈率	shi ying lv	5
常柴	chang chai	1
常胜网	chang sheng wang	4
平值	ping zhi	2
平券	ping quan	1
平均利润	ping jun li run	1
平均利率	ping jun li lv	3
平安集团	ping an ji tuan	2
平邮	ping you	7
年审	nian shen	7
年收益	nian shou yi	11
广东广信	guang dong guang xin	1
广东星湖	guang dong xing hu	4
广东百灵信	guang dong bai ling xin	3
广东科德	guang dong ke de	2
广发	guang fa	44
广发华福	guang fa hua fu	2
广发证券	guang fa zheng quan	6
广发银行	guang fa yin hang	6
广夏	guang xia	7
广宇集团	guang yu ji tuan	6
广州万隆	guang zhou wan long	3
广州冷机	guang zhou leng ji	2
广州冷机股份有限公司	guang zhou leng ji gu fen you xian gong si	2
广州分行	guang zhou fen hang	12
广州国光	guang zhou guo guang	4
广州浪奇	guang zhou lang qi	13
广州珠江	guang zhou zhu jiang	6
广汽长丰	guang qi chang feng	3
广电信息	guang dian xin xi	1
广电运通	guang dian yun tong	4
广百股份	guang bai gu fen	1
广联达	guang lian da	8
库藏股	ku cang gu	2
康佳	kang jia	18
康卡斯特	kang ka si te	49
康大食品	kang da shi pin	5
康得新	kang de xin	19
康盛股份	kang sheng gu fen	2
康美债	kang mei zhai	2
康美药业	kang mei yao ye	2
康耐特	kang nai te	6
康菲石油	kang fei shi you	4
康赛	kang sai	13
康达尔	kang da er	1
廉租房	lian zu fang	12
建仓	jian cang	7
建信	jian xin	10
建研集团	jian yan ji tuan	2
建行卡	jian hang ka	5
建设银行	jian she yin hang	23
建通	jian tong	4
开卡	kai ka	12
开尔新材	kai er xin cai	3
开户费	kai hu fei	9
开拓进取	kai tuo jin qu	4
开放经济	kai fang jing ji	8
开盘价	kai pan jia	5
异动股	yi dong gu	6
张江高科	zhang jiang gao ke	5
张铜	zhang tong	2
当代经理人	dang dai jing li ren	4
当代金融家	dang dai jin rong jia	1
彩票点	cai piao dian	7
彩票网	cai piao wang	6
彼得林奇	bi de lin qi	4
征用权	zheng yong quan	1
征管处	zheng guan chu	4
待评	dai ping	4
徐工科技	xu gong ke ji	2
微利股	wei li gu	2
微观经济学	wei guan jing ji xue	14
德信集团	de xin ji tuan	1
德国安联	de guo an lian	3
德棉	de mian	1
德盛增利	de sheng zeng li	2
德累斯顿银行	de lei si dun yin hang	8
德豪润达	de hao run da	7
快公司	kuai gong si	7
思捷环球	si jie huan qiu	1
总成交量	zong cheng jiao liang	9
总房价	zong fang jia	6
总水平	zong shui ping	7
总负债	zong fu zhai	3
总需求	zong xu qiu	10
恒基达鑫	heng ji da xin	2
恒泰大通	heng tai da tong	4
恒泰艾普	heng tai ai pu	1
恒立	heng li	7
息票	xi piao	5
情况表	qing kuang biao	4
惠博普	hui bo pu	6
惠天	hui tian	9
惨绿	can lv	6
成交量	cheng jiao liang	16
成功营销	cheng gong ying xiao	4
成商集团	cheng shang ji tuan	4
成都路桥	cheng du lu qiao	8
成长先锋	cheng zhang xian feng	2
成长性	cheng zhang xing	9
战略家	zhan lve jia	46
戴尔电脑	dai er dian nao	3
房地产业	fang di chan ye	41
房地产评估	fang di chan ping gu	1
房改房	fang gai fang	1
房款	fang kuan	11
房贷	fang dai	25
所有权证	suo you quan zheng	4
手工票	shou gong piao	4
打印单	da yin dan	5
扛住	kang zhu	3
扣款	kou kuan	41
扩仓	kuo cang	5
扫盘	sao pan	5
承担者	cheng dan zhe	5
承租人	cheng zu ren	36
承诺费	cheng nuo fei	1
承销	cheng xiao	42
承销商	cheng xiao shang	46
承销团	cheng xiao tuan	6
承销额	cheng xiao e	5
技术条件	ji shu tiao jian	34
技术面	ji shu mian	11
抄底	chao di	1
把控	ba kong	25
把握机遇	ba wo ji yu	6
投标书	tou biao shu	5
投标者	tou biao zhe	21
投票门	tou piao men	4
投资与合作	tou zi yu he zuo	4
投资业	tou zi ye	3
投资协议	tou zi xie yi	22
投资参考	tou zi can kao	1
投资品	tou zi pin	1
投资型	tou zi xing	7
投资学	tou zi xue	5
投资家	tou zi jia	44
投资性	tou zi xing	12
投资指南	tou zi zhi nan	4
投资收藏	tou zi shou cang	3
投资有道	tou zi you dao	1
投资期	tou zi qi	7
投资界	tou zi jie	2
投资者关系	tou zi zhe guan xi	5
投资者教育	tou zi zhe jiao yu	5
投资量	tou zi liang	1
抗跌	kang die	9
折价率	zhe jia lv	2
折子钱	zhe zi qian	2
折现率	zhe xian lv	3
抚顺特钢	fu shun te gang	3
抛盘	pao pan	10
抢单	qiang dan	11
护盘	hu pan	1
报告期	bao gao qi	7
报喜鸟	bao xi niao	2
报查	bao cha	1
报税	bao shui	38
抵押合同	di ya he tong	5
抵押物	di ya wu	7
抵押率	di ya lv	8
押汇	ya hui	16
担保函	dan bao han	1
担保品	dan bao pin	6
担保法	dan bao fa	3
担保费	dan bao fei	2
担保金	dan bao jin	5
拆伙	chai huo	46
拆细	chai xi	3
拆股	chai gu	5
拉高均价	la gao jun jia	2
拒批	ju pi	7
拓尔思	tuo er si	1
拓日新能	tuo ri xin neng	4
招募说明书	zhao mu shuo ming shu	3
招商局中国基金	zhao shang ju zhong guo ji jin	1
招商局国际	zhao shang ju guo ji	2
招商引资	zhao shang yin zi	45
招标者	zhao biao zhe	2
招行	zhao hang	13
招行卡	zhao hang ka	7
拨回	bo hui	6
拨用	bo yong	31
持仓	chi cang	9
持仓不动	chi cang bu dong	2
持币	chi bi	5
持本单	chi ben dan	2
持票人	chi piao ren	13
挂价	gua jia	1
挂帐	gua zhang	2
指令部	zhi ling bu	2
指数化	zhi shu hua	5
指标体系	zhi biao ti xi	8
指标股	zhi biao gu	2
按年	an nian	3
按日	an ri	12
按月	an yue	41
振业集团	zhen ye ji tuan	1
振华港机	zhen hua gang ji	1
振新	zhen xin	30
损失率	sun shi lv	9
损益表	sun yi biao	1
换手率	huan shou lv	2
换股	huan gu	45
授予者	shou yu zhe	4
授权书	shou quan shu	45
掉期	diao qi	10
探底	tan di	2
探路者	tan lu zhe	20
接盘	jie pan	20
控盘	kong pan	1
推介会	tui jie hui	43
提额	ti e	7
揽存	lan cun	8
搜于特	sou yu te	4
携程网	xie cheng wang	2
摊销	tan xiao	8
摩根斯坦利	mo gen si tan li	2
摩根财团	mo gen cai tuan	4
操作指南	cao zuo zhi nan	6
操作流程	cao zuo liu cheng	11
操作规范	cao zuo gui fan	6
攀渝钛业	pan yu tai ye	3
支取凭证	zhi qu ping zheng	3
收储	shou chu	11
收官日	shou guan ri	3
收汇	shou hui	3
收益宝	shou yi bao	4
收盘价	shou pan jia	32
收盘报	shou pan bao	5
收结汇	shou jie hui	2
收购人	shou gou ren	8
收购方	shou gou fang	3
收购者	shou gou zhe	4
收费收据	shou fei shou ju	3
收还	shou huan	2
收进	shou jin	30
改票	gai piao	6
放量	fang liang	13
放高利贷	fang gao li dai	25
政策工具	zheng ce gong ju	15
政策面	zheng ce mian	5
救市	jiu shi	11
散户	san hu	24
文印室	wen yin shi	4
斩仓	zhan cang	1
断点	duan dian	9
斯伦贝榭	si lun bei xie	3
斯普林特	si pu lin te	15
斯达康	si da kang	7
新东方	xin dong fang	46
新中基	xin zhong ji	7
新五丰	xin wu feng	2
新低点	xin di dian	3
新北洋	xin bei yang	7
新华基金	xin hua ji jin	4
新华百货	xin hua bai huo	7
新华财经	xin hua cai jing	3
新华都	xin hua du	7
新华银行	xin hua yin hang	2
新华锦	xin hua jin	1
新卡	xin ka	11
新台阶	xin tai jie	8
新和成	xin he cheng	5
新嘉联	xin jia lian	4
新大洲	xin da zhou	2
新太	xin tai	4
新奥燃气	xin ao ran qi	4
新威国际	xin wei guo ji	3
新宏信	xin hong xin	2
新宙邦	xin zhou bang	8
新希望	xin xi wang	4
新开普	xin kai pu	5
新机制	xin ji zhi	21
新材	xin cai	16
新海宜	xin hai yi	3
新疆天业	xin jiang tian ye	3
新疆天宏	xin jiang tian hong	5
新疆屯河	xin jiang tun he	3
新秀丽	xin xiu li	2
新经济	xin jing ji	35
新莱应材	xin lai ying cai	2
新营销	xin ying xiao	5
新财富	xin cai fu	8
新财经	xin cai jing	2
新资本	xin zi ben	3
新都酒店	xin du jiu dian	5
新野纺织	xin ye fang zhi	3
新锦华	xin jin hua	4
新锦江	xin jin jiang	4
新韩银行	xin han yin hang	9
新高点	xin gao dian	4
新鸿基	xin hong ji	29
新鸿基公司	xin hong ji gong si	2
新黄浦	xin huang pu	4
新龙国际	xin long guo ji	4
新龙头	xin long tou	2
方兴地产	fang xing di chan	3
方大特钢	fang da te gang	8
方大集团	fang da ji tuan	7
方正富邦	fang zheng fu bang	3
方源	fang yuan	2
旗滨集团	qi bin ji tuan	6
无息贷款	wu xi dai kuan	20
无锡尚德	wu xi shang de	1
日照港	ri zhao gang	13
日科化学	ri ke hua xue	5
日线	ri xian	9
日线图	ri xian tu	3
日经指数	ri jing zhi shu	1
日贷	ri dai	2
旧股	jiu gu	2
早盘	zao pan	12
旭光	xu guang	33
时效性	shi xiao xing	29
昌河	chang he	10
昌源	chang yuan	7
明星电力	ming xing dian li	5
明泰铝业	ming tai lv ye	4
易世达	yi shi da	5
易基	yi ji	1
易宝	yi bao	3
易方达	yi fang da	6
易方达基金	yi fang da ji jin	1
易联众	yi lian zhong	4
晋察冀边区银行	jin cha ji bian qu yin hang	6
晨鸣	chen ming	8
普天	pu tian	9
普天债	pu tian zhai	2
普天债券	pu tian zhai quan	3
普天收益	pu tian shou yi	4
普民	pu min	1
普洛康裕	pu luo kang yu	3
普洛股份	pu luo gu fen	3
普涨	pu zhang	12
普跌	pu die	10
普通股	pu tong gu	48
景顺长城	jing shun chang cheng	1
暴升	bao sheng	8
最低值	zui di zhi	40
最高价	zui gao jia	36
有偿转让	you chang zhuan rang	2
有效市场假说	you xiao shi chang jia shuo	4
服务协议	fu wu xie yi	22
服务合同	fu wu he tong	34
服务营销	fu wu ying xiao	2
朗伯德街	lang bo de jie	4
望春花	wang chun hua	6
朝华	zhao hua	18
期权费	qi quan fei	3
期货交易管理条例	qi huo jiao yi guan li tiao li	8
期货公司	qi huo gong si	5
本实	ben shi	7
机制性	ji zhi xing	9
机构投资者	ji gou tou zi zhe	31
机电股	ji dian gu	1
杀跌	sha die	11
权智	quan zhi	5
权证	quan zheng	25
杜约翰	du yue han	3
条形图	tiao xing tu	5
杨红革	yang hong ge	2
杭汽轮	hang qi lun	3
松辽汽车	song liao qi che	3
林州重机	lin zhou zhong ji	2
枪客	qiang ke	29
查库	cha ku	37
柯尼卡	ke ni ka	11
株冶集团	zhu ye ji tuan	5
核准制	he zhun zhi	5
格式合同	ge shi he tong	3
桂东电力	gui dong dian li	5
桂林旅游	gui lin lv you	1
桐君阁	tong jun ge	2
梅花伞	mei hua san	4
梅花伞业股份有限公司	mei hua san ye gu fen you xian gong si	2
梅雁水电	mei yan shui dian	2
棱光	leng guang	5
概念股	gai nian gu	2
横盘	heng pan	1
橡果国际	xiang guo guo ji	4
次新股	ci xin gu	3
次月	ci yue	13
次贷危机	ci dai wei ji	20
欣龙无纺	xin long wu fang	2
欧亚集团	ou ya ji tuan	11
欧比特	ou bi te	7
欧洲货币	ou zhou huo bi	8
止损	zhi sun	3
正常性	zheng chang xing	9
正泰电器	zheng tai dian qi	7
步步高	bu bu gao	13
武汉凡谷	wu han fan gu	1
武钢	wu gang	38
死股	si gu	2
残余价值	can yu jia zhi	8
残值	can zhi	11
残值率	can zhi lv	4
每日经济新闻	mei ri jing ji xin wen	35
毒笔	du bi	2
比亚迪股份	bi ya di gu fen	2
民丰	min feng	14
民丰特纸	min feng te zhi	3
民生证券	min sheng zheng quan	3
民间借贷	min jian jie dai	6
气势如虹	qi shi ru hong	10
氯碱	lv jian	12
永亨银行	yong heng yin hang	5
永利带业	yong li dai ye	5
永嘉集团	yong jia ji tuan	2
永大	yong da	8
永大集团	yong da ji tuan	1
永辉超市	yong hui chao shi	10
汇丰晋信	hui feng jin xin	1
汇丰晋信基金	hui feng jin xin ji jin	2
汇丰晋信龙腾	hui feng jin xin long teng	3
汇丰集团	hui feng ji tuan	6
汇丽	hui li	8
汇出	hui chu	27
汇划	hui hua	12
汇多利	hui duo li	4
汇宝集团	hui bao ji tuan	3
汇市	hui shi	9
汇款人	hui kuan ren	10
汇添富	hui tian fu	2
汇源	hui yuan	3
汇通	hui tong	20
汇通天下	hui tong tian xia	3
汇通能源	hui tong neng yuan	4
汇通集团	hui tong ji tuan	6
江中药业	jiang zhong yao ye	5
江力	jiang li	2
江海股份	jiang hai gu fen	2
江苏吴中	jiang su wu zhong	1
江苏宏宝	jiang su hong bao	5
江苏旷达	jiang su kuang da	2
江苏纺织	jiang su fang zhi	1
江钻	jiang zuan	8
汤姆逊路透	tang mu xun lu tou	3
汤臣倍健	tang chen bei jian	5
汤臣集团	tang chen ji tuan	2
汽油机	qi you ji	5
沙隆达	sha long da	1
沧州大化	cang zhou da hua	5
沪建	hu jian	5
沪指	hu zhi	4
沪科	hu ke	2
沪铜	hu tong	2
河化	he hua	4
河北钢铁	he bei gang tie	1
法人股	fa ren gu	8
法人银行	fa ren yin hang	5
法律部	fa lv bu	17
法拉电子	fa la dian zi	2
法郎区	fa lang qu	3
泛海酒店	fan hai jiu dian	3
波动性	bo dong xing	36
波幅	bo fu	34
波段性	bo duan xing	8
注册费	zhu ce fei	14
注意力经济	zhu yi li jing ji	2
注销户	zhu xiao hu	3
泰京银行	tai jing yin hang	1
泰复	tai fu	2
泰达宏利	tai da hong li	7
泰达宏利基金	tai da hong li ji jin	7
泸州老窖	lu zhou lao jiao	9
泸州老窖股份有限公司	lu zhou lao jiao gu fen you xian gong si	8
洗盘	xi pan	8
洛玻	luo bo	5
洛阳玻璃	luo yang bo li	3
津劝业	jin quan ye	3
洪都航空	hong du hang kong	2
派息日	pai xi ri	3
流动电讯	liu dong dian xun	4
流动资产	liu dong zi chan	9
流动资金	liu dong zi jin	22
流动资金量	liu dong zi jin liang	3
流标	liu biao	46
流通股	liu tong gu	7
济柴	ji chai	2
浙商银行	zhe shang yin hang	13
浙大海纳	zhe da hai na	3
浙江三花股份有限公司	zhe jiang san hua gu fen you xian gong si	4
浙江富阳	zhe jiang fu yang	16
浙江广厦	zhe jiang guang sha	42
浙江永强	zhe jiang yong qiang	3
浙江海亮	zhe jiang hai liang	6
浙江海亮股份有限公司	zhe jiang hai liang gu fen you xian gong si	3
浙江海纳	zhe jiang hai na	3
浦东建设	pu dong jian she	2
浦东金桥	pu dong jin qiao	1
浦发	pu fa	16
浦发银行	pu fa yin hang	16
浦银	pu yin	4
浦银安盛	pu yin an sheng	1
浦银安盛基金	pu yin an sheng ji jin	4
浦银红利	pu yin hong li	2
浩宁达	hao ning da	3
浪莎	lang sha	2
浮动汇率制	fu dong hui lv zhi	4
海伦哲	hai lun zhe	7
海信电器	hai xin dian qi	4
海兰信	hai lan xin	7
海南海药	hai nan hai yao	2
海南海药股份有限公司	hai nan hai yao gu fen you xian gong si	5
海南省信托投资公司	hai nan sheng xin tuo tou zi gong si	2
海南航空	hai nan hang kong	35
海外投资法	hai wai tou zi fa	4
海大集团	hai da ji tuan	6
海宁皮城	hai ning pi cheng	5
海富通	hai fu tong	1
海德股份	hai de gu fen	1
海普瑞	hai pu rui	7
海格通信	hai ge tong xin	4
海欣	hai xin	1
海正药业	hai zheng yao ye	5
海泰	hai tai	33
海源机械	hai yuan ji xie	3
海王生物	hai wang sheng wu	2
海王英特龙	hai wang ying te long	8
海王集团	hai wang ji tuan	6
海立	hai li	2
海立美达	hai li mei da	6
海纳	hai na	29
海联讯	hai lian xun	6
海能达	hai neng da	5
海药	hai yao	6
海螺型材	hai luo xing cai	7
海通集团	hai tong ji tuan	6
消费类	xiao fei lei	17
涨停板	zhang ting ban	8
涨跌幅	zhang die fu	4
淡仓	dan cang	3
淡马锡	dan ma xi	34
深万科	shen wan ke	6
深值	shen zhi	3
深华发	shen hua fa	4
深华新	shen hua xin	3
深南光	shen nan guang	2
深原野	shen yuan ye	5
深发	shen fa	5
深国商	shen guo shang	5
深圳国际	shen zhen guo ji	29
深圳方大	shen zhen fang da	3
深圳智多盈	shen zhen zhi duo ying	5
深圳机场	shen zhen ji chang	41
深圳比克	shen zhen bi ke	4
深圳海王星辰	shen zhen hai wang xing chen	3
深圳能源	shen zhen neng yuan	4
深圳赛格股份有限公司	shen zhen sai ge gu fen you xian gong si	2
深圳迈瑞	shen zhen mai rui	2
深大通	shen da tong	5
深天地	shen tian di	2
深天马	shen tian ma	1
深安达	shen an da	5
深宝安	shen bao an	5
深宝恒	shen bao heng	3
深泰	shen tai	4
深深房	shen shen fang	4
深物业	shen wu ye	4
深特力	shen te li	3
深纺织	shen fang zhi	4
深能	shen neng	3
深证成指	shen zheng cheng zhi	3
深证综指	shen zheng zong zhi	5
深赛格	shen sai ge	4
深赤湾	shen chi wan	6
深锦兴	shen jin xing	4
深高	shen gao	3
深高速	shen gao su	49
混业	hun ye	10
添益宝	tian yi bao	6
清华同方	qing hua tong fang	9
清华紫光	qing hua zi guang	2
清算协议	qing suan xie yi	1
渝三峡	yu san xia	1
渝太地产	yu tai di chan	1
渝钛白	yu tai bai	2
渣打集团	zha da ji tuan	9
渤化	bo hua	6
渤海银行	bo hai yin hang	37
温商网	wen shang wang	3
温氏集团	wen shi ji tuan	1
港华燃气	gang hua ran qi	7
港股	gang gu	38
港股通	gang gu tong	3
湖北华新	hu bei hua xin	2
湖北宜化	hu bei yi hua	3
湖北迈亚	hu bei mai ya	4
湖南有色金属	hu nan you se jin shu	4
湖南海利	hu nan hai li	1
源发	yuan fa	19
溢价	yi jia	49
溢缴款	yi jiao kuan	5
满仓	man cang	12
漫步者	man bu zhe	10
潍柴重机	wei chai zhong ji	2
潞安环能	lu an huan neng	3
潮宏基	chao hong ji	8
澳优	ao you	2
澳新银行	ao xin yin hang	6
瀚宇博德	han yu bo de	1
炒房	chao fang	8
炒汇者	chao hui zhe	4
炒高	chao gao	5
炬力	ju li	2
点位	dian wei	9
点后	dian hou	2
烟台氨纶股份有限公司	yan tai an lun gu fen you xian gong si	4
热点话题	re dian hua ti	13
热钱	re qian	11
热门股	re men gu	7
烽火通信	feng huo tong xin	1
焦作万方	jiao zuo wan fang	2
焦点话题	jiao dian hua ti	1
焦点问题	jiao dian wen ti	6
煤气化	mei qi hua	8
煤炭股	mei tan gu	8
爱建	ai jian	8
物物交换	wu wu jiao huan	8
物贸	wu mao	10
物贸中心	wu mao zhong xin	4
特别措施	te bie cuo shi	23
特区经济	te qu jing ji	1
特变电工	te bian dian gong	5
特困户	te kun hu	2
特许权税	te xu quan shui	2
环康集团	huan kang ji tuan	1
环球企业家	huan qiu qi ye jia	4
环球财经	huan qiu cai jing	6
环球集团	huan qiu ji tuan	27
现代传播	xian dai chuan bo	6
现代商业银行	xian dai shang ye yin hang	3
现值	xian zhi	31
现手	xian shou	3
现金流量表	xian jin liu liang biao	6
珠江实业	zhu jiang shi ye	2
理文集团	li wen ji tuan	2
理财周报	li cai zhou bao	1
理财金	li cai jin	1
琼民源	qiong min yuan	5
瑞和	rui he	6
瑞士银行	rui shi yin hang	19
瑞士银行公司	rui shi yin hang gong si	3
瑞福进取	rui fu jin qu	2
瑞立集团	rui li ji tuan	3
瑞银集团	rui yin ji tuan	17
瓦轴	wa zhou	5
甘化	gan hua	8
生意宝	sheng yi bao	7
用卡	yong ka	7
申报率	shen bao lv	1
申购	shen gou	22
申购款	shen gou kuan	8
申赎	shen shu	9
申银万国	shen yin wan guo	1
电力股	dian li gu	6
电子城	dian zi cheng	6
电广实业	dian guang shi ye	2
畅丰车桥	chang feng che qiao	4
白云机场	bai yun ji chang	37
白金卡	bai jin ka	7
白金版	bai jin ban	13
白银铜城	bai yin tong cheng	1
白页	bai ye	7
百利电气	bai li dian qi	2
百圆裤业	bai yuan ku ye	3
百盛集团	bai sheng ji tuan	6
百花村	bai hua cun	9
皇朝家俬	huang chao jia si	3
皇朝家私	huang chao jia si	4
皖能	wan neng	4
益民红利	yi min hong li	2
益鑫泰	yi xin tai	5
盐湖集团	yan hu ji tuan	2
监事长	jian shi zhang	42
监管政策	jian guan zheng ce	13
盗刷	dao shua	8
盘后	pan hou	8
盘感	pan gan	6
盘活资产	pan huo zi chan	2
盛润	sheng run	7
目标公司	mu biao gong si	8
盲目性	mang mu xing	8
看涨者	kan zhang zhe	2
看盘	kan pan	7
看跌者	kan die zhe	2
知名银行	zhi ming yin hang	2
知情者	zhi qing zhe	38
短仓	duan cang	9
短融券	duan rong quan	6
石劝业	shi quan ye	2
石化债	shi hua zhai	2
石岘	shi xian	32
石炼	shi lian	1
石炼化	shi lian hua	4
研究简报	yan jiu jian bao	2
砸盘	za pan	7
硅宝科技	gui bao ke ji	5
碟型	die xing	15
碧生源	bi sheng yuan	6
礼品税	li pin shui	3
社保基金	she bao ji jin	16
祥龙	xiang long	19
禁止令	jin zhi ling	25
福建工商时报	fu jian gong shang shi bao	2
福彩	fu cai	2
福彩中心	fu cai zhong xin	6
福日	fu ri	8
福星晓程	fu xing xiao cheng	3
福特赛	fu te sai	2
禾嘉	he jia	6
私人银行	si ren yin hang	38
科伦药业	ke lun yao ye	4
科华恒盛	ke hua heng sheng	7
科斯伍德	ke si wu de	5
科新机电	ke xin ji dian	4
科诺威德	ke nuo wei de	1
科达机电	ke da ji dian	4
租契	zu qi	7
租方	zu fang	7
租购	zu gou	4
秦丰	qin feng	16
积成电子	ji cheng dian zi	3
移仓	yi cang	3
税基	shui ji	15
税收完税证	shui shou wan shui zheng	2
税收缴款书	shui shou jiao kuan shu	3
税点	shui dian	8
空中网	kong zhong wang	5
空仓	kong cang	31
空头头寸	kong tou tou cun	3
空头换手	kong tou huan shou	2
空开	kong kai	8
空换	kong huan	2
第一财经日报	di yi cai jing ri bao	22
第一食品	di yi shi pin	5
等价交换	deng jia jiao huan	3
筑信	zhu xin	1
筑底	zhu di	1
策略研究	ce lve yan jiu	23
签合同	qian he tong	10
管理学家	guan li xue jia	15
粤丽珠	yue li zhu	2
粤宏远	yue hong yuan	1
粤水电	yue shui dian	5
精伦	jing lun	7
精工钢构	jing gong gang gou	3
精工集团	jing gong ji tuan	4
精算师	jing suan shi	18
精诚铜业	jing cheng tong ye	5
紫光华宇	zi guang hua yu	6
红利通知书	hong li tong zhi shu	3
红发集团	hong fa ji tuan	2
红太阳	hong tai yang	25
红宝丽	hong bao li	6
红杉资本	hong shan zi ben	38
红阳能源	hong yang neng yuan	5
红鲱鱼	hong fei yu	20
纪念钞	ji nian chao	7
纯银	chun yin	18
纳税申报	na shui shen bao	12
纸钞	zhi chao	36
组合投资	zu he tou zi	2
组织图	zu zhi tu	6
组织机构代码证	zu zhi ji gou dai ma zheng	3
组选	zu xuan	11
经办员	jing ban yuan	7
经手费	jing shou fei	8
经济参考报	jing ji can kao bao	7
经济基本面	jing ji ji ben mian	2
经济学术	jing ji xue shu	4
经济学界	jing ji xue jie	19
经济导刊	jing ji dao kan	4
经济杂志	jing ji za zhi	8
经济统计	jing ji tong ji	13
经济观察网	jing ji guan cha wang	4
经理费	jing li fei	6
经纬纺机	jing wei fang ji	1
经营理念	jing ying li nian	34
经贸大学	jing mao da xue	9
结清	jie qing	17
结算凭证	jie suan ping zheng	3
统计报告	tong ji bao gao	18
绩优股	ji you gu	2
绩差	ji cha	8
