# 青简领域词库：地名，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
后勤基地	hou qin ji di	7
后勤学院	hou qin xue yuan	28
后勤工程学院	hou qin gong cheng xue yuan	3
后勤装备部	hou qin zhuang bei bu	2
后北宫	hou bei gong	1
后北宫村	hou bei gong cun	4
后北屯	hou bei tun	3
后南仓	hou nan cang	6
后南台村	hou nan tai cun	2
后占	hou zhan	11
后卢村	hou lu cun	3
后厂村	hou chang cun	25
后厂村东	hou chang cun dong	2
后厂村路	hou chang cun lu	3
后厝社区	hou cuo she qu	2
后周镇	hou zhou zhen	5
后围	hou wei	9
后围寨	hou wei zhai	1
后圆恩寺胡同	hou yuan en si hu tong	5
后圩	hou wei	5
后圩村	hou wei cun	4
后坂	hou ban	3
后坂村	hou ban cun	6
后坊子村	hou fang zi cun	2
后坎	hou kan	4
后坑	hou keng	7
后坑村	hou keng cun	6
后坑社区	hou keng she qu	4
后坝村	hou ba cun	6
后坞村	hou wu cun	4
后坡	hou po	5
后坡村	hou po cun	1
后坨村	hou tuo cun	1
后坪	hou ping	4
后垟	hou yang	4
后城	hou cheng	7
后城口	hou cheng kou	3
后城文化街	hou cheng wen hua jie	3
后城里	hou cheng li	6
后埔村	hou pu cun	1
后埔社区	hou pu she qu	5
后域乡	hou yu xiang	3
后堀村	hou ku cun	3
后堡	hou bao	7
后堰上村	hou yan shang cun	2
后塘	hou tang	10
后塘村	hou tang cun	6
后塘瑶族乡	hou tang yao zu xiang	7
后壁林	hou bi lin	1
后夏公庄	hou xia gong zhuang	2
后头村	hou tou cun	3
后宅	hou zhai	28
后宅村	hou zhai cun	4
后宅胡同	hou zhai hu tong	3
后安	hou an	8
后安定	hou an ding	3
后安村	hou an cun	3
后完	hou wan	6
后宰门	hou zai men	13
后小井胡同	hou xiao jing hu tong	3
后小朱	hou xiao zhu	1
后屯	hou tun	23
后山停车场	hou shan ting che chang	3
后山村	hou shan cun	6
后山社区	hou shan she qu	4
后山铺	hou shan pu	4
后屿	hou yu	4
后屿路	hou yu lu	3
后岩	hou yan	38
后岭	hou ling	4
后峡地区	hou xia di qu	3
后峪村	hou yu cun	1
后工	hou gong	6
后庄村	hou zhuang cun	3
后库	hou ku	7
后底	hou di	6
后店	hou dian	8
后建村	hou jian cun	3
后张	hou zhang	11
后张村	hou zhang cun	5
后径	hou jing	5
后房	hou fang	9
后房村	hou fang cun	2
后所村	hou suo cun	6
后拐棒胡同	hou guai bang hu tong	4
后掌	hou zhang	12
后支	hou zhi	6
后新片	hou xin pian	3
后明村	hou ming cun	2
后曾村	hou zeng cun	1
后杆	hou gan	3
后杆柄	hou gan bing	3
后杆柄村	hou gan bing cun	2
后李家	hou li jia	1
后李村委会	hou li cun wei hui	2
后李甲	hou li jia	1
后杜	hou du	7
后松园	hou song yuan	3
后林	hou lin	9
后林新村	hou lin xin cun	3
后林村	hou lin cun	1
后柏山	hou bai shan	2
后格	hou ge	4
后格村	hou ge cun	3
后桃园	hou tao yuan	3
后桃园胡同	hou tao yuan hu tong	3
后桃洼村	hou tao wa cun	3
后桥	hou qiao	24
后棚	hou peng	4
后椅子胡同	hou yi zi hu tong	3
后横村	hou heng cun	2
后横街	hou heng jie	4
后水峪	hou shui yu	4
后水泡	hou shui pao	3
后永康胡同	hou yong kang hu tong	3
后江埭	hou jiang dai	1
后池	hou chi	22
后沈埠村	hou shen bu cun	2
后沙峪	hou sha yu	20
后沙涧	hou sha jian	3
后沟	hou gou	29
后沟胡同	hou gou hu tong	2
后河	hou he	9
后河村	hou he cun	4
后河西	hou he xi	3
后泉路	hou quan lu	7
后洋	hou yang	5
后洋村	hou yang cun	1
后洋陈路	hou yang chen lu	3
后洪	hou hong	6
后洼子村	hou wa zi cun	2
后海北沿	hou hai bei yan	2
后海小学	hou hai xiao xue	2
后海村	hou hai cun	4
后海西沿社区	hou hai xi yan she qu	5
后清	hou qing	8
后渎	hou du	3
后渚	hou zhu	8
后渚村	hou zhu cun	3
后渠	hou qu	3
后港村	hou gang cun	1
后湖村	hou hu cun	6
后湖管理区	hou hu guan li qu	5
后湖街道	hou hu jie dao	2
后湖路	hou hu lu	1
后溪乡	hou xi xiang	1
后溪村	hou xi cun	3
后溪河	hou xi he	1
后澳	hou ao	5
后牛角胡同	hou niu jiao hu tong	1
后王会	hou wang hui	3
后王庄	hou wang zhuang	3
后甫	hou fu	5
后甫村	hou fu cun	3
后田	hou tian	8
后田村	hou tian cun	1
后疃	hou tuan	3
后皋村	hou gao cun	3
后盐村	hou yan cun	1
后盐车市	hou yan che shi	2
后石	hou shi	7
后石坞	hou shi wu	4
后石桥	hou shi qiao	2
后石道胡同	hou shi dao hu tong	2
后石门	hou shi men	5
后福村	hou fu cun	3
后红井胡同	hou hong jing hu tong	2
后细瓦厂胡同	hou xi wa chang hu tong	1
后罗圈胡同	hou luo quan hu tong	2
后罗庄村	hou luo zhuang cun	3
后羊村	hou yang cun	2
后聂村	hou nie cun	2
后肖家胡同	hou xiao jia hu tong	4
后花社区	hou hua she qu	2
后苇沟村	hou wei gou cun	4
后英房胡同	hou ying fang hu tong	2
后茂	hou mao	4
后茂社区	hou mao she qu	3
后营乡	hou ying xiang	2
后蔡村	hou cai cun	1
后街村委会	hou jie cun wei hui	2
后街村村委会	hou jie cun cun wei hui	2
后西	hou xi	7
后许	hou xu	8
后许村	hou xu cun	3
后路坪	hou lu ping	2
后边村	hou bian cun	1
后邓	hou deng	8
后郭	hou guo	7
后郭村	hou guo cun	2
后野	hou ye	4
后野厂村	hou ye chang cun	2
后间	hou jian	7
后阳	hou yang	6
后陈村	hou chen cun	7
后陈村村委会	hou chen cun cun wei hui	2
后韩寺庄	hou han si zhuang	2
后马厂胡同	hou ma chang hu tong	1
后高市场	hou gao shi chang	2
后鲁	hou lu	5
后鼓楼苑胡同	hou gu lou yuan hu tong	2
后龙山	hou long shan	1
后龙村	hou long cun	5
吐乌大	tu wu da	2
吐外特乡	tu wai te xiang	5
吐火罗文	tu huo luo wen	12
吐鲁番县	tu lu fan xian	6
向丘陵	xiang qiu ling	1
向东乡	xiang dong xiang	4
向东南路	xiang dong nan lu	5
向东园	xiang dong yuan	3
向东村	xiang dong cun	6
向东站	xiang dong zhan	5
向化藏族乡	xiang hua zang zu xiang	3
向华	xiang hua	39
向南村	xiang nan cun	6
向南路	xiang nan lu	6
向婷婷	xiang ting ting	6
向家台	xiang jia tai	4
向家园	xiang jia yuan	1
向家坪	xiang jia ping	6
向家村	xiang jia cun	6
向家湾	xiang jia wan	5
向山区	xiang shan qu	3
向工街	xiang gong jie	8
向应公园	xiang ying gong yuan	2
向应广场	xiang ying guang chang	3
向海蒙古族乡	xiang hai meng gu zu xiang	3
向艳	xiang yan	5
向荣乡	xiang rong xiang	2
向西路	xiang xi lu	3
向道	xiang dao	6
向银路	xiang yin lu	3
向阳坡	xiang yang po	6
向阳市场	xiang yang shi chang	5
向阳店	xiang yang dian	6
向阳胡同	xiang yang hu tong	3
向阳菜市	xiang yang cai shi	2
向阳街	xiang yang jie	5
向阳里街道	xiang yang li jie dao	1
向韶村	xiang shao cun	6
吕一品	lv yi pin	2
吕仙亭街道	lv xian ting jie dao	5
吕公堡镇	lv gong bao zhen	4
吕厝	lv cuo	33
吕厝村	lv cuo cun	1
吕地	lv di	7
吕墅	lv shu	3
吕家庄村委会	lv jia zhuang cun wei hui	3
吕家营	lv jia ying	1
吕小寨	lv xiao zhai	1
吕屋	lv wu	1
吕山村	lv shan cun	3
吕布屯	lv bu tun	2
吕庄村	lv zhuang cun	6
吕村	lv cun	47
吕村南站	lv cun nan zhan	2
吕村村委会	lv cun cun wei hui	5
吕标	lv biao	3
吕浦八区	lv pu ba qu	2
吕滨	lv bin	3
吕营花园	lv ying hua yuan	4
吕虹村	lv hong cun	2
君临国际	jun lin guo ji	6
君临紫金	jun lin zi jin	1
君兰	jun lan	5
君坝	jun ba	4
君坝乡	jun ba xiang	3
君子兰公园	jun zi lan gong yuan	4
君平街	jun ping jie	7
君悦城市花园	jun yue cheng shi hua yuan	3
君悦大酒店	jun yue da jiu dian	3
君竹环岛	jun zhu huan dao	4
君竹路	jun zhu lu	5
吞盘乡	tun pan xiang	3
吟诗村	yin shi cun	2
含元殿	han yuan dian	10
含元殿村	han yuan dian cun	3
含元殿遗址	han yuan dian yi zhi	5
含元路口	han yuan lu kou	5
含光路	han guang lu	4
含光路南口	han guang lu nan kou	4
含光门	han guang men	8
含山村	han shan cun	3
含山路	han shan lu	7
含春	han chun	7
含晖苑	han hui yuan	2
听涛园	ting tao yuan	1
听涛雅苑	ting tao ya yuan	4
听溪园	ting xi yuan	2
启东县	qi dong xian	5
启东市	qi dong shi	26
启兴	qi xing	7
启安村	qi an cun	2
启工街	qi gong jie	7
启文花园	qi wen hua yuan	3
启明北路	qi ming bei lu	5
启明小区	qi ming xiao qu	4
启明街道	qi ming jie dao	3
启明路	qi ming lu	6
启智学校	qi zhi xue xiao	12
启潮路	qi chao lu	4
启秀	qi xiu	27
吴中路	wu zhong lu	49
吴儿城	wu er cheng	2
吴兴大道	wu xing da dao	3
吴兴路	wu xing lu	1
吴厝村	wu cuo cun	5
吴县市	wu xian shi	2
吴叶	wu ye	7
吴各庄	wu ge zhuang	1
吴合村	wu he cun	2
吴园	wu yuan	19
吴坊营	wu fang ying	3
吴城村	wu cheng cun	4
吴宅	wu zhai	22
吴宝路	wu bao lu	11
吴家坝	wu jia ba	5
吴家坟	wu jia fen	1
吴家坪	wu jia ping	1
吴家堡	wu jia bu	3
吴家堡街道	wu jia bu jie dao	1
吴家宅	wu jia zhai	4
吴家寺	wu jia si	2
吴家屯	wu jia tun	4
吴家巷	wu jia xiang	2
吴家庄	wu jia zhuang	1
吴家庄子	wu jia zhuang zi	2
吴家庄村	wu jia zhuang cun	5
吴家村	wu jia cun	2
吴家村委会	wu jia cun wei hui	2
吴家村路东口	wu jia cun lu dong kou	2
吴家村路西口	wu jia cun lu xi kou	3
吴家桥	wu jia qiao	4
吴家楼	wu jia lou	4
吴家沟	wu jia gou	1
吴家湾	wu jia wan	3
吴家石桥	wu jia shi qiao	3
吴家祠堂	wu jia ci tang	1
吴家窑	wu jia yao	5
吴家窑二号路	wu jia yao er hao lu	6
吴家窑大街	wu jia yao da jie	5
吴家营	wu jia ying	4
吴家铺	wu jia pu	3
吴家院子	wu jia yuan zi	3
吴寺村	wu si cun	3
吴屯	wu tun	1
吴山公交站	wu shan gong jiao zhan	2
吴山广场	wu shan guang chang	35
吴山村	wu shan cun	1
吴岭	wu ling	1
吴岭村	wu ling cun	4
吴川县	wu chuan xian	19
吴川市	wu chuan shi	40
吴庄	wu zhuang	7
吴庄南站	wu zhuang nan zhan	2
吴庄小区	wu zhuang xiao qu	2
吴庄村村委会	wu zhuang cun cun wei hui	2
吴店子	wu dian zi	3
吴德星	wu de xing	5
吴旗	wu qi	6
吴旗县	wu qi xian	2
吴村	wu cun	30
吴村村	wu cun cun	3
吴林乡	wu lin xiang	2
吴林西村	wu lin xi cun	3
吴桥村村委会	wu qiao cun cun wei hui	3
吴桥路	wu qiao lu	7
吴江市	wu jiang shi	39
吴泾	wu jing	23
吴泾路	wu jing lu	3
吴涌	wu yong	2
吴淞大桥	wu song da qiao	1
吴淞煤气厂	wu song mei qi chang	4
吴淞码头	wu song ma tou	2
吴淞路	wu song lu	27
吴窑	wu yao	3
吴美凤	wu mei feng	4
吴翼	wu yi	8
吴航镇	wu hang zhen	3
吴越路	wu yue lu	3
吴边	wu bian	2
吴雄寺	wu xiong si	3
吴顺	wu shun	42
吴马营	wu ma ying	2
吴马营乡	wu ma ying xiang	3
吹壳子	chui ke zi	12
吹楼	chui lou	2
吼山	hou shan	4
吼山村	hou shan cun	2
吾东	wu dong	4
吾中	wu zhong	3
吾中村	wu zhong cun	4
吾伊乡	wu yi xiang	2
吾华	wu hua	2
吾华村	wu hua cun	2
吾合沙鲁乡	wu he sha lu xiang	6
吾坑村	wu keng cun	2
吾宗布拉克牧场	wu zong bu la ke mu chang	3
吾岗	wu gang	2
吾峰	wu feng	4
吾斯塘博依街道	wu si tang bo yi jie dao	2
吾西	wu xi	5
吾邦	wu bang	1
吾都	wu du	4
吾顶村	wu ding cun	2
呈美	cheng mei	3
呈贡县	cheng gong xian	16
员宅村	yuan zhai cun	2
周光英	zhou guang ying	3
周公巷	zhou gong xiang	2
周华	zhou hua	12
周厝村	zhou cuo cun	4
周口地区	zhou kou di qu	4
周口店	zhou kou dian	37
周口店北京猿人遗址	zhou kou dian bei jing yuan ren yi zhi	6
周口店社区	zhou kou dian she qu	2
周口店路口	zhou kou dian lu kou	4
周口村路口	zhou kou cun lu kou	3
周吴	zhou wu	7
周圩	zhou wei	3
周坑	zhou keng	3
周坑村	zhou keng cun	2
周坡庄村	zhou po zhuang cun	2
周宅	zhou zhai	5
周宏亮	zhou hong liang	6
周宏伟	zhou hong wei	3
周家乡政府	zhou jia xiang zheng fu	3
周家井	zhou jia jing	4
周家冲	zhou jia chong	5
周家嘴路	zhou jia zui lu	14
周家嘴路黄兴路	zhou jia zui lu huang xing lu	4
周家坝	zhou jia ba	1
周家坡	zhou jia po	3
周家堡	zhou jia pu	3
周家大湾	zhou jia da wan	2
周家大院	zhou jia da yuan	2
周家寨	zhou jia zhai	2
周家屯	zhou jia tun	1
周家峪	zhou jia yu	4
周家巷	zhou jia xiang	1
周家庄	zhou jia zhuang	2
周家庄南站	zhou jia zhuang nan zhan	3
周家庄路西口	zhou jia zhuang lu xi kou	2
周家店	zhou jia dian	5
周家店子	zhou jia dian zi	2
周家村村	zhou jia cun cun	2
周家村村委会	zhou jia cun cun wei hui	3
周家桥	zhou jia qiao	9
周家楼子	zhou jia lou zi	2
周家泉街道	zhou jia quan jie dao	2
周家渡	zhou jia du	11
周家湾	zhou jia wan	5
周家湾叉口	zhou jia wan cha kou	2
周家硷镇	zhou jia jian zhen	3
周家祠	zhou jia ci	1
周家院子	zhou jia yuan zi	4
周宿渡	zhou su du	3
周小玲	zhou xiao ling	5
周屯	zhou tun	2
周山	zhou shan	8
周岗乡	zhou gang xiang	2
周岙底	zhou ao di	4
周庄乡	zhou zhuang xiang	2
周庄村委会	zhou zhuang cun wei hui	3
周庆和	zhou qing he	3
周店	zhou dian	6
周建军	zhou jian jun	14
周建水	zhou jian shui	3
周建玲	zhou jian ling	8
周建琴	zhou jian qin	4
周徐	zhou xu	1
周恩来故居	zhou en lai gu ju	2
周恩来祖居	zhou en lai zu ju	4
周戈庄	zhou ge zhuang	3
周新庄	zhou xin zhuang	1
周方	zhou fang	10
周春燕	zhou chun yan	6
周村村	zhou cun cun	4
周村村委会	zhou cun cun wei hui	4
周村水库	zhou cun shui ku	1
周村镇	zhou cun zhen	1
周桥	zhou qiao	4
周桥新村	zhou qiao xin cun	3
周梅村	zhou mei cun	2
周棚	zhou peng	5
周棚街道	zhou peng jie dao	3
周河湾	zhou he wan	5
周浦	zhou pu	28
周矶管理区	zhou ji guan li qu	4
周祖森林公园	zhou zu sen lin gong yuan	2
周祝公路	zhou zhu gong lu	8
周线巷	zhou xian xiang	3
周良庄	zhou liang zhuang	3
周路口街道	zhou lu kou jie dao	2
周雪艳	zhou xue yan	3
味道江湖	wei dao jiang hu	2
呷巴	xia ba	4
呷巴乡	xia ba xiang	1
呷拉	xia la	4
呷拉乡	xia la xiang	5
呷衣	xia yi	3
呷衣乡	xia yi xiang	3
呼兰县	hu lan xian	8
呼兰路	hu lan lu	2
呼家庄	hu jia zhuang	3
呼家楼	hu jia lou	39
呼武公路	hu wu gong lu	3
呼热图淖尔苏木	hu re tu nao er su mu	4
呼玛	hu ma	33
呼玛一村	hu ma yi cun	2
呼玛新村	hu ma xin cun	3
呼玛路	hu ma lu	5
呼铁局	hu tie ju	9
咀头	ju tou	2
和义东里第三社区	he yi dong li di san she qu	4
和义农场	he yi nong chang	4
和义南站	he yi nan zhan	4
和义路	he yi lu	7
和乐街	he le jie	1
和会街	he hui jie	1
和兴村	he xing cun	6
和兴街道	he xing jie dao	3
和兴路街道	he xing lu jie dao	4
和坪村	he ping cun	7
和夏阿瓦提乡	he xia a wa ti xiang	6
和安村	he an cun	3
和家庄镇	he jia zhuang zhen	5
和尚塘	he shang tang	1
和尚山	he shang shan	1
和尚桥	he shang qiao	7
和尚田	he shang tian	1
和川镇	he chuan zhen	4
和布克塞尔	he bu ke sai er	4
和布克赛尔县	he bu ke sai er xian	10
和平东桥	he ping dong qiao	7
和平东桥北	he ping dong qiao bei	3
和平东桥南	he ping dong qiao nan	5
和平中	he ping zhong	9
和平公园	he ping gong yuan	44
和平北街	he ping bei jie	3
和平北路	he ping bei lu	5
和平南路	he ping nan lu	3
和平商业大厦	he ping shang ye da sha	2
和平大街	he ping da jie	8
和平宾馆	he ping bin guan	5
和平小区	he ping xiao qu	4
和平居委会	he ping ju wei hui	3
和平巷	he ping xiang	2
和平广场	he ping guang chang	32
和平新村	he ping xin cun	9
和平村	he ping cun	46
和平村大街	he ping cun da jie	2
和平桥	he ping qiao	25
和平溪村	he ping xi cun	2
和平社区	he ping she qu	16
和平管区	he ping guan qu	3
和平街	he ping jie	29
和平街北口	he ping jie bei kou	1
和平街居委会	he ping jie ju wei hui	2
和平西桥	he ping xi qiao	5
和平西桥北	he ping xi qiao bei	3
和平西街	he ping xi jie	6
和平路居委会	he ping lu ju wei hui	2
和平都会	he ping du hui	1
和平里北街	he ping li bei jie	3
和平里南口	he ping li nan kou	4
和平里南街	he ping li nan jie	5
和平里火车站	he ping li huo che zhan	3
和平门	he ping men	48
和弄	he nong	6
和政	he zheng	9
和春村	he chun cun	3
和村村	he cun cun	7
和林村	he lin cun	1
和林格尔	he lin ge er	40
和燕园	he yan yuan	4
和燕花苑	he yan hua yuan	4
和田街	he tian jie	1
和田街街道	he tian jie jie dao	5
和田路	he tian lu	1
和畅堂	he chang tang	4
和睦小区	he mu xiao qu	6
和睦新村	he mu xin cun	8
和睦村	he mu cun	1
和美村	he mei cun	2
和胜乡	he sheng xiang	2
和胜村	he sheng cun	3
和蓉	he rong	17
和谐家园	he xie jia yuan	6
和谐家园一区北门	he xie jia yuan yi qu bei men	3
和谐家园一区西门	he xie jia yuan yi qu xi men	4
和谐家园二区西门	he xie jia yuan er qu xi men	4
和进路	he jin lu	1
和钢小区	he gang xiao qu	2
和铺	he pu	8
和铺村	he pu cun	3
和顺村	he shun cun	3
和顺路	he shun lu	6
和风路	he feng lu	4
和龙县	he long xian	6
和龙市	he long shi	33
和龙林业局	he long lin ye ju	2
和龙路	he long lu	4
咏生乡	yong sheng xiang	3
咖啡小镇	ka fei xiao zhen	2
咯尔乡	ka er xiang	4
咸丰路街道	xian feng lu jie dao	4
咸亨酒店	xian heng jiu dian	1
咸嘉新村	xian jia xin cun	9
咸嘉湖	xian jia hu	4
咸嘉湖路	xian jia hu lu	8
咸塘	xian tang	1
咸宁侯	xian ning hou	3
咸宁侯村	xian ning hou cun	6
咸宁路	xian ning lu	2
咸家	xian jia	4
咸家庄	xian jia zhuang	2
咸平路	xian ping lu	3
咸水沽	xian shui gu	26
咸水沽镇体育场路	xian shui gu zhen ti yu chang lu	2
咸水沽镇建国大街	xian shui gu zhen jian guo da jie	2
咸田村	xian tian cun	10
咸茶	xian cha	14
咸通北路	xian tong bei lu	6
咸通南路	xian tong nan lu	4
咸通路	xian tong lu	5
咸阳中学	xian yang zhong xue	5
咸阳北路	xian yang bei lu	5
咸阳师范	xian yang shi fan	5
咸阳桥	xian yang qiao	1
咸阳纺织机械厂	xian yang fang zhi ji xie chang	2
咸阳路	xian yang lu	7
品建	pin jian	3
品清	pin qing	6
品清湖	pin qing hu	1
品诺	pin nuo	3
哇尔玛乡	wa er ma xiang	10
哇赛乡	wa sai xiang	2
哈依	ha yi	30
哈儿	ha er	7
哈医大	ha yi da	2
哈医大五院	ha yi da wu yuan	3
哈吐气蒙古族乡	ha tu qi meng gu zu xiang	1
哈咇嘎乡	ha bi ga xiang	3
哈哈乡	ha ha xiang	2
哈喇河乡	ha la he xiang	4
哈图	ha tu	6
哈多河镇	ha duo he zhen	1
哈大齐	ha da qi	6
哈大齐工业走廊	ha da qi gong ye zou lang	7
哈密县	ha mi xian	6
哈密路	ha mi lu	16
哈密道	ha mi dao	3
哈尔墩乡	ha er dun xiang	2
哈尔姆斯塔德	ha er mu si ta de	11
哈尔滨市阿城区	ha er bin shi a cheng qu	9
哈尔滨路	ha er bin lu	11
哈尔滨道	ha er bin dao	5
哈尔脑乡	ha er nao xiang	3
哈岘乡	ha xian xiang	3
哈巴格希乡	ha ba ge xi xiang	2
哈德良长城	ha de liang chang cheng	9
哈拉合少乡	ha la he shao xiang	5
哈拉奇乡	ha la qi xiang	6
哈拉布拉克乡	ha la bu la ke xiang	5
哈拉沟	ha la gou	1
哈拉盖图农牧场	ha la gai tu nong mu chang	4
哈拉道口	ha la dao kou	2
哈拉黑镇	ha la hei zhen	2
哈数	ha shu	4
哈日高毕嘎查	ha ri gao bi ga cha	3
哈曲乡	ha qu xiang	4
哈毕日嘎镇	ha bi ri ga zhen	4
哈沙图	ha sha tu	3
哈洛乡	ha luo xiang	3
哈甘乡	ha gan xiang	4
哈腾套海农场	ha teng tao hai nong chang	2
哈达图	ha da tu	4
哈达阳镇	ha da yang zhen	2
哈里哈乡	ha li ha xiang	4
响动岩	xiang dong yan	3
响嘡镇	xiang tang zhen	3
响堂管理区	xiang tang guan li qu	3
响山	xiang shan	1
响水桥	xiang shui qiao	7
响水水库	xiang shui shui ku	3
响水滩乡	xiang shui tan xiang	4
响石岭街道	xiang shi ling jie dao	5
哑巴弄	ya ba nong	5
哨马营村	shao ma ying cun	3
哪旁乡	na pang xiang	2
哪阵	na zhen	40
唐丽娜	tang li na	7
唐乃亥乡	tang nai hai xiang	3
唐兴路	tang xing lu	7
唐南	tang nan	15
唐厝村	tang cuo cun	3
唐口新村	tang kou xin cun	2
唐口镇	tang kou zhen	4
唐嘎乡	tang ga xiang	3
唐园	tang yuan	2
唐城宾馆	tang cheng bin guan	6
唐大庄村	tang da zhuang cun	3
唐大明	tang da ming	3
唐央乡	tang yang xiang	1
唐宅	tang zhai	1
唐宫路	tang gong lu	7
唐家口	tang jia kou	1
唐家坪	tang jia ping	3
唐家墩	tang jia dun	3
唐家岭	tang jia ling	1
唐家岭北站	tang jia ling bei zhan	2
唐家巷	tang jia xiang	5
唐家市场	tang jia shi chang	4
唐家村	tang jia cun	5
唐家桥	tang jia qiao	1
唐家沱	tang jia tuo	7
唐家湾	tang jia wan	25
唐家铺乡	tang jia pu xiang	3
唐家院子	tang jia yuan zi	7
唐尕昂乡	tang ga ang xiang	4
唐屋	tang wu	1
唐山市南堡开发区	tang shan shi nan pu kai fa qu	3
唐山街	tang shan jie	1
唐山路	tang shan lu	33
唐山道	tang shan dao	1
唐市村	tang shi cun	3
唐庄	tang zhuang	16
唐庄村委会	tang zhuang cun wei hui	2
唐延路	tang yan lu	10
唐恭陵	tang gong ling	1
唐指山	tang zhi shan	4
唐森林	tang sen lin	3
唐沟	tang gou	4
唐洪	tang hong	6
唐海县	tang hai xian	10
唐溪乡	tang xi xiang	2
唐溪茶场	tang xi cha chang	2
唐胖子	tang pang zi	4
唐自口村	tang zi kou cun	2
唐舍村	tang she cun	3
唐芳	tang fang	2
唐蔡路	tang cai lu	7
唐虞	tang yu	8
唐邱乡	tang qiu xiang	2
唐都医院	tang du yi yuan	9
唐陆路	tang lu lu	6
唯亭镇	wei ting zhen	3
唱歌乡	chang ge xiang	4
唱经楼	chang jing lou	24
商丘县	shang qiu xian	34
商丘市梁园区	shang qiu shi liang yuan qu	13
商丘市睢阳区	shang qiu shi sui yang qu	11
商丘路	shang qiu lu	7
商业厅农场	shang ye ting nong chang	3
商业场	shang ye chang	5
商业大	shang ye da	10
商业幼儿园	shang ye you er yuan	7
商业广场	shang ye guang chang	23
商业街口	shang ye jie kou	6
商业街路口	shang ye jie lu kou	6
商东	shang dong	4
商储公司	shang chu gong si	1
商务会馆	shang wu hui guan	2
商务学院	shang wu xue yuan	12
商务局	shang wu ju	22
商务街	shang wu jie	7
商县	shang xian	46
商周遗址	shang zhou yi zhi	3
商园	shang yuan	8
商场居委会	shang chang ju wei hui	2
商城路	shang cheng lu	33
商埠街	shang bu jie	6
商宇	shang yu	9
商州市	shang zhou shi	6
商庄村	shang zhuang cun	2
商报路	shang bao lu	1
商林乡	shang lin xiang	3
商水县农场	shang shui xian nong chang	2
商河镇	shang he zhen	3
商洛地区	shang luo di qu	13
商茂新园	shang mao xin yuan	2
商运司	shang yun si	3
啤酒花公司	pi jiu hua gong si	3
啤酒路	pi jiu lu	1
喀什东路街道	ka shi dong lu jie dao	5
喀什市	ka shi shi	49
喀尔交乡	ka er jiao xiang	5
喀尔克乡	ka er ke xiang	4
喀拉也木勒乡	ka la ye mu le xiang	5
喀拉喀什镇	ka la ka shi zhen	1
喀拉布勒根乡	ka la bu le gen xiang	6
喀拉希力克乡	ka la xi li ke xiang	4
喀拉托别乡	ka la tuo bie xiang	6
喀拉托海乡	ka la tuo hai xiang	5
喀拉达拉乡	ka la da la xiang	5
喀热克其克乡	ka re ke qi ke xiang	4
喀瓦克乡	ka wa ke xiang	3
喀赞其街道	ka zan qi jie dao	5
喂马乡	wei ma xiang	4
善各庄	shan ge zhuang	3
善各庄西站	shan ge zhuang xi zhan	4
善坛	shan tan	1
善坛村	shan tan cun	2
善家坟	shan jia fen	4
善感乡	shan gan xiang	3
善斋	shan zhai	13
善溪乡	shan xi xiang	6
善溪村	shan xi cun	3
善益	shan yi	1
善益村	shan yi cun	3
善贤村	shan xian cun	3
善贤路	shan xian lu	1
喇叭沟门	la ba gou men	5
喇叭沟门村	la ba gou men cun	3
喇叭胡同	la ba hu tong	3
喇嘛垭乡	la ma ya xiang	4
喇嘛庙	la ma miao	48
喇嘛昭乡	la ma zhao xiang	4
喇嘛湾镇	la ma wan zhen	5
喇嘛甸	la ma dian	5
喜得宝公司	xi de bao gong si	4
喜来登饭店	xi lai deng fan dian	5
喜泰路	xi tai lu	3
喜灵洲	xi ling zhou	34
喜鹊巢	xi que chao	4
喜鹊桥	xi que qiao	4
喜鹊胡同	xi que hu tong	3
喻园	yu yuan	5
喻园小区	yu yuan xiao qu	4
喻家冲	yu jia chong	4
嗓等	sang deng	1
嘉业国际城	jia ye guo ji cheng	6
嘉业藏书楼	jia ye cang shu lou	1
嘉业阳光城	jia ye yang guang cheng	5
嘉丰新城	jia feng xin cheng	3
嘉乐泉乡	jia le quan xiang	5
嘉乐镇	jia le zhen	2
嘉会镇	jia hui zhen	2
嘉信城市花园	jia xin cheng shi hua yuan	2
嘉兴一中	jia xing yi zhong	3
嘉兴二院	jia xing er yuan	4
嘉兴大剧院	jia xing da ju yuan	6
嘉兴学院医学院	jia xing xue yuan yi xue yuan	3
嘉兴市委党校	jia xing shi wei dang xiao	4
嘉兴服务区	jia xing fu wu qu	1
嘉兴职业技术学院	jia xing zhi ye ji shu xue yuan	2
嘉兴路	jia xing lu	41
嘉凤公路	jia feng gong lu	3
嘉利坊	jia li fang	3
嘉北	jia bei	11
嘉华大桥	jia hua da qiao	3
嘉华小区	jia hua xiao qu	4
嘉华苑	jia hua yuan	4
嘉南公寓	jia nan gong yu	3
嘉园	jia yuan	43
嘉园一里	jia yuan yi li	5
嘉园三里	jia yuan san li	5
嘉园三里北	jia yuan san li bei	3
嘉园东	jia yuan dong	9
嘉园二里东门	jia yuan er li dong men	3
嘉园二里南门	jia yuan er li nan men	3
嘉园二里西门	jia yuan er li xi men	3
嘉定山公园	jia ding shan gong yuan	1
嘉宾路	jia bin lu	8
嘉尔嘎勒赛汉镇	jia er ga le sai han zhen	1
