# 由 qingjian-gloss-gen 生成（LLM）。词	[词性. ]译词|假名	[词性. ]译词|假名
㑇	n. 㑇
夏威夷锯鳞鰕虎鱼	n. ハワイの鋸鱗鰕虎魚|はわいののこぎりうろこはぜ
夏威夷静水鸭	n. ハワイの静水鴨|はわいのせいすいがも
夏威夷风光	n. ハワイの風景|ハワイのふうけい
夏威夷骨顶	n. ハワイの骨頂|はわいのこっちょう
夏威夷高眉鳝	n. ハワイの高眉鰻|はわいのこうびうなぎ
夏威夷黑星宝螺	n. ハワイの黒星宝螺|はわいのくろぼしほうら
夏娃	n. イブ|いぶ
夏季	n. 夏|なつ	n. 夏季|かき
夏季热	n. 夏季熱|かきねつ
夏季皮炎	n. 夏季皮膚炎|かきひふえん
夏完淳	n. 夏完淳|かかんじゅん
夏宏	n. 夏宏|かこう
夏宜瑶族乡	n. 夏宜ヤオ族郷|かぎようぞくきょう
夏宫吻鰕虎鱼	n. 夏宮吻鰕虎魚|かきゅうふんはぜ
夏家冲	n. 夏家冲|かかちゅう
夏家园	n. 夏家園|かかえん
夏家巷	n. 夏家巷|かかこう
夏家庄	n. 夏家荘|かかそう
夏家店街道	n. 夏家店街道|かかてんかいどう
夏家村	n. 夏家村|かかむら
夏家桥	n. 夏家橋|かかきょう
夏家桥村	n. 夏家橋村|かきょうはしむら
夏家河子海滨	n. 夏家河子海浜|かかかしかいひん
夏家胡同	n. 夏家胡同|かかこどう
夏家边	n. 夏家辺|かかへん
夏寿田	n. 夏寿田|かじゅでん
夏尔	n. シャイア|シャイア
夏尔特流猫	n. 夏爾特流猫|かじるとりゅうねこ
夏尚朴	n. 夏尚朴|かしょうぼく
夏屋	n. 夏屋|なつや
夏川	n. 夏川|なつかわ
夏川里美	n. 夏川りみ|なつかわりみ
夏布	n. 夏布|かふ
夏帆	n. 夏帆|かほ
夏庄	n. 夏庄|かしょう
夏庄村	n. 夏庄村|かそんむら
夏店	n. 夏店|かてん
夏康娱以自纵	phr. 夏康は楽しみて自ら縦にす|かこうはたのしみてみずからほしいままにす
夏恽	n. 夏恽|かうん
夏播	n. 夏まき|なつまき
夏收	n. 夏の収穫|なつのしゅうかく
夏敬渠	n. 夏敬渠|かけいきょ
夏敬观	n. 夏敬観|かけいかん
夏文彦	n. 夏文彦|かぶんげん
夏新	n. 夏新|かしん
夏日	n. 夏日|なつび
夏日哈镇	n. 夏日哈鎮|かじつはちん
夏日港湾	n. 夏日港湾|なつひこうわん
夏日溧水无想山作	n. 夏日溧水無想山に作る|かじつれきすいむそうさんにつくる
夏日炎炎	phr. 炎暑|えんしょ
夏明翰	n. 夏明翰|かめいかん
夏普	n. シャープ|しゃーぷ
夏曾佑	n. 夏曾佑|かそうゆう
夏朗	n. シャラント|しゃらんと
夏朗德	n. シャラント|しゃらんと
夏朗德省	n. シャラント県|シャラントけん
夏朝法律制度	n. 夏朝法律制度|かちょうほうりつせいど
夏木真理	n. 夏木マリ|なつきマリ
夏木阴阴正可人	phr. 夏木陰陰正に可人|なつきいんいんまさにかじん
夏木麻里	n. 夏木マリ|なつきマリ
夏枯草	n. 夏枯草|かこそう
夏枯草口服液	n. 夏枯草経口液|かこそうけいこうえき
夏枯草胶囊	n. 夏枯草カプセル|かごそうかぷせる
夏枯草膏	n. 夏枯草膏|かこそうこう
夏树	n. 夏樹|なつき
夏树芳	n. 夏樹芳|かじゅほう
夏桀	n. 夏桀|かけつ
夏桑菊颗粒	n. 夏桑菊顆粒|かそうきくかりゅう
夏桥	n. 夏橋|かきょう
夏桥村	n. 夏橋村|かきょうそん
夏梦	n. 夏の夢|なつのゆめ
夏梦绢蝶	n. 夏夢絹蝶|かむきぬちょう
夏榕	n. 夏榕|かよう
夏殿村	n. 夏殿村|かでんそん
夏氏长爪鹡鸰	n. 夏氏長爪鶺鴒|かしちょうそうせきれい
夏汝弼	n. 夏汝弼|かじょひつ
夏泰	n. 夏泰|かたい
夏洛	n. シャーロット|しゃーろっと
夏洛克	n. シャーロック|しゃーろっく
夏洛特	n. シャーロット|シャーロット
夏洛特仿砂轮虫	n. シャーロット仿砂輪虫|しゃーろっとほうさりんちゅう
夏津	n. 夏津|かしん
夏津大尾寒羊	n. 夏津大尾寒羊|かしんおおびかんよう
夏湾	n. 夏湾|かわん
夏湾市场	n. 夏湾市場|かわんしじょう
夏湾新村	n. 夏湾新村|かわんしんそん
夏湾村	n. 夏湾村|かわんむら
夏溪	n. 夏溪|かけい
夏溪乡	n. 夏渓郷|かけいきょう
夏炯	n. 夏炯|かけい
夏烧雅	n. 夏焼雅|なつやきみやび
夏特柯尔克孜族乡	n. シャト・キルギス族郷|しゃときるぎすぞくきょう
夏的	adj. 夏の|なつの
夏目	n. 夏目|なつめ
夏目漱石	n. 夏目漱石|なつめそうせき
夏目雅子	n. 夏目雅子|なつめまさこ
夏眠	n. 夏眠|かみん
夏礼吾能言之	phr. 夏の礼は吾能く之を言う|かのれいはわれよくこれをいう
夏禹	n. 夏禹|かう
夏秋	n. 夏秋|かしゅう
夏秋冬	n. 夏秋冬|かしゅうとう
夏种	n. 夏植え|なつうえ
夏科	n. 夏科|なつか
夏粮	n. 夏穀物|なつこくもつ
夏约克猎犬	n. シャヨーク猟犬|しゃよーくりょうけん
夏美	n. 夏美|かび
夏至	n. 夏至|げし
夏至一阴生	phr. 夏至一陰生ず|げしいついんしょうず
夏茂芋包	n. 夏茂芋包|かもいもほう
夏茅汽车客运站	n. 夏茅バスターミナル|かもうばすたーみなる
夏荷生	n. 夏荷生|かかせい
夏虫不可语冰	phr. 夏の虫に氷を語るべからず|なつのむしにこおりをかたるべからず
夏虫也为我沉默	phr. 夏の虫も我がために黙す|なつのむしもわがためにもくす
夏蜡梅	n. 夏蝋梅|かろうばい
夏衍	n. 夏衍|かえん
夏衣	n. 夏服|なつふく
夏装	n. 夏服|なつふく
夏西	n. 夏西|かさい
夏过	v. 夏を過ごす|なつをすごす
夏邑	n. 夏邑|かゆう
夏邛镇	n. 夏邛鎮|かきょうちん
夏銮	n. 夏鑾|からん
夏镇	n. 夏鎮|かちん
夏阳	n. 夏の陽|なつのひ
夏阳村	n. 夏陽村|かようむら
夏集	n. 夏祭り|なつまつり
夏雨	n. 夏の雨|なつのあめ
夏霖园	n. 夏霖園|かりんえん
夏青	n. 夏青|かせい
夏颖	n. 夏穎|かえい
夏首荐枇杷	phr. 夏の初めに枇杷を薦む|なつのはじめにびわをすすむ
夏鸟	n. 夏鳥|なつどり
夐	adj. 遠い|とおい
夔	n. 夔|き
夔州处女发半华	phr. 夔州の処女は髪半ば華やぐ|きしゅうのしょじょはかみなかばはなやぐ
夔府孤城落日斜	phr. 夔府の孤城に落日斜めなり|きふのこじょうにらくじつななめなり
夕	n. 夕方|ゆうがた
夕余至乎县圃	phr. 夕べに余は県圃に至る|ゆうべによはけんぽにいたる
夕余至乎西极	phr. 夕べに余は西極に至る|ゆうべによはさいきょくにいたる
夕张	n. 夕張|ゆうばり
夕弭节兮北渚	phr. 夕べに節を弭めて北渚に|ゆうべにせつをやめてほくしょに
夕拾	n. 夕拾|ゆうしゅう
夕拾超	n. 夕拾超|せきしゅうちょう
夕法	n. 夕法|せきほう
夕波红处近长安	phr. 夕波の紅き処は長安に近し|ゆうなみのあかきところはちょうあんにちかし
夕烟	n. 夕煙|ゆうけむり
夕照	n. 夕照|せきしょう
夕照寺	n. 夕照寺|せきしょうじ
夕照寺街北口	n. 夕照寺街北口|せきしょうじがいきたぐち
夕照寺西里社区	n. 夕照寺西里社区|せきしょうじせいりしゃく
夕狼夜蛾	n. 夕狼夜蛾|ゆうおおかみやが
夕蚖科	n. 夕蚖科|ゆうえんか
夕贬潮阳路八千	phr. 夕べに潮陽に貶され路八千|ゆうべにちょうようにおとされろはっせん
夕阳	n. 夕日|ゆうひ
夕阳彝族乡	n. 夕陽彝族郷|せきよういぞくきょう
夕阳忧子孙	phr. 夕陽は子孫を憂う|せきようはしそんをうれう
夕阳无限好	phr. 夕日は限りなく美しい|ゆうひはかぎりなくうつくしい
夕阳穷登攀	phr. 夕陽に窮めて登攀す|せきようにきわめてとうはんす
夕阳笔螺	n. 夕陽筆螺|ゆうひふでがい
夕阳箫鼓几船归	phr. 夕陽に簫鼓幾船か帰る|せきようにしょうこいくせんかえる
夕阳红	n. 夕焼け|ゆうやけ
夕阳蝴蝶鱼	n. 夕陽蝶魚|ゆうひちょうちょううお
夕阳西下	phr. 夕日が沈む|ゆうひがしずむ
夕阳西下几时回	phr. 夕陽西に下り幾時か回る|せきようにしにくだりいくじかかえる
夕阳黄文蛤	n. 夕陽黄文蛤|ゆうひきぶみはまぐり
夕露沾我衣	phr. 夕露我が衣を濡らす|ゆうつゆわがころもをぬらす
夕露见日晞	phr. 夕露は日を見て晞る|ゆうつゆはひをみてかわく
夕餐秋菊之落英	phr. 夕べに秋菊の落花を食らう|ゆうべにしゅうぎくのらっかをくらう
夕鹤	n. 夕鶴|ゆうづる
外	n. 外|そと
外上髁	n. 外側上顆|がいそくじょうか
外专外语	n. 外国語|がいこくご
外丙	n. 外丙|がいへい
外举不弃仇	phr. 外挙は仇を棄てず|がいきょはあだをすてず
外乔司	n. 外喬司|がいきょうし
外乡	n. 他郷|たきょう
外乡人	n. よそ者|よそもの
外事	n. 外事|がいじ
外事办	n. 外事弁公室|がいじべんこうしつ
外事学院	n. 外事学院|がいじがくいん
外事学院北区	n. 外事学院北区|がいじがくいんほくく
外交	n. 外交|がいこう
外交事务	n. 外交事務|がいこうじむ
外交人员	n. 外交官|がいこうかん
外交关系	n. 外交関係|がいこうかんけい
外交大臣	n. 外務大臣|がいむだいじん
外交官	n. 外交官|がいこうかん
外交政策	n. 外交政策|がいこうせいさく
外交特权	n. 外交特権|がいこうとっけん
外交辞令	n. 外交辞令|がいこうじれい
外交部	n. 外交部|がいこうぶ
外交部街	n. 外交部街|がいこうぶがい
外交部长	n. 外務大臣|がいむだいじん
外亲	n. 外戚|がいせき
外人	n. 部外者|ぶがいしゃ
外任	n. 地方官|ちほうかん
外企	n. 外資系企業|がいしけいきぎょう
外传	n. 外伝|がいでん
外伤	n. 外傷|がいしょう
外伤性白内障	n. 外傷性白内障|がいしょうせいはくないしょう
外伶仃岛	n. 外伶仃島|がいれいていとう
外侧	n. 外側|そとがわ
外侧半月板	n. 外側半月板|がいそくはんげつばん
外侨	n. 外国人居留者|がいこくじょきょりゅうしゃ
外侮	n. 外敵の侵略|がいてきのしんりゃく
外侮需人御	phr. 外侮は人を御するを要す|がいぶはひとをぎょするをようす
外借	v. 貸し出す|かしだす
外债	n. 外債|がいさい
外公	n. 祖父|そふ
外关	n. 外関|がいかん
外关穴	n. 外関穴|がいかんけつ
外其身而身存	phr. 其身を外にして身存す|そのみをそとにしてみそんす
外出	v. 外出する|がいしゅつする
外出经营许可证	n. 外出経営許可証|がいしゅつけいえいきょかしょう
外分泌	n. 外分泌|がいぶんぴ
外分泌腺	n. 外分泌腺|がいぶんぴつせん
外刚内柔	adj. 外剛内柔|がいごうないじゅう
外力	n. 外力|がいりょく
外功	n. 外功|がいこう
外加	conj. プラス|ぷらす
外务	n. 外務|がいむ
外务省	n. 外務省|がいむしょう
外劳宫	n. 外労宮|がろうきゅう
外勤	n. 外勤|がいきん
外包	n. アウトソーシング|アウトソーシング
外卖	n. 出前|でまえ
外卖小哥	n. 配達員|はいたついん
外卡	n. ワイルドカード|わいるどかーど
外台秘要	n. 外台秘要|がいだいひよう
外史	n. 外史|がいし
外号	n. あだ名|あだな
外向	adj. 外向的な|がいこうてきな
外向型	adj. 輸出指向型|ゆしゅつしこうがた
外周阻力	n. 末梢抵抗|まっしょうていこう
外周静脉压	n. 末梢静脈圧|まっしょうじょうみゃくあつ
外商	n. 外商|がいしょう
外商投资流通业	phr. 外資による流通業への投資|がいしによるりゅうつうぎょうへのとうし
外商独资保险公司	n. 外資独資保険会社|がいしどくしほけんがいしゃ
外因	n. 外因|がいいん
外围	n. 周辺|しゅうへん
外围处理机	n. 周辺処理装置|しゅうへんしょりそうち
外围设备	n. 周辺機器|しゅうへんきき
外围赛	n. 予選|よせん
外国	n. 外国|がいこく
外国专家局	n. 外国専門家局|がいこくせんもんかきょく
外国人	n. 外国人|がいこくじん
外国仲裁裁决公约	n. 外国仲裁判断条約|がいこくちゅうさいはんだんじょうやく
外国投资法	n. 外国投資法|がいこくとうしほう
外国法院说	phr. 外国裁判所の理論|がいこくさいばんしょのりろん
外国的	adj. 外国の|がいこくの
外国直接投资	n. 外国直接投資|がいこくちょくせつとうし
外国语	n. 外国語|がいこくご
外国语学校	n. 外国語学校|がいこくごがっこう
外国语学院	n. 外国語学院|がいこくごがくいん
外国银行	n. 外国銀行|がいこくぎんこう
外圆内方	phr. 外円内方|がいえんないほう
外在	adj. 外在|がいざい
外地	n. よそ|よそ
外地人	n. よそ者|よそもの
外场	n. 外野|がいや
外坝	n. 外堤|そとつつみ
外型	n. 外観|がいかん
外城	n. 外城|がいじょう
外埔乡	n. 外埔郷|がいほきょう
外域	n. 外国|がいこく
外埠	n. 他都市|たとし
外墙	n. 外壁|がいへき
外壳	n. 外殻|がいかく
外壳命令	n. シェルコマンド|シェルコマンド
外壳脚本	n. シェルスクリプト|シェルスクリプト
外壳语言	n. シェル言語|シェルげんご
外壳进程	n. シェルプロセス|シェルプロセス
外外	n. 外側|そとがわ
外大桥	n. 外大橋|がいだいきょう
外大陆架	n. 外大陸棚|がいたいりくだな
外太空	n. 宇宙|うちゅう
外头	n. 外|そと
外套	n. コート|コート
外套膜	n. 外套膜|がいとうまく
外姓	n. 他姓|たせい
外姓人	n. 外姓の人|がいせいのひと
外婆	n. 祖母|そぼ
外婆家	n. 祖母の家|そぼのいえ
外婆家醉鱼	n. 祖母の家の醉魚|そぼのいえのすいぎょ
外媒	n. 海外メディア|かいがいメディア
外嫁	v. 嫁ぐ|とつぐ
外存	n. 外部記憶|がいぶきおく
外存储器	n. 外部記憶装置|がいぶきおくそうち
外孙	n. 外孫|がいそん
外孙女	n. 外孫娘|そとまごむすめ
外孙子	n. 外孫|そとまご
外宅	n. 妾宅|しょうたく
外家	n. 母方の家|ははかたのいえ
外宾	n. 外国からの賓客|がいこくからのひんきゃく
外寇	n. 外寇|がいこう
外寨	n. 外寨|がいさい
外寨村	n. 外寨村|がいさいむら
外层	n. 外側|そとがわ
外层空间	n. 宇宙空間|うちゅうくうかん
外层空间武器	n. 宇宙兵器|うちゅうへいき
外层空间法	n. 宇宙法|うちゅうほう
外屋	n. 外の部屋|そとのへや
外展	n. 外転|がいてん
外展神经	n. 外転神経|がいてんしんけい
外山	n. 外山|そとやま
外山村	n. 外山村|がいさんむら
外岙	n. 外岙|がいおう
外币	n. 外貨|がいか
外币国债	n. 外貨国債|がいかこくさい
外带	v. テイクアウト|ていくあうと
外庄村	n. 外荘村|がいそうむら
外引	v. 外から導入する|そとからどうにゅうする
外强中干	phr. 外強中干|がいきょうちゅうかん
外形	n. 外形|がいけい
外径	n. 外径|がいけい
外心	n. 外心|がいしん
外快	n. 副収入|ふくしゅうにゅう
外患	n. 外患|がいかん
外感	n. 外感|がいかん
外感风寒	n. 外感風寒|がいかんふうかん
外感风寒颗粒	n. 外感風寒顆粒|がいかんふうかんかりゅう
外戚	n. 外戚|がいせき
外扬	v. 外に漏らす|そとにもらす
外挂	n. チート|ちーと
外排序	n. 外部ソート|がいぶソート
外接程序	n. アドイン|アドイン
外援	n. 外国人選手|がいこくじんせんしゅ	n. 外部援助|がいぶえんじょ
外放	v. 外部放送する|がいぶほうそうする
外敌	n. 外敵|がいてき
外教	n. 外国人教師|がいこくじんきょうし
外敷	v. 外用する|がいようする
外文	n. 外国語|がいこくご
外文印刷厂	n. 外文印刷工場|がいぶんいんさつこうじょう
外文印刷厂西门	n. 外文印刷廠西門|がいぶんいんさつしょうせいもん
外文翻译	n. 外国語翻訳|がいこくごほんやく
外斐氏反应	n. ワイル・フェリックス反応|ワイル・フェリックスはんのう
外斜视	n. 外斜視|がいしゃし
外方	n. 外部|がいぶ
外方内圆	adj. 外方内円|がいほうないえん
外族	n. 異民族|いみんぞく
外无期功强近之亲	phr. 外に期功強近の親なし|そとにきこうきょうきんのしんなし
外星	n. 異星|いせい
外星人	n. 宇宙人|うちゅうじん
外星婴儿	n. エイリアンの赤ちゃん|エイリアンのあかちゃん
外显子	n. エクソン|えくそん
外显率	n. 浸透率|しんとうりつ
外显记忆	n. 顕在記憶|けんざいきおく
外景	n. ロケーション|ロケーション
外曾	n. 曽祖|そうそ
外村	n. よその村|よそのむら
外村公园	n. 外村公園|がいそんこうえん
外来	adj. 外来|がいらい
外来人	n. 外来者|がいらいしゃ
外来户	n. よそ者|よそもの
外来种短毛猫	n. エキゾチックショートヘア|エキゾチックショートヘア
外来词	n. 外来語|がいらいご
外来语	n. 外来語|がいらいご
外板	n. 外板|がいはん
外柔内刚	phr. 外柔内剛|がいじゅうないごう
外模式	n. 外部スキーマ|がいぶスキーマ
外毒素	n. 外毒素|がいどくそ
外汇	n. 外国為替|がいこくかわせ
外汇交易	n. 外国為替取引|がいこくかわせとりひき
外汇保证金开户	phr. 外国為替証拠金口座開設|がいこくかわせしょうこきんこうざかいせつ
外汇宝	n. 外貨宝|がいかほう
外汇管制	n. 外国為替管理|がいこくかわせかんり
外汇管理	n. 外国為替管理|がいこくかわせかんり
外汇资产	n. 外貨資産|がいかしさん
外汇资金	n. 外貨資金|がいかしきん
外汇通	n. 外貨通|がいかつう
外沙	n. 外砂|そとすな
外沟门乡	n. 外溝門郷|がいこうもんきょう
外河	n. 外河|がいが
外沿	n. 外縁|がいえん
外泄	v. 漏れる|もれる
外活儿	n. 内職|ないしょく
外派	v. 派遣する|はけんする
外流	v. 流出する|りゅうしゅつする
外浣花	n. 外浣花|がいかんか
外海	n. 外海|そとうみ
外消旋体	n. ラセミ体|ラセミたい
外港	n. 外港|がいこう
外湘春街	n. 外湘春街|がいしょうしゅんがい
外源凝集素	n. レクチン|れくちん
外源基因	n. 外来遺伝子|がいらいいでんし
外源性感染	n. 外因性感染|がいいんせいかんせん
外溢	v. 外に溢れる|そとにあふれる
外滩	n. 外灘|ワイタン
外炮村	n. 外砲村|がいほうそん
外照射急性放射病	n. 外部被曝による急性放射線症|がいぶひばくによるきゅうせいほうしゃせんしょう
外照射慢性放射病	n. 外部被曝慢性放射線障害|がいぶひばくまんせいほうしゃせんしょうがい
外物少能逼	phr. 外物は少しも逼ること能わず|がいぶつはすこしもせまることあたわず
外环	n. 外環|がいかん
外环东路	n. 外環東路|がいかんとうろ
外环北路	n. 外環北路|がいかんほくろ
外环南路	n. 外環南路|がいかんなんろ
外环线	n. 外環状線|がいかんじょうせん
外环西路	n. 外環西路|がいかんせいろ
外环路	n. 環状道路|かんじょうどうろ
外环路站	n. 外環路駅|がいかんろえき
外生殖器	n. 外性器|がいせいき
外甥	n. 甥|おい
外甥女	n. 姪|めい
外用	adj. 外用|がいよう
外用应急软膏	n. 外用応急軟膏|がいようおうきゅうなんこう
外用无敌膏	n. 外用無敵膏|がいようむてきこう
外电	n. 外電|がいでん
外界	n. 外界|がいかい
外痔	n. 外痔|がいじ
外盘	n. 売り気配|うりけはい
外省	n. 他省|たしょう
外碧村	n. 外碧村|がいへきそん
外祖母	n. 祖母|そぼ
外祖父	n. 祖父|そふ
外科	n. 外科|げか
外科医生	n. 外科医|げかい
外科学	n. 外科学|げかがく
外科手术	n. 外科手術|げかしゅじゅつ
外科护理学	n. 外科看護学|げかかんごがく
外科疾病	n. 外科疾患|げかしっかん
外立	v. 外に立つ|そと に たつ
外立面	n. 外壁|がいへき
外管局	n. 外為局|がいためきょく
外篇	n. 外編|がいへん
外籍	n. 外国籍|がいこくせき
外籍华人	n. 外国籍華人|がいこくせきかじん
外籍球员	n. 外国人選手|がいこくじんせんしゅ
外累由心起	phr. 外累は心より起る|がいるいはこころよりおこる
外线	n. 外線|がいせん
外缘	n. 外縁|がいえん
外网	n. 海外サイト|かいがいサイト
外网访问	phr. 外部ネットワークアクセス|がいぶネットワークアクセス
外罩	n. カバー|カバー
外翻	v. 外反する|がいはんする
外翻足	n. 外反足|がいはんそく
外耳	n. 外耳|がいじ
外耳道	n. 外耳道|がいじどう
外耳道乳头状瘤	n. 外耳道乳頭状腫|がいじどうにゅうとうじょうしゅ
外耳道异物	n. 外耳道異物|がいじどういぶつ
外耳道疖	n. 外耳道せつ|がいじどうせつ
外耳道胆脂瘤	n. 外耳道真珠腫|がいじどうしんじゅしゅ
外耳道闭锁	n. 外耳道閉鎖|がいじどうへいさ
外联结	n. 外部結合|がいぶけつごう
外联网	n. エクストラネット|エクストラネット
外聘	v. 外部から採用する|がいぶからさいようする
外胎	n. タイヤ|タイヤ
外胚层	n. 外胚葉|がいはいよう
外胚层发育不良	n. 外胚葉形成不全|がいはいようけいせいふぜん
外蒙古	n. 外モンゴル|そとモンゴル
外融百骸畅	phr. 外に融けて百骸暢ぶ|そとにとけてひゃくがいのぶ
外行	n. 素人|しろうと
外行话	n. 素人話|しろうとばなし
外衣	n. 上着|うわぎ
外表	n. 外見|がいけん
外裁剪	v. 外側をカットする|そとがわをカットする
外观	n. 外観|がいかん
外观上	phr. 外見上|がいけんじょう
外观文件	n. 意匠書類|いしょうしょるい
外观模式	n. ファサードパターン|ファサードパターン
外观设计法律保护	n. 意匠の法的保護|いしょうのほうてきほご
外语	n. 外国語|がいこくご
外语大学社区	n. 外国語大学コミュニティ|がいこくごだいがくコミュニティ
外语学院	n. 外国語学院|がいこくごがくいん
外语片	n. 外国映画|がいこくえいが
外调	v. 転勤する|てんきんする
外貌	n. 外見|がいけん
外貌协会	n. 外見重視|がいけんじゅうし
外财	n. 外財|がいざい
外货	n. 外国製品|がいこくせいひん
外购	v. 外部調達する|がいぶちょうたつする
外购剧	n. 海外ドラマ|かいがいどらま
外购剧集	phr. 外部購入ドラマ|がいぶこうにゅうどらま
外贸	n. 外国貿易|がいこくぼうえき
外贸中心酒店	n. 外貿中心酒店|がいぼうちゅうしんしゅてん
外贸仓库	n. 外貿倉庫|がいぼうそうこ
外贸代理	n. 対外貿易代理|たいがいぼうえきだいり
外贸代理制度	n. 外貿代理制度|がいぼうだいりせいど
外贸学校	n. 貿易学校|ぼうえきがっこう
外贸易经营者	n. 対外貿易経営者|たいがいぼうえきけいえいしゃ
外贸汽修厂	n. 外貿自動車修理工場|がいぼうじどうしゃしゅうりこうじょう
外贸法律实务	n. 外貿法律実務|がいぼうほうりつじつむ
外贸物流	n. 貿易物流|ぼうえきぶつりゅう
外资	n. 外資|がいし
外资保险公司	n. 外資系保険会社|がいしけいほけんがいしゃ
外资银行管理条例	n. 外資銀行管理条例|がいしぎんこうかんりじょうれい
外路	n. 外路|がいろ
外踝尖	n. 外果尖|がいかせん
外轮	n. 外航船|がいこうせん
外轮代理公司	n. 外航代理会社|がいこうだいりがいしゃ
外边	n. 外|そと
外边距	n. マージン|マージン
外迁	v. 移転する|いてんする
外运	v. 外部輸送|がいぶゆそう
外运司	n. 外運司|がいうんし
外连接	n. 外部結合|がいぶけつごう
外送	v. 配達する|はいたつする
外逃	v. 海外逃亡する|かいがいとうぼうする
外遇	n. 浮気|うわき
外道	n. 外道|げどう
外邪	n. 外邪|がいじゃ
外郎	n. 外郎|ういろう
外郎营村	n. 外郎営村|がいろえいそん
外部	n. 外部|がいぶ
外部中断	n. 外部割り込み|がいぶわりこみ
外部协议	n. 外部プロトコル|がいぶプロトコル
外部威胁	n. 外部脅威|がいぶきょうい
外部存储	n. 外部記憶|がいぶきおく
外部工具	n. 外部ツール|がいぶツール
外部总线	n. 外部バス|がいぶばす
外部排序	n. 外部ソート|がいぶソート
外部样式	n. 外部スタイル|がいぶスタイル
外部样式表	n. 外部スタイルシート|がいぶすたいるしーと
外部程序	n. 外部プログラム|がいぶプログラム
外部类	n. 外部クラス|がいぶくらす
外部网关协议	n. 外部ゲートウェイプロトコル|がいぶゲートウェイプロトコル
外部表	n. 外部テーブル|がいぶテーブル
外部调用	n. 外部呼び出し|がいぶよびだし
外部页表	n. 外部ページテーブル|がいぶページテーブル
外野	n. 外野|がいや
外野手	n. 外野手|がいやしゅ
外钞	n. 外貨|がいか
外铁铺巷	n. 外鉄舗巷|がいてつほこう
外链	n. 外部リンク|がいぶリンク
外销	v. 輸出する|ゆしゅつする
外键	n. 外部キー|がいぶキー
外键关联	n. 外部キー関連|がいぶキーかんれん
外键约束	n. 外部キー制約|がいぶキーせいやく
外长	n. 外相|がいしょう
外间	n. 外の間|そとま
外阴	n. 外陰部|がいいんぶ
外阴尖锐湿疣	n. 外陰尖圭コンジローマ|がいいんせんけいコンジローマ
外阴溃疡	n. 外陰潰瘍|がいいんかいよう
外阴炎	n. 外陰炎|がいいんえん
外阴瘙痒	n. 外陰部のかゆみ|がいいんぶのかゆみ
外阴癌根治术	n. 外陰癌根治術|がいいんがんこんちじゅつ
外阴白色病变	n. 外陰白色病変|がいいんはくしょくびょうへん
外阴萎缩	n. 外陰萎縮|がいいんいしゅく
外阴营养不良	n. 外陰栄養不良|がいいんえいようふりょう
外阴阴道炎	n. 外陰腟炎|がいいんちつえん
外院	n. 外国語学部|がいこくごがくぶ
外隐斜	n. 外斜位|がいしゃい
外露	adj. 露出した|ろしゅつした
外面	n. 外|そと
外面儿光	phr. 外見だけ良い|がいけんだけよい
外馆斜街	n. 外館斜街|がいかんしゃがい
外高	n. 外高|がいこう
外高加索欧鳊	n. 外カフカースブリーム|そとかふかーすぶりーむ
外高桥	n. 外高橋|そとたかはし
外高桥保税区	n. 外高橋保税区|そとたかはしほぜいく
外黄	n. 外黄|がいおう
外鼻	n. 外鼻|がいび
外龙	n. 外竜|がいりゅう
夙	adv. 早くから|はやくから
夙兴夜寐	phr. 夙興夜寐|しゅくこうやび
夙夜	n. 夙夜|しゅくや
夙夜匪懈	phr. 夙夜匪懈|しゅくやひかい
夙夜在公	phr. 夙夜公に在り|しゅくやおおやけにあり
夙愿	n. 宿願|しゅくがん
多	adj. 多い|おおい
多一个	phr. もう一つ多い|もうひとつおおい
多一事不如少一事	phr. 事を減らすに越したことはない|ことをへらすにこしたことはない
多一分	phr. もう一分|もういっぷん
多一半	adv. 半分以上|はんぶんいじょう
多一点	phr. もう少し|もうすこし
多万	num. 数万|すうまん
多不	adv. あまり〜ない|あまり〜ない
多不多	phr. 多いか少ないか|おおいかすくないか
多不胜数	phr. 数え切れない|かぞえきれない
多不过三四	phr. 多くても三四|おおくてもさんし
多不过六七	phr. 多くて六七に過ぎない|おおくてろくしちにすぎない
多不饱和脂肪酸	n. 多価不飽和脂肪酸|たかふほうわしぼうさん
多个	adj. 複数の|ふくすうの
多中贝	n. 多中貝|たちゅうがい
多为	v. 多くは〜である|おおくは〜である
多为将相官	phr. 多くは将相の官となる|おおくはしょうしょうのかんとなる
多为药所误	phr. 多くは薬に誤られる|おおくはくすりにあやまられる
多主体	n. マルチエージェント|マルチエージェント
多久	adv. どのくらい|どのくらい
多久了	phr. どのくらい|どのくらい
多久没见	phr. 久しぶり|ひさしぶり
多么	adv. なんと|なんと
多义	n. 多義|たぎ
多义词	n. 多義語|たぎご
多乐士	n. デュラックス|デュラックス
多买	v. 多く買う|おおくかう
多乳房	n. 多乳房症|たにゅうぼうしょう
多了	adj. ずっと多い|ずっとおおい
多了一个	phr. 一つ多い|ひとつおおい
多了去了	phr. たくさんある|たくさんある
多了解	phr. もっと知る|もっとしる
多事	adj. 多事|たじ
多事之秋	phr. 多事の秋|たじのあき
多于	v. より多い|よりおおい
多于九土之城郭	phr. 九土の城郭より多し|きゅうどのじょうかくよりおおし
多于南亩之农夫	phr. 南亩の農夫より多し|なんぼののうふよりおおし
多于周身之帛缕	phr. 周身の帛缕より多し|しゅうしんのはくるよりおおし
