# 由 qingjian-gloss-gen 生成（LLM）。词	[词性. ]译词	[词性. ]译词
㕮	v. chew
完全同意	phr. fully agree
完全图	n. complete graph
完全小学	n. full primary school
完全就是	phr. exactly
完全平方数	n. perfect square
完全性失语	n. global aphasia
完全恢复	v. fully recover
完全抗原	n. complete antigen
完全数	n. perfect number
完全是	adv. completely
完全民事行为人	n. person with full capacity
完全没有	phr. not at all
完全物权	n. complete real right
完全相同	adj. identical
完全知识产权	n. full intellectual property
完全背包	n. unbounded knapsack
完全行为能力	n. full capacity
完全过失责任制	n. full liability for negligence
完全问题	n. complete problem
完全集	n. complete collection
完县	n. Wan County
完后	adv. after that	adv. then
完善	v. perfect
完善宏观调控	phr. improve macro-control
完善现代企业制度	phr. improve modern enterprise system
完备	adj. complete	adj. perfect
完备化	n. completion
完好	adj. intact
完好无缺	phr. intact
完婚	v. get married
完完全全	adv. completely
完工	v. complete
完工后	phr. after completion
完工镇	n. Wanggong Town
完带汤	n. Wandai decoction
完成	v. complete
完成了	v. completed
完成任务	phr. complete task
完成后	phr. after completion
完成学业	v. finish studies
完成端口	n. completion port
完整	adj. complete	adj. whole
完整性	n. integrity
完整性控制	n. integrity control
完整性检查	n. integrity check
完整性检验	n. integrity check
完整性约束	n. integrity constraint
完整版	n. full version
完整项目	n. complete project
完步	n. complete step
完毕	v. complete	v. finish
完毕后	phr. after completion
完满	adj. perfect
完澡	v. finish bath
完爆	v. completely crush
完璧归赵	phr. return intact
完研	v. complete research
完税	v. pay tax
完税证	n. tax payment certificate
完稿	v. finish manuscript
完结	v. finish	v. complete
完结了	v. finished	v. completed
完结篇	n. finale
完美	adj. perfect
完美世界	n. Perfect World
完美无缺	adj. flawless
完美的	adj. perfect
完胜	v. complete victory
完蛋	v. be done for
完蛋了	phr. done for	phr. finished
完试	v. finish test
完课	v. finish class
完谷不化	phr. undigested food
完败	v. suffer complete defeat
完颜	n. Wanyan
完颜亮	n. Wanyan Liang
完颜守绪	n. Wanyan Shouxu
完颜宗弼	n. Wanyan Zongbi
完颜承麟	n. Wanyan Chenglin
完颜氏	n. Wanyan clan
完颜永济	n. Wanyan Yongji
完颜璟	n. Wanyan Jing
完颜阿骨打	n. Wanyan Aguda
完颜雍	n. Wanyan Yong
完饭	v. finish meal
完骨	n. mastoid process
宏	n. macro
宏三	n. Hirozo
宏业	n. great undertaking
宏业村街道	n. Hongye Village Street
宏业集团	n. Hongye Group
宏丰乡	n. Hongfeng Township
宏伟	adj. grand
宏元编程	n. macro programming
宏函数	n. macro function
宏利大厦	n. Hongli Building
宏升乡	n. Hongsheng Township
宏华集团	n. Honghua Group
宏图	n. grand plan
宏图大志	phr. grand ambition
宏图大略	phr. grand plan
宏坝	n. Hongba
宏城花园	n. Hongcheng Garden
宏基汽车客运站	n. Hongji Bus Station
宏基花园	n. Hongji Garden
宏塔社区	n. Hongta Community
宏大	adj. grand
宏大小区	n. Hongda Residential Area
宏大广场	n. Hongda Square
宏学路	n. Hongxue Road
宏安集团	n. Hong'an Group
宏定义	n. macro definition
宏峰	n. Hongfeng
宏康路	n. Hongkang Road
宏建村	n. Hongjian Village
宏德中学	n. Hongde Middle School
宏怡花园	n. Hongyi Garden
宏愿	n. great aspiration
宏才	n. great talent
宏指令	n. macro instruction
宏旨	n. main theme
宏昌路	n. Hongchang Road
宏星棘冠螺	n. crown-of-thorns starfish
宏智	n. Hongzhi
宏村	n. Hongcun
宏桥乡	n. Hongqiao Township
宏模乡	n. Hongmo Township
宏济桥头	n. Hongji Bridgehead
宏源路	n. Hongyuan Road
宏瑜	n. Hongyu
宏盘乡	n. Hongpan Township
宏盛	n. Hongsheng
宏盛家园	n. Hongsheng Garden
宏福苑小区	n. Hongfuyuan Community
宏福苑小区西	n. West of Hongfuyuan Community
宏福路	n. Hongfu Road
宏缘乡	n. Hongyuan Township
宏苑小区	n. Hongyuan Residential Area
宏观	adj. macro
宏观经济	n. macroeconomy
宏观经济基本状况	n. macroeconomic fundamentals
宏观经济学	n. macroeconomics
宏观经济管理体制	n. macroeconomic management system
宏观调控	n. macro-control
宏观调控权	n. macro-control power
宏观调控法	n. macro-control law
宏观调控目标	n. macro-control target
宏观财政政策	n. macro fiscal policy
宏论	n. brilliant argument
宏语言	n. macro language
宏达	adj. grand
宏达中路	n. Hongda Middle Road
宏道	n. grand way
宓	n. Mi
宕	v. delay
宕昌前个木虱	n. Dangchang psyllid
宕渠	n. Dangqu
宗主	n. suzerain
宗主国	n. suzerain
宗主权	n. suzerainty
宗义智	n. So Yoshitomo
宗亲	n. clan relative
宗元	n. Zongyuan
宗关	n. Zongguan
宗关街道	n. Zongguan Subdistrict
宗别立镇	n. Zongbieli Town
宗加镇	n. Zongjia Town
宗周	n. Zongzhou
宗城	n. Zongcheng
宗塔	n. Zongta
宗塔乡	n. Zongta Township
宗子	n. eldest son of clan
宗安	n. Zong'an
宗宝	n. ancestral treasure
宗室	n. royal clan	n. imperial family
宗家	n. head family
宗岱	n. Zongdai
宗师	n. master
宗庙	n. ancestral temple
宗座	n. Holy See
宗座代	n. apostolic delegate
宗座代牧	n. apostolic vicar
宗座监	n. apostolic administrator
宗教	n. religion
宗教信仰	n. religious belief
宗教团体	n. religious group
宗教指导者	n. religious leader
宗教改革	n. Reformation
宗教活动	phr. religious activity
宗教界	n. religious circles
宗教的	adj. religious
宗教自由	n. religious freedom
宗教院校设立办法	n. Regulations on Religious Schools
宗族	n. clan
宗族称孝焉	phr. Clan praises filial piety
宗旨	n. purpose	n. tenet
宗朗	n. Zonglang
宗杲	n. Dahui Zonggao
宗楷	n. Zongkai
宗次郎	n. Sojiro
宗正	n. clan chief
宗永生	n. Zong Yongsheng
宗法	n. patriarchal clan system
宗泰	n. Zongtai
宗泽	n. Zong Ze
宗派	n. sect
宗海乡	n. Zonghai Township
宗涛	n. Zongtao
宗王	n. clan prince
宗珊	n. Zong Shan
宗璞	n. Zong Pu
宗祠	n. ancestral hall
宗科乡	n. Zongke Township
宗臣	n. Zong Chen
宗若	n. Zongruo
宗若望	n. John
宗营	n. Zongying
宗谱	n. genealogy
宗预	n. Zong Yu
宗麦乡	n. Zongmai Township
官	n. official
官书院	n. Guanshuyuan
官书院胡同	n. Guanshuyuan Hutong
官了	v. settle officially
官二代	n. children of officials
官亭路	n. Guanting Road
官人	n. official
官仓村	n. Guancang Village
官价	n. official price
官位	n. official rank
官保巷	n. Guanbao Lane
官倒	n. official profiteering
官僚	n. bureaucrat
官僚主义	n. bureaucracy
官僚资本	n. bureaucratic capital
官儿乡	n. Guan'er Township
官兵	n. officers and soldiers
官军	n. government army
官冲	n. Guanchong
官制	n. official system
官前	n. Guanqian
官办	adj. government-run
官升镇	n. Guansheng Town
官博	n. official blog
官印	n. official seal
官司	n. lawsuit
官名	n. official title
官后	n. after official
官吏	n. official
官员	n. official
官商	n. official merchant
官园	n. Guanyuan
官园社区	n. Guanyuan Community
官园街道	n. Guanyuan Street
官场	n. officialdom
官坑	n. Guankeng
官塘	n. Guantang
官塘三村	n. Guantang Sancun
官复原职	phr. restore to office
官头	n. Guantou
官守	n. official
官官相卫	phr. officials protect each other
官官相护	phr. officials protect each other
官宣	v. officially announce
官宦	n. officials
官家村	n. Guanjia Village
官寨苗族乡	n. Guanzhai Miao Township
官山	n. Guanshan
官山林场	n. Guanshan Forest Farm
官差	n. official errand
官巷口	n. Guanxiangkou
官庄	n. Guanzhuang
官庄小学	n. Guanzhuang Primary School
官庄村委会	n. Guanzhuang Village Committee
官庄道口	n. Guanzhuang Crossing
官应老病休	phr. retire due to illness
官庙	n. official temple
官府	n. government office
官廉	n. Guan Lian
官微	n. official microblog
官志卷村	n. Guanzhijuan Village
官房	n. cabinet
官房胡同	n. Guanfang Hutong
官方	adj. official
官方微博	n. official Weibo
官方教程	n. official tutorial
官方文档翻译	n. official document translation
官方网站	n. official website
官方网页	n. official website
官方语言	n. official language
官方语言法案	n. Official Languages Act
官方频道	n. official channel
官本位	n. official standard
官架子	n. bureaucratic airs
官校	n. military academy
官样文章	n. officialese
官桥	n. Guanqiao
官桥村	n. Guanqiao Village
官桥社区	n. Guanqiao Community
官气	n. bureaucratic air
官洋	n. Guanyang
官洋村	n. Guanyang Village
官洲	n. Guanzhou
官渡	n. Guandu
官渡桥	n. Guandu Bridge
官溪	n. Guanxi
官溪村	n. Guanxi Village
官滩	n. Guantan
官滩乡	n. Guantan Township
官爵	n. official rank
官牛坊	n. Guanniufang
官田	n. official field
官田小学	n. Guantian Primary School
官田村	n. Guantian Village
官瘾	n. craving for power
官盛镇	n. Guansheng Town
官称	n. official title
官窍	n. sense organs
官窑	n. imperial kiln
官窖村	n. Guanjiao Village
官立	adj. government-run
官籍	n. official register
官网	n. official website
官网文档	n. official documentation
官网翻译	n. official website translation
官署	n. government office
官职	n. official post
官能	n. sense	n. function
官能症	n. neurosis
官腔	n. bureaucratic tone
官至	v. reach official rank
官舍	n. official residence
官衔	n. official title
官话	n. Mandarin
官运	n. official career
官运亨通	phr. successful official career
官迷	n. office seeker
官逼民反	phr. oppression causes revolt
官道路口	n. Guandao Intersection
官邸	n. official residence
官阳	n. Guanyang
官阶	n. official rank
官风	n. official style
官黎坪街道	n. Guanliping Subdistrict
官龙村	n. Guanlong Village
宙	n. space
宙斯	n. Zeus
定	v. decide
定下	v. settle on
定下来	v. settle down
定不负相思意	phr. will not disappoint love
定东乡	n. Dingdong Township
定个	v. set a
定中门街道	n. Dingzhongmen Street
定为	v. designate	v. set as
定义	v. define
定义为	v. define as
定义域	n. domain
定义性	adj. definitional
定义数据类型	phr. define data type
定义符	n. delimiter
定义类	n. definition class
定义阶段	n. definition phase
定乎内外之分	phr. distinguish internal and external
定了	v. decided	v. fixed
定于	v. be scheduled for
定于一尊	phr. unify under one authority
定产	v. fix output
定亲	v. betroth
定仙墕镇	n. Dingxianyan Town
定价	n. price
定会	adv. certainly will
定位	v. position	v. orient
定位在	v. position at
定位时间	n. positioning time
定位服务	n. location service
定例	n. established practice
定值保险合同	n. valued insurance contract
定做	v. customize
定兴	n. Dingxing
定准	v. determine	v. fix
定刑	v. sentence
定则	n. rule	n. principle
定制	v. customize
定力	n. steadfastness
定势	n. fixed pattern
定南	n. Dingnan
定县	n. Ding County
定县猪新品系	n. Dingxian pig new strain
定名	v. name
定名为	v. name as
定向	v. orient
定向力	n. orientation
定向募集	n. private placement
定向募集设立	n. private placement establishment
定向培养	v. targeted training
定向培育	n. directed breeding
定向增发	n. private placement
定向搜索	n. targeted search
定向生	n. targeted student
定向细胞	n. directed cell
定向训练	n. targeted training
定向诱变	n. directed mutagenesis
定向障碍	n. disorientation
定员	n. capacity	n. quota
定喘	v. relieve asthma
定喘穴	n. Dingchuan acupoint
定国安邦	phr. stabilize the country
定在	v. exist
定址	v. address
定坊	n. Dingfang
定型	v. finalize
定夺	v. decide
定好	v. set	v. fix
定妃	n. Consort Ding
定妆	v. set makeup
定宁镇	n. Dingning Town
定安桥	n. Ding'an Bridge
定安苑	n. Ding'an Garden
定安路	n. Ding'an Road
定安镇	n. Ding'an Town
定局	n. settled situation
定居	v. settle
定居在	v. settle in
定居点	n. settlement
定居者	n. settler
定居胡同	n. Dingju Hutong
定岗	v. fix post
定州	n. Dingzhou
定州市	n. Dingzhou City
定府	n. Dingfu
定康	n. Dingkang
定式	n. fixed pattern
定当	adv. certainly	adv. surely
定影	v. fix
定律	n. law
定心	v. calm down
定心丸	n. reassurance
定性	v. determine
定性为	v. define as
定性决策法	n. qualitative decision method
定性描述	n. qualitative description
定性研究	n. qualitative research
定息	n. fixed interest
定情	v. pledge love
定慧北桥	n. Dinghui North Bridge
定慧寺	n. Dinghui Temple
定慧寺东	n. East of Dinghui Temple
定慧桥	n. Dinghui Bridge
定慧桥东	n. Dinghui Bridge East
定慧桥北	n. North of Dinghui Bridge
定慧桥南	n. South of Dinghui Bridge
定投	n. regular investment
定损人员	n. loss adjuster
定数	n. constant
定日	n. fixed date
定日付款	n. fixed-date payment
定时	v. set a time
定时任务	n. scheduled task
定时任务调度	n. scheduled task scheduling
定时关机	phr. scheduled shutdown
定时分析	n. scheduled analysis
定时刷新	v. refresh periodically
定时器	n. timer
定时备份	phr. scheduled backup
定时执行	v. schedule
定时炸弹	n. time bomb
定时班车	n. scheduled bus
定时调度	phr. scheduled scheduling
定时调度任务	n. scheduled task
定是米家书画船	phr. surely Mi's painting boat
定期	adj. regular	adj. periodic
定期维护	n. regular maintenance
定格	v. freeze
定案	v. finalize
定档	v. schedule
定波	n. Dingbo
定波乡	n. Dingbo Township
定海	n. Dinghai
定海县	n. Dinghai County
定海新村	n. Dinghai New Village
定海村	n. Dinghai Village
定海桥	n. Dinghai Bridge
定海湾丁香鱼	n. Dinghai Bay anchovy
定海路	n. Dinghai Road
定淡	adj. calm
定淡定	adj. calm
定淮门	n. Dinghuai Gate
定滑轮	n. fixed pulley
定点	n. fixed point
定点医院	n. designated hospital
定点数	n. fixed-point number
定点运算	n. fixed-point arithmetic
定焦	n. fixed focus
定然	adv. certainly
定王台	n. Dingwangtai
定理	n. theorem
定界符	n. delimiter
定的	adj. fixed	adj. certain
定盘星	n. fixed point
定眩丸	n. Dingxuan Pill
定睛	v. stare
定礼	n. betrothal gift
定神	v. compose oneself
定福庄	n. Dingfuzhuang
定福庄村	n. Dingfuzhuang Village
定福庄西村	n. Dingfuzhuang West Village
定福黄庄	n. Dingfu Huangzhuang
定福黄庄村	n. Dingfuhuangzhuang Village
定积分	n. definite integral
定税	v. fix tax
定稿	n. final draft
定稿创作	n. finalize creation
定级	v. grade	v. rate
定结乡	n. Dinggye Township
定编	v. determine staffing
定罪	v. convict
定群研究	n. cohort study
定胜糕	n. Dingsheng cake
定襄	n. Dingxiang
定襄蒸肉	n. Dingxiang steamed meat
定襄郡	n. Dingxiang Commandery
定西南里社区	n. Dingxi Nanli Community
定西地区	n. Dingxi Prefecture
定西市	n. Dingxi City
定西路	n. Dingxi Road
定见	n. definite view
定规	n. rule
定计	v. devise a plan
定论	n. conclusion
定评	n. final verdict
定语	n. attribute
定调子	v. set the tone
定谳	v. finalize verdict
定购	v. order
定身术	n. body immobilization spell
定辛庄村	n. Dingxinzhuang Village
定边羊羔肉	n. Dingbian lamb
定远	n. Dingyuan
定远梅鱼	n. Dingyuan meiyu fish
定远猪	n. Dingyuan pig
定远试车场	n. Dingyuan Proving Ground
定远黑猪	n. Dingyuan black pig
定都	v. establish capital
定量	n. quantitative
定量研究	n. quantitative research
定量资料	n. quantitative data
定金	n. deposit	n. down payment
定钱	n. deposit
定销	v. fixed sales
定陵	n. Dingling
定陵道口	n. Dingling Crossing
定陶	n. Dingtao
定非知诗人	phr. surely not a poet
定音	v. set the tone
定项	v. determine item
定额	n. quota
定鼎路	n. Dingding Road
宛	v. seem	v. as if
宛城	n. Wancheng
宛如	v. like	v. as if
宛委山	n. Wanwei Mountain
宛平南路	n. Wanping South Road
宛平路	n. Wanping Road
宛水街道	n. Wanshui Street
宛然	adv. as if
宛若	v. as if
宛转悠扬	adj. melodious
宛陵	n. Wanling
宛马至今来	phr. Wan horses still come
宜	adj. suitable
宜丰	n. Yifeng
宜丰县工业园区	n. Yifeng Industrial Park
宜于	v. be suitable for
宜人	adj. pleasant
宜人独桂林	phr. pleasant alone in Guilin
宜兰	n. Yilan
宜兰县	n. Yilan County
宜兴	n. Yixing
宜兴乡	n. Yixing Township
宜兴县	n. Yixing County
宜兴市	n. Yixing City
宜兴百合	n. Yixing lily
宜兴街	n. Yixing Street
宜兴路	n. Yixing Road
宜华	n. Yihua
宜华地产	n. Yihua Real Estate
宜华木业	n. Yihua Wood Industry
宜君	n. Yijun
宜园	n. Yiyuan Garden
宜坪乡	n. Yiping Township
宜城县	n. Yicheng County
宜城市	n. Yicheng City
宜妃	n. Consort Yi
宜室宜家	phr. suitable for home
宜家	n. IKEA
宜家装饰广场	n. IKEA Decoration Plaza
宜宾	n. Yibin
宜宾市	n. Yibin City
宜宾燃面	n. Yibin burning noodles
宜宾肺片	n. Yibin lung slices
宜宾道	n. Yibin Road
宜将剩勇追穷寇	phr. pursue the foe
宜居	adj. livable
宜山	n. Yishan
宜山北路	n. Yishan North Road
宜山县	n. Yishan County
宜山路	n. Yishan Road
宜岛	n. island
宜川	n. Yichuan
宜川二村	n. Yichuan Ercun
宜川四村	n. Yichuan Sicun
宜川路	n. Yichuan Road
宜川路街道	n. Yichuan Road Subdistrict
宜州市	n. Yizhou City
宜昌	n. Yichang
宜昌县	n. Yichang County
宜昌市	n. Yichang City
宜昌开发区	n. Yichang Development Zone
宜昌桃花岭饭店	n. Yichang Taohualing Hotel
宜昌正天农牧	n. Yichang Zhengtian Agriculture
宜昌灰焦尺蛾	n. Yichang gray moth
宜昌路	n. Yichang Road
宜昌道	n. Yichang Road
宜昌鳅鮀	n. Yichang loach
宜春	n. Yichun
宜春县	n. Yichun County
宜春地区	n. Yichun area
宜春市	n. Yichun City
宜春松花皮蛋	n. Yichun pine-flower preserved egg
宜木	n. Yimu
宜木乡	n. Yimu Township
宜未雨而绸缪	phr. Repair before it rains
宜村	n. Yicun
宜棉小区	n. Yimian Community
宜正路	n. Yizheng Road
宜清路	n. Yiqing Road
宜牧地乡	n. Yimudi Township
宜白路	n. Yibai Road
宜禄	n. Yilu
宜秀	n. Yixiu
宜章	n. Yizhang
宜章臭蛙	n. Yizhang odorous frog
宜红茶	n. Yihong tea
宜良	n. Yiliang
宜良烤鸭	n. Yiliang roast duck
宜良烧鸭	n. Yiliang roast duck
宜荆	n. Yijing
宜诺	n. Aires
宜诺斯	n. Aires
宜都县	n. Yidu County
宜都市	n. Yidu City
宜都金泉	n. Yidu Jinquan
宜里镇	n. Yili Town
宜阳	n. Yiyang
宜阳新区	n. Yiyang New District
宝	n. treasure	n. baby
宝东路	n. Baodong Road
宝中路	n. Baozhong Road
宝丰	n. Baofeng
宝丰二路	n. Baofeng 2nd Road
宝丰路	n. Baofeng Road
宝丽	n. Pola
宝丽华	n. Baolihua
宝丽路	n. Baoli Road
宝丽金	n. PolyGram
宝丽雅	n. Boliya
宝书	n. treasured book
宝云山	n. Baoyun Mountain
宝五乡	n. Baowu Township
宝交公司	n. Baojiao Company
宝产胡同	n. Baochang Hutong
宝仪花园	n. Baoyi Garden
宝信	n. Baoxin
宝儿	n. baby
宝光	n. precious light
宝兴拟矩胸花天牛	n. Baoxing longhorn beetle
宝具	n. treasure tool
宝典	n. treasure book
宝冢	n. Takarazuka
宝刀	n. treasured sword
宝刀不老	phr. still sharp
宝刀未老	phr. still sharp
宝利来	n. Polaroid
宝刹	n. Buddhist temple
宝剑	n. sword
宝华山	n. Baohua Mountain
宝华路	n. Baohua Road
宝华路口	n. Baohua Road intersection
宝南街	n. Baonan Street
宝南路	n. Baonan Road
宝历	n. Baoli era
宝发园	n. Baofayuan
宝台乡	n. Baotai Township
宝号	n. your shop
宝商集团	n. Baoshang Group
宝善公寓	n. Baoshan Apartment
宝善庄	n. Baoshanzhuang
宝善桥	n. Baoshan Bridge
宝善街	n. Baoshan Street
宝地	n. treasure land
宝地区	n. Bao area
宝地园	n. Baodiyuan
宝坻	n. Baodi
宝坻县	n. Baodi County
宝城	n. Baocheng
宝城路	n. Baocheng Road
宝塔	n. pagoda
宝塔下	n. Under the Pagoda
宝塔山	n. Pagoda Hill
宝塔山村	n. Baotashan Village
宝塔根	n. Pagoda base
宝塔桥	n. Baota Bridge
宝塔桥东街	n. Baotaqiao East Street
宝塔河	n. Baota River
宝塔河街道	n. Baotahe Subdistrict
宝塔蟹守螺	n. Pagoda screw shell
宝塔路街道	n. Baota Road Subdistrict
宝姿	n. Ports
宝威	n. Baowei
宝宁	n. Baoning
宝安	n. Bao'an
宝安北路	n. Bao'an North Road
宝安区政府	n. Bao'an District Government
宝安南路	n. Bao'an South Road
宝安县	n. Bao'an County
宝安商厦	n. Bao'an Mall
宝安广场	n. Bao'an Plaza
宝安机场	n. Bao'an Airport
宝安汽车站	n. Bao'an Bus Station
宝宝	n. baby
宝宝乐	n. Baobaole
宝宝们	n. babies
宝宝的	phr. baby's
宝宝福	n. Baobaofu
宝宝金水	n. Baobao Jinshui
宝山	n. Baoshan
宝山下	n. Baoshanxia
宝山区界	n. Baoshan District boundary
宝山医院	n. Baoshan Hospital
宝山县	n. Baoshan County
宝山宾馆	n. Baoshan Hotel
宝山社区	n. Baoshan Community
宝山路	n. Baoshan Road
宝山饭店	n. Baoshan Hotel
宝山鮰鱼	n. Baoshan catfish
宝岗大道	n. Baogang Avenue
宝岗大道总站	n. Baogang Ave Terminal
宝岛	n. treasure island
宝岛路	n. Baodao Road
宝峰	n. Baofeng
宝峰彝族乡	n. Baofeng Yi Township
宝带路	n. Baodai Road
宝平路	n. Baoping Road
宝庆	n. Baoqing
宝庆猪血丸子	n. Baoqing pig blood ball
宝库	n. treasure house
宝应	n. Baoying
宝应湖大闸蟹	n. Baoying Lake hairy crab
宝座	n. throne
宝强	n. Baoqiang
宝成仪表厂	n. Baocheng Instrument Factory
宝日呼吉尔街道	n. Baorihujier Street
宝日希勒镇	n. Baorixile Town
宝昌路	n. Baochang Road
宝杨码头	n. Baoyang Wharf
宝杨路	n. Baoyang Road
宝杨路汽车站	n. Baoyang Road bus station
宝林寺	n. Baolin Temple
宝林路	n. Baolin Road
宝楼	n. treasure tower
宝殿	n. palace hall
宝民二路	n. Baomin 2nd Road
宝民路	n. Baomin Road
宝气	n. treasure aura
宝汉公路	n. Baohan Highway
宝泉岭分局	n. Baoquanling Branch
宝洲	n. Baozhou
宝洲小商品市场	n. Baozhou Commodity Market
宝深路	n. Baoshen Road
宝清	n. Baoqing
宝源	n. Baoyuan
宝源乡	n. Baoyuan Township
宝源社区	n. Baoyuan Community
宝源路	n. Baoyuan Road
宝潭村	n. Baotan Village
宝灵街	n. Baoling Street
宝物	n. treasure
宝玉	n. precious jade
宝玉鱼唇	n. jade fish lip
宝珈枪吻海龙	n. Baos gunpipefish
宝珊花园	n. Baoshan Garden
宝珠	n. jewel	n. treasure ball
宝珠子胡同	n. Baozhuzi Hutong
宝珠镇	n. Baozhu Town
宝瑞通典当行	n. Baoruitong Pawnshop
宝瓶	n. vase
宝瓶座	n. Aquarius
宝界村	n. Baojie Village
宝盈	n. Baoying
宝盖	n. roof radical
宝盖儿	n. roof radical
宝盖胡同	n. Baogai Hutong
宝盛乡	n. Baosheng Township
宝盛西里	n. Baosheng Xili
宝盛里	n. Baoshengli
宝盛里小区	n. Baoshengli Residential Area
宝眷	n. family
宝石	n. gem	n. jewel
宝石新村	n. Baoshi New Village
宝石绿魔鬼灯鱼	n. jewel green devil lightfish
宝矿力饮料	n. Pocari Sweat drink
宝祥	n. Baoxiang
宝福路	n. Baofu Road
宝秀路	n. Baoxiu Road
宝箱	n. treasure chest
宝箱豆腐	n. treasure-box tofu
宝美	n. Baomei
宝美村	n. Baomei Village
宝莫股份	n. Baomo Shares
宝莱坞	n. Bollywood
宝莱特	n. Biolight
宝莲	n. Baolian
宝蓝	adj. royal blue
宝藏	n. treasure
宝藏乡	n. Baozang Township
宝螺	n. cowrie
宝诚	n. Baocheng
宝贝	n. baby	n. darling
宝贝儿	n. darling
宝贝疙瘩	n. darling
宝贵	adj. valuable
宝通道	n. Baotong Road
宝都	n. treasure city
宝都村	n. Baodu Village
宝钛集团	n. Baoti Group
宝钞南社区	n. Baochaonan Community
宝钞胡同	n. Baochao Hutong
宝钢	n. Baosteel
宝钢医院	n. Baosteel Hospital
宝隆公寓小区	n. Baolong Apartment Complex
宝马	n. BMW
宝马路	n. Baoma Road
宝马镇	n. Baoma Town
宝马香车	n. luxury car
宝鸡	n. Baoji
宝鸡东岭集团	n. Baoji Dongling Group
宝鸡东道	n. Baoji East Road
宝鸡中学	n. Baoji Middle School
宝鸡卷烟厂	n. Baoji Cigarette Factory
宝鸡县	n. Baoji County
宝鸡商场	n. Baoji Mall
宝鸡市	n. Baoji City
宝鸡桥梁厂	n. Baoji Bridge Factory
宝鸡石油中学	n. Baoji Petroleum Middle School
宝鸡石油机械厂	n. Baoji Petroleum Machinery Factory
宝鸡茶酥	n. Baoji tea pastry
宝麓山庄	n. Baolu Villa
宝龙	n. Baolong
宝龙地产	n. Powerlong Real Estate
宝龙城市广场	n. Baolong City Plaza
实	adj. solid	adj. real
实不相瞒	phr. to be honest
实业	n. industry
实业家	n. industrialist
实为	v. actually is
实习	v. intern	v. practice
实习司机	n. intern driver
实习生	n. intern
实事	n. practical matter
实事求是	phr. seek truth from facts
实价	n. actual price
实体	n. entity
实体专辑	n. physical album
实体书	n. physical book
实体公正	n. substantive justice
实体型	n. entity type
实体完整性	n. entity integrity
实体容器	n. physical container
实体店	n. physical store
实体数据模型	n. Entity Data Model
实体映射	n. entity mapping
实体框架	n. Entity Framework
实体模型	n. solid model
实体法	n. substantive law
实体法律	n. substantive law
实体癌	n. solid carcinoma
实体类	n. entity class
实体类型	n. entity type
实体经济	n. real economy
实体联系图	n. entity-relationship diagram
实体解析	n. entity resolution
实体造型	n. solid modeling
实体鉴别	n. entity authentication
实体集	n. entity set
实作	n. practical work
实例	n. example	n. instance
实例代码	n. example code
实例分析	n. case analysis
实例化	v. instantiate
实例变量	n. instance variable
实例名	n. instance name
实例域	n. instance field
实例方法	n. instance method
实像	n. real image
实兴乡	n. Shixing Township
实况	n. live
实则	adv. actually
实力	n. strength
实力派	n. powerhouse
实务	n. practice
实卡	n. physical card
实名	n. real name
实名制	n. real-name system
实在	adv. really	adv. indeed
实在不行	phr. if really not possible
实在是	adv. really
实地	n. field	n. on-site
实地址	n. real address
实地考察	phr. field survey
实型变量	n. real variable
实型常量	n. real constant
实境	n. real environment
实处	n. actual point
实学	n. practical learning
实实在在	adj. real	adj. genuine
实封	v. actually seal
实小	n. experimental primary school
实属	adv. indeed
实干	v. do solid work
实干家	n. doer
实弹	n. live ammunition
实录	n. record
实得	v. actually get
实德环球	n. Shide Global
实心	adj. solid
实心实意	phr. sincere
实心眼儿	adj. sincere
实情	n. truth
实惠	adj. practical
实意	n. sincere intention
实感	n. real feeling
实战	n. actual combat
实战开发	n. practical development
实战技巧	n. combat skills
实战经验	n. combat experience
实打实	adj. solid	adj. genuine
实报实销	phr. reimburse actual expenses
实据	n. evidence
实授	v. actually appoint
实效	n. actual effect
实效主义法学	n. pragmatic jurisprudence
实数	n. real number
实施	v. implement
实施了	v. implemented
实施强制	v. enforce
实施标准	n. implementation standard
实施细则	n. implementation rules
实施规则	n. implementation rules
实时	adj. real-time
实时三维重建	n. real-time 3D reconstruction
实时同步	v. real-time sync
实时处理	n. real-time processing
实时多媒体	n. real-time multimedia
实时成像	n. real-time imaging
实时控制	n. real-time control
实时搜索	n. real-time search
实时操作系统	n. real-time operating system
实时数据库	n. real-time database
实时时钟	n. real-time clock
实时更新	v. real-time update
实时检索	n. real-time retrieval
实时滤镜	n. real-time filter
实时监控	n. real-time monitoring
实时监控程序	n. real-time monitor
实时系统	n. real-time system
实时约束	n. real-time constraint
实时视频	n. live video
实时计算	n. real-time computing
实时计算机	n. real-time computer
实时输入	n. real-time input
实时输出	n. real-time output
实时通讯	n. real-time communication
实时预览	n. live preview
实景	n. real scene
实有	v. actually have
实权	n. real power
实模式	n. real mode
实测	v. actual measurement
实源	n. real source
实热	n. excess heat
实热证	n. excess heat syndrome
实物	n. object	n. material
实现	v. realize	v. implement
实现不了	v. cannot achieve
实现了	v. realized	v. achieved
实现原理	n. implementation principle
实现梦想	phr. realize dream
实现类	n. implementation class
实现阶段	n. implementation phase
实现需求	v. implement requirements
实用	adj. practical
实用主义	n. pragmatism
实用代码	n. practical code
实用代码片段	n. useful code snippet
实用功能	n. practical function
实用国际贸易	n. practical international trade
实用国际贸易法	n. Practical International Trade Law
实用工具	n. utility
