# 由 qingjian-gloss-gen english 生成（LLM）：英文词的中文释义。词（小写）	[词性. ]释义	[词性. ]释义
a	一
deuce	n. 平分
deuterium	n. 氘
deuteronomy	n. 申命记
dev	n. 开发
devaluation	n. 贬值
devalue	v. 贬值
devalued	v. 贬值
devastate	v. 摧毁
devastated	adj. 毁灭性的	adj. 震惊的
devastating	adj. 毁灭性的
devastation	n. 破坏	n. 毁灭
devcontainer	n. 开发容器
devcontainers	n. 开发容器
devel	n. 开发
develocity	n. 去速度
develop	v. 开发	v. 发展
developed	adj. 发达的
developer	n. 开发者	n. 开发商
developers	n. 开发者
developing	adj. 发展中的
development	n. 发展	n. 开发
developmental	adj. 发展
developmentally	adv. 发展上
developments	n. 发展
develops	v. 发展
devi	n. 黛维
deviant	adj. 越轨的
deviate	v. 偏离
deviated	v. 偏离
deviates	v. 偏离
deviating	v. 偏离
deviation	n. 偏差
deviations	n. 偏差
device	n. 设备
deviceid	n. 设备ID
deviceinfo	n. 设备信息
deviceip	n. 设备IP
devicename	n. 设备名
devices	n. 设备
devil	n. 魔鬼
devilish	adj. 恶魔般的
devils	n. 魔鬼
devin	n. 德文
devious	adj. 狡猾的
devise	v. 设计
devised	v. 设计
devising	v. 设计	v. 发明
devoid	adj. 缺乏
devolution	n. 权力下放
devolve	v. 移交
devolved	v. 移交
devon	n. 德文
devonian	adj. 泥盆纪的
devops	n. 开发运维
devote	v. 奉献
devoted	adj. 忠诚的	adj. 献身的
devotee	n. 爱好者
devotees	n. 爱好者
devotes	v. 奉献
devoting	v. 奉献
devotion	n. 奉献	n. 忠诚
devotional	adj. 虔诚的
devotions	n. 祈祷
devour	v. 吞食	v. 吞噬
devoured	v. 吞噬
devouring	v. 吞噬
devout	adj. 虔诚的
devs	n. 开发者
devsecops	n. 开发安全运维
devtool	n. 开发工具
devtools	n. 开发者工具
dew	n. 露水
dewar	n. 杜瓦
dewey	n. 杜威
dewitt	n. 德威特
dewy	adj. 带露水的
dexter	n. 德克斯特
dexterity	n. 灵巧
dh	n. DH
dhaka	n. 达卡
dharma	n. 法
dhcp	n. 动态主机配置协议
dhparam	n. DH参数
dhs	n. 国土安全部
di	n. 迪
diabetes	n. 糖尿病
diabetic	n. 糖尿病患者
diabetics	n. 糖尿病患者
diabolical	adj. 恶魔般的
diagnose	v. 诊断
diagnosed	v. 诊断
diagnoses	n. 诊断
diagnosing	v. 诊断
diagnosis	n. 诊断
diagnostic	adj. 诊断的
diagnostics	n. 诊断
diagonal	adj. 对角线的
diagonally	adv. 对角地
diagram	n. 图表
diagrams	n. 图表
diags	n. 诊断
dial	n. 拨号盘
dialect	n. 方言
dialectic	n. 辩证法
dialectical	adj. 辩证的
dialects	n. 方言
dialed	v. 拨号
dialing	n. 拨号
dialog	n. 对话
dialogue	n. 对话
dialogues	n. 对话
dials	n. 刻度盘	n. 拨号盘
dialysis	n. 透析
diameter	n. 直径
diameters	n. 直径
diametrically	adv. 完全地
diamond	n. 钻石
diamondbacks	n. 菱纹背蛇
diamonds	n. 钻石
diana	n. 戴安娜
diane	n. 黛安
dianne	n. 黛安
diaper	n. 尿布
diapers	n. 尿布
diaphragm	n. 隔膜
diaries	n. 日记
diarization	n. 说话人分离
diarize	v. 分离说话人
diarized	adj. 已分离的
diarizes	v. 分离说话人
diarrhea	n. 腹泻
diarrhoea	n. 腹泻
diary	n. 日记
dias	n. 迪亚斯
diaspora	n. 流散
diatribe	n. 抨击
diaz	n. 迪亚兹
diazepam	n. 地西泮
dibs	n. 权利
dicaprio	n. 迪卡普里奥
dice	n. 骰子
diced	v. 切丁
dicey	adj. 冒险的
dichotomy	n. 二分法
dick	n. 家伙
dickens	n. 狄更斯
dickerson	n. 迪克森
dickey	n. 假衬衫胸
dickhead	n. 蠢货
dickheads	n. 蠢货
dickinson	n. 迪金森
dicks	n. 家伙
dickson	n. 迪克森
dict	n. 字典
dictate	v. 口述
dictated	v. 口述
dictates	v. 规定	v. 支配
dictating	v. 口述
dictation	n. 听写
dictator	n. 独裁者
dictatorial	adj. 独裁的	adj. 专横的
dictators	n. 独裁者
dictatorship	n. 独裁
dictatorships	n. 独裁
diction	n. 措辞
dictionaries	n. 词典
dictionary	n. 词典
dicts	n. 字典
did	v. 做
didactic	adj. 说教的
dido	n. 狄多
die	v. 死	v. 死亡
died	v. 死亡
diego	n. 迭戈
dielectric	n. 电介质
diem	n. 迪姆
dies	v. 死亡
diesel	n. 柴油
diesels	n. 柴油机
diet	n. 饮食	n. 节食
dietary	adj. 饮食
dieter	n. 节食者
dieting	n. 节食
dietitian	n. 营养师
dietrich	n. 迪特里希
diets	n. 饮食
diff	n. 差异
differ	v. 不同	v. 相异
differed	v. 不同	v. 有异议
difference	n. 差异
differences	n. 差异
different	adj. 不同的
differential	n. 差异
differentials	n. 差额
differentiate	v. 区分
differentiated	adj. 差异化的
differentiates	v. 区分	v. 区别
differentiating	v. 区分
differentiation	n. 分化
differently	adv. 不同地
differing	adj. 不同的
differs	v. 不同
difficult	adj. 困难的
difficulties	n. 困难
difficulty	n. 困难
diffraction	n. 衍射
diffuse	v. 扩散	v. 传播
diffused	v. 扩散
diffuser	n. 扩散器
diffusion	n. 扩散
dig	v. 挖
digest	v. 消化
digested	v. 消化
digestible	adj. 易消化的
digesting	v. 消化
digestion	n. 消化
digestive	adj. 消化
digger	n. 挖掘机	n. 挖掘者
diggers	n. 挖掘者
digging	v. 挖掘
digit	n. 数字	n. 手指
digital	adj. 数字的
digitally	adv. 数字化地
digitalocean	n. 数字海洋
digitization	n. 数字化
digitized	v. 数字化
digits	n. 数字
dignified	adj. 庄严的	adj. 有尊严的
dignitaries	n. 要人	n. 显贵
dignity	n. 尊严
digress	v. 离题
digs	n. 挖掘
dijon	n. 第戎
dike	n. 堤坝
dikes	n. 堤坝
dilapidated	adj. 破旧的
dilated	adj. 扩张的
dilation	n. 扩张
dildo	n. 假阳具
dildos	n. 假阳具
dilemma	n. 困境	n. 进退两难
dilemmas	n. 困境
diligence	n. 勤奋
diligent	adj. 勤奋的
diligently	adv. 勤奋地
dill	n. 莳萝
dillard	n. 迪拉德
dillinger	n. 迪林杰
dillon	n. 狄龙
dilly	n. 杰出的人
dilute	v. 稀释
diluted	adj. 稀释的
diluting	v. 稀释
dilution	n. 稀释
dim	adj. 昏暗的
dimaggio	n. 迪马乔
dime	n. 一角硬币
dimension	n. 维度
dimensional	adj. 维度的
dimensions	n. 尺寸	n. 维度
dimes	n. 一角硬币
diminish	v. 减少
diminished	v. 减少
diminishes	v. 减少
diminishing	adj. 减少的
diminutive	adj. 小的
dimly	adv. 昏暗地
dimmed	adj. 暗淡的
dimmer	n. 调光器
dimming	v. 调暗	v. 变暗
dimple	n. 酒窝
dimples	n. 酒窝
din	n. 喧嚣
dina	n. 迪娜
dinah	n. 黛娜
dinar	n. 第纳尔
dinars	n. 第纳尔
dine	v. 用餐
dined	v. 用餐
diner	n. 用餐者
diners	n. 食客
ding	n. 叮
dinghy	n. 小艇
dingle	n. 小峡谷
dingo	n. 澳洲野狗
dings	n. 凹痕
dingy	adj. 肮脏的
dining	n. 用餐
dinky	adj. 小巧的
dinner	n. 晚餐
dinners	n. 晚餐
dino	n. 迪诺
dinosaur	n. 恐龙
dinosaurs	n. 恐龙
dint	n. 凭借
diocesan	adj. 主教区的
diocese	n. 教区
dioceses	n. 教区
diode	n. 二极管
diodes	n. 二极管
diogenes	n. 第欧根尼
dion	n. 迪翁
dionne	n. 迪翁
dionysus	n. 狄俄尼索斯
dior	n. 迪奥
dioxide	n. 二氧化物
dip	v. 浸	v. 下降
diphtheria	n. 白喉
diploma	n. 文凭
diplomacy	n. 外交
diplomas	n. 文凭
diplomat	n. 外交官
diplomatic	adj. 外交的
diplomatically	adv. 外交上
diplomats	n. 外交官
dipole	n. 偶极子
dipped	v. 浸	v. 下降
dipper	n. 北斗星
dipping	v. 浸
dips	n. 下降
dir	n. 目录
dirac	n. 狄拉克
dire	adj. 可怕的
direct	adj. 直接的
directed	v. 指导
directing	v. 指导
direction	n. 方向
directional	adj. 方向的
directions	n. 方向
directive	n. 指令
directives	n. 指令
directly	adv. 直接地
director	n. 导演	n. 董事
directorate	n. 董事会
directorial	adj. 导演的
directories	n. 目录
directors	n. 董事
directory	n. 目录
directs	v. 指导
direname	n. 目录名
direnames	n. 目录名
dirent	n. 目录项
dirid	n. 目录ID
dirk	n. 德克
dirlen	n. 目录长度
dirname	n. 目录名
dirnames	n. 目录名
dirpath	n. 目录路径
dirs	n. 目录
dirt	n. 泥土
dirtbag	n. 卑鄙小人
dirtier	adj. 更脏的
dirtiest	adj. 最脏的
dirty	adj. 脏的
dis	prep. 对	prep. 向
disabilities	n. 残疾
disability	n. 残疾
disable	v. 禁用
disabled	adj. 残疾
disables	v. 使无效
disabling	adj. 致残的
disadvantage	n. 缺点
disadvantaged	adj. 弱势的
disadvantages	n. 缺点
disaffected	adj. 不满的
disagree	v. 不同意
disagreeable	adj. 讨厌的
disagreed	v. 不同意
disagreeing	v. 不同意
disagreement	n. 分歧
disagreements	n. 分歧
disagrees	v. 不同意
disallow	v. 不允许
disallowed	v. 不允许
disappear	v. 消失
disappearance	n. 消失
disappearances	n. 消失
disappeared	v. 消失
disappearing	v. 消失
disappears	v. 消失
disappoint	v. 使失望
disappointed	adj. 失望
disappointing	adj. 令人失望的
disappointment	n. 失望
disappointments	n. 失望	n. 沮丧
disappoints	v. 使失望
disapproval	n. 不赞成	n. 反对
disapprove	v. 不赞成	v. 反对
disapproved	v. 不赞成
disapproves	v. 不赞成
disapproving	adj. 不赞成的
disarm	v. 解除武装
disarmament	n. 裁军
disarmed	v. 解除武装
disarming	adj. 使人消除敌意的
disarray	n. 混乱
disassemble	v. 拆卸
disassembled	v. 拆卸
disassembly	n. 拆卸
disaster	n. 灾难
disasters	n. 灾难
disastrous	adj. 灾难性的
disavow	v. 否认
disavowed	v. 否认
disband	v. 解散
disbanded	v. 解散
disbarred	v. 取消律师资格
disbelief	n. 怀疑
disbelieve	v. 不信
disbursed	v. 支付
disbursement	n. 支付
disc	n. 光盘	n. 圆盘
discard	v. 丢弃	v. 抛弃
discarded	v. 丢弃
discarding	v. 丢弃
discards	v. 丢弃
discern	v. 辨别
discerned	v. 辨别
discernible	adj. 可辨别的
discerning	adj. 有眼力的
discernment	n. 辨别
discharge	v. 排放
discharged	v. 出院
discharges	v. 放电	v. 排出
discharging	v. 排放
disciple	n. 门徒
disciples	n. 门徒
discipleship	n. 门徒身份
disciplinary	adj. 纪律的
discipline	n. 纪律
disciplined	adj. 自律的
disciplines	n. 学科
disciplining	v. 训练	v. 惩罚
disclaimer	n. 免责声明
disclose	v. 披露
disclosed	v. 披露	v. 公开
discloses	v. 披露	v. 透露
disclosing	v. 披露
disclosure	n. 披露
disclosures	n. 披露
disco	n. 迪斯科
discography	n. 唱片目录
discoloration	n. 变色
discomfort	n. 不适
disconcerting	adj. 令人不安的
disconnect	v. 断开
disconnected	adj. 断开的
disconnecting	v. 断开
disconnection	n. 断开
disconnects	v. 断开
discontent	n. 不满
discontinuation	n. 停止
discontinue	v. 停止
discontinued	v. 停止
discontinuing	v. 停止
discontinuity	n. 不连续
discontinuous	adj. 不连续的
discord	n. 不和
discordant	adj. 不和谐的
discount	n. 折扣
discounted	adj. 打折的
discounting	v. 打折	v. 贴现
discounts	n. 折扣
discourage	v. 劝阻
discouraged	adj. 气馁的
discouragement	n. 劝阻	n. 泄气
discourages	v. 劝阻
discouraging	adj. 令人沮丧的
discourse	n. 话语
discourses	n. 话语
discover	v. 发现
discoverability	n. 可发现性
discoverd	v. 发现
discovered	v. 发现
discoverer	n. 发现者
discoveries	n. 发现
discovering	v. 发现
discovers	v. 发现
discovery	n. 发现
discredit	v. 败坏名声
discredited	adj. 名誉扫地的
discrediting	v. 败坏名声
discreet	adj. 谨慎的
discreetly	adv. 谨慎地
discrepancies	n. 差异
discrepancy	n. 差异
discrete	adj. 离散的
discretion	n. 谨慎
discretionary	adj. 酌情
discretization	n. 离散化
discretizations	n. 离散化
discretize	v. 离散化
discretized	adj. 离散化
discretizes	v. 离散化
discretizing	v. 离散化
discriminate	v. 歧视
discriminated	v. 歧视
discriminates	v. 歧视
discriminating	adj. 有辨别力的
discrimination	n. 歧视
discriminatory	adj. 歧视
discs	n. 光盘
discursive	adj. 散漫的
discus	n. 铁饼
discuss	v. 讨论
discussed	v. 讨论
discusses	v. 讨论
discussing	v. 讨论
discussion	n. 讨论
discussions	n. 讨论
disdain	n. 鄙视
disease	n. 疾病
diseased	adj. 患病的
diseases	n. 疾病
disembark	v. 下船	v. 登陆
disembarked	v. 下船
disembodied	adj. 脱离肉体的
disenchanted	adj. 幻灭的
disenfranchised	adj. 被剥夺权利的
disengage	v. 脱离
disengaged	adj. 脱离的
disengagement	n. 脱离
disfigured	adj. 毁容的
disgrace	n. 耻辱
disgraced	adj. 失宠的	adj. 耻辱的
disgraceful	adj. 可耻的
disgruntled	adj. 不满的
disguise	v. 伪装
disguised	v. 伪装
disguises	n. 伪装
disguising	v. 伪装
disgust	n. 厌恶
disgusted	adj. 厌恶的
disgusting	adj. 恶心的
disgustingly	adv. 令人厌恶地
disgusts	v. 使厌恶
dish	n. 盘子	n. 菜肴
disheartened	adj. 沮丧的
disheartening	adj. 令人沮丧的
dished	adj. 凹陷的
dishes	n. 菜肴	n. 盘子
disheveled	adj. 凌乱
dishing	v. 盛盘
dishonest	adj. 不诚实的
dishonesty	n. 不诚实
dishonor	n. 耻辱
dishonorable	adj. 不光彩的
dishonored	v. 羞辱
dishonour	n. 耻辱
dishwasher	n. 洗碗机
disillusioned	adj. 幻灭的
disillusionment	n. 幻灭
disinfect	v. 消毒
disinfectant	n. 消毒剂
disinfection	n. 消毒
disinformation	n. 虚假信息
disingenuous	adj. 不真诚的
disintegrate	v. 瓦解
disintegrated	v. 瓦解	v. 碎裂
disintegrating	v. 瓦解
disintegration	n. 瓦解
disinterest	n. 不感兴趣
disinterested	adj. 公正的	adj. 无私的
disjointed	adj. 脱节的
disk	n. 磁盘
disks	n. 磁盘
dislike	v. 不喜欢
disliked	v. 不喜欢
dislikes	v. 不喜欢
disliking	v. 不喜欢
dislocated	v. 脱臼
dislocation	n. 脱位	n. 混乱
dislodge	v. 移出
dislodged	v. 移开
disloyal	adj. 不忠的
disloyalty	n. 不忠
dismal	adj. 凄凉的
dismantle	v. 拆除
dismantled	v. 拆除
dismantling	v. 拆除
dismay	n. 沮丧
dismayed	adj. 沮丧	adj. 惊慌
dismembered	v. 肢解
dismemberment	n. 肢解
dismiss	v. 解雇
dismissal	n. 解雇
dismissals	n. 解雇
dismissed	v. 解雇	v. 驳回
dismisses	v. 驳回	v. 解雇
dismissing	v. 解雇
dismissive	adj. 轻蔑的
dismount	v. 下马	v. 下车
dismounted	v. 下马
disney	n. 迪士尼
disneyland	n. 迪士尼乐园
disobedience	n. 不服从	n. 违抗
disobedient	adj. 不服从的
disobey	v. 违抗
disobeyed	v. 不服从
disobeying	v. 不服从
disorder	n. 混乱	n. 失调
disordered	adj. 混乱的
disorderly	adj. 混乱的
disorders	n. 失调
disorganized	adj. 混乱的
disorientation	n. 迷失方向
disoriented	adj. 迷失方向
disown	v. 否认
disowned	v. 否认
disp	n. 显示
disparage	v. 贬低
disparaging	adj. 贬低的
disparate	adj. 不同的
disparities	n. 差距
disparity	n. 差距
dispassionate	adj. 冷静的
dispatch	v. 派遣
dispatched	v. 派遣
dispatcher	n. 调度员
dispatchers	n. 调度员
dispatches	n. 派遣
dispatching	v. 派遣
dispel	v. 驱散	v. 消除
dispelled	v. 驱散
dispensaries	n. 药房	n. 诊所
dispensary	n. 药房
dispensation	n. 分配	n. 豁免
dispense	v. 分发
dispensed	v. 分配	v. 分发
dispenser	n. 分配器
dispensers	n. 分配器
dispenses	v. 分配
dispensing	n. 配药
dispersal	n. 分散
disperse	v. 分散
dispersed	adj. 分散的
dispersing	v. 分散
dispersion	n. 分散
displace	v. 取代
displaced	v. 流离失所	v. 取代
displacement	n. 位移
displacements	n. 位移
displaces	v. 取代
displacing	v. 取代
display	v. 显示
displayed	v. 展示	v. 显示
displaying	v. 展示
displays	v. 显示
displeased	adj. 不满的
displeasure	n. 不满
disposable	adj. 一次性的
disposal	n. 处理	n. 处置
disposals	n. 处置
dispose	v. 处理
disposed	adj. 倾向于
disposing	v. 处理
disposition	n. 性情
dispositions	n. 性情
dispossessed	adj. 被剥夺的
disproportionate	adj. 不成比例的
disproportionately	adv. 不成比例地
disprove	v. 反驳
disproved	v. 反驳
dispute	n. 争端
disputed	adj. 有争议的
disputes	n. 争端	n. 纠纷
disputing	v. 争论
disqualification	n. 取消资格
disqualified	v. 取消资格
disqualify	v. 取消资格
disqualifying	v. 取消资格
disquiet	n. 不安
disraeli	n. 迪斯雷利
disregard	v. 忽视
disregarded	v. 忽视
disregarding	v. 忽视	v. 无视
disregards	v. 忽视
disrepair	n. 失修
disrepute	n. 坏名声
disrespect	n. 不敬
disrespected	v. 不尊重
disrespectful	adj. 无礼的
disrespecting	v. 不尊重
disrupt	v. 扰乱
disrupted	v. 扰乱
disrupting	v. 扰乱
disruption	n. 中断
disruptions	n. 中断	n. 扰乱
disruptive	adj. 破坏性
disrupts	v. 扰乱	v. 中断
dissatisfaction	n. 不满
dissatisfied	adj. 不满的
dissect	v. 解剖
dissected	v. 解剖	v. 剖析
dissecting	v. 解剖
dissection	n. 解剖
disseminate	v. 传播
disseminated	v. 散布	v. 传播
disseminating	v. 传播
dissemination	n. 传播
dissension	n. 分歧
dissent	n. 异议
dissented	v. 异议
dissenters	n. 异议者
dissenting	adj. 持异议的
dissertation	n. 论文
dissertations	n. 论文
disservice	n. 损害
dissident	n. 持不同政见者
dissidents	n. 异议者
dissimilar	adj. 不同的
dissing	v. 贬低
dissipate	v. 消散
dissipated	adj. 放荡的
dissipates	v. 消散
dissipating	v. 消散
dissipation	n. 消散	n. 耗散
dissociation	n. 分离
dissociative	adj. 解离的
dissolution	n. 解散
dissolve	v. 溶解
dissolved	v. 溶解
dissolves	v. 溶解	v. 解散
dissolving	v. 溶解
dissonance	n. 不和谐
dissonant	adj. 不和谐的
dissuade	v. 劝阻
dissuaded	v. 劝阻
dist	n. 分发	n. 距离
distal	adj. 远端的
distance	n. 距离
distanced	v. 远离
distances	n. 距离
distancing	n. 疏远	n. 拉开距离
distant	adj. 遥远的
distantly	adv. 遥远地
distaste	n. 厌恶
distasteful	adj. 令人厌恶的
distillation	n. 蒸馏
distilled	adj. 蒸馏的
distilleries	n. 酿酒厂
distillers	n. 酿酒厂
distillery	n. 酿酒厂
distilling	v. 蒸馏
distinct	adj. 明显
distinction	n. 区别
distinctions	n. 区别	n. 差别
distinctive	adj. 独特的
distinctively	adv. 独特地
distinctly	adv. 清楚地
distinguish	v. 区分
distinguishable	adj. 可区分的
distinguished	adj. 杰出	adj. 著名
distinguishes	v. 区分
distinguishing	adj. 区别的	adj. 显著的
distort	v. 扭曲
distorted	adj. 扭曲的
distorting	v. 扭曲
distortion	n. 扭曲
distortions	n. 扭曲
distorts	v. 扭曲
distract	v. 分散
distracted	adj. 分心的
distracting	adj. 分心的
distraction	n. 分心
distractions	n. 干扰
distracts	v. 分散	v. 使分心
distraught	adj. 心烦意乱的
distress	n. 痛苦
distressed	adj. 痛苦的
distressing	adj. 令人苦恼的
distrib	n. 发行版
distributability	n. 可分发性
distribute	v. 分发
distributed	v. 分发	v. 分布
distributes	v. 分发
distributing	v. 分发
distribution	n. 分布
distributions	n. 分布
distributive	adj. 分配的
distributor	n. 经销商
distributors	n. 经销商
district	n. 地区	n. 区域
districts	n. 地区	n. 区域
distro	n. 发行版
distrust	n. 不信任
distrustful	adj. 不信任的
disturb	v. 打扰
disturbance	n. 干扰
disturbances	n. 骚乱	n. 干扰
disturbed	adj. 不安的	adj. 受干扰的
disturbing	adj. 令人不安的
disturbingly	adv. 令人不安地
disturbs	v. 打扰
disuse	n. 废弃
disused	adj. 废弃的
ditch	n. 沟渠
ditched	v. 抛弃
ditches	n. 沟渠
ditching	v. 抛弃	v. 摆脱
ditto	n. 同上
ditty	n. 小曲
diuretic	n. 利尿剂
diurnal	adj. 白天的
diva	n. 天后
divan	n. 沙发床
divas	n. 天后
dive	v. 潜水
dived	v. 潜水
diver	n. 潜水员
diverge	v. 分歧
diverged	v. 分歧
divergence	n. 分歧	n. 差异
divergent	adj. 分歧的
diverging	v. 分歧
divers	n. 潜水员
diverse	adj. 多样的
diversification	n. 多样化
diversified	adj. 多元化的
diversify	v. 多样化
diversifying	v. 多样化
diversion	n. 转移
diversions	n. 转移	n. 消遣
diversity	n. 多样性
divert	v. 转移
diverted	v. 转移
diverting	v. 转移
diverts	v. 转移
dives	v. 跳水
divest	v. 剥离
divested	v. 剥夺	v. 摆脱
divestment	n. 撤资	n. 剥离
divide	v. 划分
divided	adj. 分裂的
dividend	n. 股息	n. 红利
dividends	n. 股息
divider	n. 分隔物	n. 隔板
dividers	n. 分隔器
divides	v. 划分
dividing	v. 划分
divination	n. 占卜
divine	adj. 神圣的
divinely	adv. 神圣地
diving	n. 潜水	n. 跳水
divinity	n. 神性
divisible	adj. 可除的
division	n. 部门	n. 除法
divisional	adj. 部门的
divisions	n. 部门
divisive	adj. 分裂的
divorce	n. 离婚
divorced	adj. 离婚的
divorces	n. 离婚
divorcing	v. 离婚
divs	n. div元素
divulge	v. 泄露
divulged	v. 泄露
diwali	n. 排灯节
dix	n. 迪克斯
dixie	n. 迪克西
dixon	n. 迪克森
dizziness	n. 头晕
dizzy	adj. 头晕的
dizzying	adj. 令人眩晕的
dj	n. DJ
django	n. Django
djibouti	n. 吉布提
dll	n. 动态链接库
dlls	n. DLL文件
dmca	n. 数字千年版权法
dmd	n. 肌营养不良症
dmesg	n. dmesg
dmidecode	n. 硬件信息工具
dmitri	n. 德米特里
dmz	n. 非军事区
dna	n. 脱氧核糖核酸
dname	n. 域名
dns	n. 域名系统
do	v. 做
doa	n. 死亡到达
doable	adj. 可行的
dob	n. 出生日期
doberman	n. 杜宾犬
doc	n. 文档
docblock	n. 文档块
docid	n. 文档ID
docile	adj. 温顺的
dock	n. 码头
docked	v. 停靠
docker	n. 码头工人
dockerenv	n. Docker环境
dockerize	v. 容器化
dockers	n. 码头工人
docket	n. 日程表
docking	n. 停靠	n. 对接
docklands	n. 港区
docks	n. 码头
dockyard	n. 造船厂
docs	n. 文档
docsearch	n. 文档搜索
docstring	n. 文档字符串
doctor	n. 医生
doctoral	adj. 博士的
doctorate	n. 博士学位
doctorates	n. 博士学位
doctored	v. 篡改
doctors	n. 医生
doctrinal	adj. 教义的
doctrine	n. 教义
doctrines	n. 教义
doctype	n. 文档类型
document	n. 文件
documentaries	n. 纪录片
documentary	n. 纪录片
documentation	n. 文档
documented	v. 记录
documenting	v. 记录
documents	n. 文件
docusign	n. DocuSign
docutil	n. 文档工具
docutils	n. 文档工具
dod	n. 国防部
dodge	v. 躲避
dodgeball	n. 躲避球
dodged	v. 躲避	v. 闪开
dodger	n. 逃避者
dodgers	n. 躲避者
dodges	v. 躲避
dodging	v. 躲避
dodgy	adj. 狡猾的	adj. 不可靠的
dodo	n. 渡渡鸟
dodson	n. 多德森
doe	n. 母鹿
doer	n. 实干家
doers	n. 实干家
does	v. 做
dog	n. 狗
doge	n. 总督
dogfight	n. 混战
dogged	adj. 顽强的
doggies	n. 小狗
dogging	v. 跟踪	v. 困扰
doggy	n. 小狗
doghouse	n. 狗窝
dogma	n. 教条
dogmatic	adj. 教条的
dogs	n. 狗
dogwood	n. 山茱萸
doha	n. 多哈
doing	v. 做
doings	n. 行为
dojo	n. 道场
dolby	n. 杜比
dole	n. 救济金
doll	n. 玩偶
dollar	n. 美元
dollars	n. 美元
dollhouse	n. 玩具屋
dollop	n. 一团	n. 少量
dolls	n. 玩偶
dolly	n. 洋娃娃	n. 移动摄影车
dolomite	n. 白云石
dolores	n. 多洛雷斯
dolphin	n. 海豚
dolphins	n. 海豚
dom	n. 文档对象模型
domain	n. 领域	n. 域名
domains	n. 领域
dome	n. 穹顶
domed	adj. 圆顶的
domes	n. 圆顶
domesday	n. 末日审判书
domestic	adj. 国内的	adj. 家庭的
domestically	adv. 国内
domesticated	adj. 驯养的
domestication	n. 驯化
domicile	n. 住所
domiciled	v. 定居
dominance	n. 优势
dominant	adj. 主导的
dominate	v. 支配
dominated	v. 主导	v. 支配
dominates	v. 支配
dominating	v. 支配	v. 统治
domination	n. 统治
dominatrix	n. 女主人
domineering	adj. 专横的
domingo	n. 多明戈
dominguez	n. 多明格斯
dominic	n. 多米尼克
dominica	n. 多米尼加
dominican	adj. 多米尼加的
dominicans	n. 多米尼加人
dominick	n. 多米尼克
dominion	n. 统治
dominions	n. 领土
dominique	n. 多米尼克
domino	n. 多米诺骨牌
dominoes	n. 多米诺
don	n. 先生
dona	n. 多娜
donahue	n. 多纳休
donald	n. 唐纳德
donaldson	n. 唐纳森
donate	v. 捐赠
donated	v. 捐赠
donatello	n. 多纳泰罗
donates	v. 捐赠
donating	v. 捐赠
donation	n. 捐赠
donations	n. 捐赠
done	adj. 完成的
donetsk	n. 顿涅茨克
dong	n. 盾
dongle	n. 加密狗	n. 适配器
donkey	n. 驴
donkeys	n. 驴
donna	n. 唐娜
donne	n. 多恩
donned	v. 穿上
donnell	n. 唐奈
donner	n. 唐纳
donnie	n. 唐尼
donning	v. 穿上
donny	n. 唐尼
donor	n. 捐赠者
donors	n. 捐赠者
donovan	n. 多诺万
dons	v. 穿上
donut	n. 甜甜圈
donuts	n. 甜甜圈
doodle	v. 涂鸦
doodles	n. 涂鸦
doodling	v. 涂鸦
doofus	n. 傻瓜
dooley	n. 杜利
doolittle	n. 杜立特
doom	n. 厄运
doomed	adj. 注定失败的
doomsday	n. 末日
door	n. 门
doorbell	n. 门铃
doorknob	n. 门把手
doorman	n. 门卫
doormat	n. 门垫
doors	n. 门
doorstep	n. 门口
doorway	n. 门口
doorways	n. 门口
dopamine	n. 多巴胺
dope	n. 毒品
doped	v. 掺杂
dopey	adj. 迟钝的	adj. 昏昏欲睡的
doping	n. 兴奋剂
doppler	n. 多普勒
dora	n. 多拉
doreen	n. 多琳
dorian	n. 多里安
doric	adj. 多利安式的
doris	n. 多丽丝
doritos	n. 多力多滋
dork	n. 笨蛋	n. 呆子
dorks	n. 呆子
dorky	adj. 呆子气的
dorm	n. 宿舍
dormant	adj. 休眠的
dormer	n. 天窗
dormitories	n. 宿舍
dormitory	n. 宿舍
dorms	n. 宿舍
dorothea	n. 多萝西娅
dorothy	n. 多萝西
dorsal	adj. 背部的
dorset	n. 多塞特
dorsey	n. 多尔西
dortmund	n. 多特蒙德
dory	n. 平底小渔船
dos	n. 待办事项
dosage	n. 剂量
dosages	n. 剂量
dose	n. 剂量	n. 一剂
dosed	v. 给药	v. 剂量
doses	n. 剂量
dosing	v. 给药
dosomething	phr. 做某事
doss	v. 睡觉
dossier	n. 档案
dost	v. 做
dostoevsky	n. 陀思妥耶夫斯基
dosu	n. dosu
dot	n. 点	n. 圆点
dotcom	n. 互联网公司
dotenvx	n. dotenvx
dotfile	n. 点文件
dotfiles	n. 点文件
doth	v. 做
doting	adj. 溺爱的
dotnet	n. .NET
dots	n. 点
dotted	adj. 点状的
dotty	adj. 古怪的
double	adj. 双的
doublecircle	n. 双圆
doubled	v. 加倍
doubleday	n. 道布尔迪
doubleheader	n. 双赛
doublequote	n. 双引号
doubles	n. 双打
doubling	n. 加倍
doubly	adv. 加倍地
doubt	n. 怀疑
doubted	v. 怀疑
doubters	n. 怀疑者
doubtful	adj. 怀疑的
doubting	v. 怀疑
doubtless	adv. 无疑
doubts	n. 怀疑
douche	n. 冲洗	n. 灌洗
doug	n. 道格
dough	n. 面团
